"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Climate_Change","LIN H, 2019, J COAST RES","ISI000501532900001","NATURAL DISASTERS CAUSED BY CLIMATE CHANGE AND AGRICULTURAL PRODUCTS LOSS IN CROSS-STRAIT INDUSTRY: AN INPUT-OUTPUT ANALYSIS","IN ORDER TO ESTIMATE THE DIRECT AND INDIRECT LOSSES CAUSED BY NATURAL DISASTER, THIS STUDY CONDUCTS AN INTER-COUNTRY INPUT-OUTPUT (ICIO) ANALYSIS TO DISCUSS THE IMPACTS ON CROSS-STRAIT INDUSTRIES IN THE FACE OF DISASTERS LOSSES. THE PRESENT STUDY INCLUDES DATA FROM 96 SECTORS' CROSS-STRAIT INTER-COUNTRY INPUT-OUTPUT TABLE AND THE STATISTICS OF AGRICULTURE DURING 2005-2011 IN TAIWAN AND THE PERIOD 2005-2010 IN MAINLAND CHINA. THE RESULTS INDICATE THE TOTAL VALUE-ADDED EFFECT IN MAINLAND CHINA IS LARGER THAN TAIWAN, WHEREAS THE MULTIPLIER OF AGRICULTURE LOSSES IN TAIWAN IS LARGER THAN MAINLAND CHINA. THIS INDICATES THAT THE LOSSES CAUSED BY NATURAL DISASTERS ARE LARGER IN TAIWAN IS THAN IN MAINLAND CHINA.",""
"2","Climate_Change","HUANG L, 2019, SUSTAINABILITY","ISI000493525500367","CARBON COMMUNITIES AND HOTSPOTS FOR CARBON EMISSIONS REDUCTION IN CHINA","WITH CHINA'S COMMITMENT TO PEAK ITS EMISSIONS BY 2030, SECTORAL EMISSIONS ARE UNDER THE SPOTLIGHT DUE TO THE ROLLING OUT OF THE NATIONAL EMISSION TRADING SCHEME (ETS). HOWEVER, THE CURRENT SECTOR POLICIES FOCUS EITHER ON THE PRODUCTION SIDE OR CONSUMPTION WHILE THE MAJORITY OF SECTORS ALONG THE TRANSMISSION WERE OVERLOOKED. THIS RESEARCH COMBINES INPUT-OUTPUT MODELLING AND NETWORK ANALYSIS TO TRACK THE EMBODIED CARBON EMISSIONS AMONG THIRTY SECTORS OF THIRTY PROVINCES IN CHINA. BASED ON THE LARGE-DATA RESOLUTION NETWORK, A TWO-STEP NETWORK REDUCTION ALGORITHM IS USED TO EXTRACT THE BACKBONE OF THE NETWORK. IN ADDITION, NETWORK CENTRALITY METRICS AND COMMUNITY DETECTION ALGORITHMS ARE USED TO ASSESS EACH INDIVIDUAL SECTOR'S ROLES, AND TO REVEAL THE CARBON COMMUNITIES WHERE SECTORS HAVE INTENSIVE EMISSION LINKS. THE RESEARCH RESULTS SUGGEST THAT THE SECTORS WITH HIGH OUT-DEGREE, IN-DEGREE OR BETWEENNESS CAN ACT AS LEVERAGE POINTS FOR CARBON EMISSIONS MITIGATION. IN ADDITION TO THE ELECTRICITY SECTOR, WHICH IS INCLUDED IN THE NATIONAL ETS, THE STUDY ALSO FOUND THAT THE METALLURGY AND CONSTRUCTION SECTORS SHOULD BE PRIORITIZED FOR EMISSIONS REDUCTION FROM NATIONAL AND LOCAL LEVELS. HOWEVER, THE HOTPOTS ARE DIFFERENT ACROSS PROVINCES AND THUS PROVINCIAL SPECIFIC TARGETED POLICIES SHOULD BE FORMED. MOREOVER, THERE ARE NINETEEN CARBON COMMUNITIES IN CHINA WITH DIFFERENT FEATURES, WHICH PROVIDES DIRECTION FOR PROVINCIAL GOVERNMENTS' EXTERNAL COLLABORATION FOR SYNERGISTIC EFFECTS.",""
"3","Climate_Change","WANG Q, 2019, ENERGY ECON","ISI000478710000026","DISTRIBUTIONAL IMPACT OF CARBON PRICING IN CHINESE PROVINCES","BASED ON A MULTI-REGIONAL INPUT-OUTPUT (MRIO) MODEL, AND COMBINED WITH THE 2012 MRIO TABLE FOR 30 CHINESE PROVINCES, THIS PAPER ANALYZES THE DISTRIBUTIONAL IMPACTS OF CARBON PRICING ON HOUSEHOLDS WITHIN AND ACROSS CHINESE PROVINCES. THE RESULTS SHOW REGRESSIVE DISTRIBUTIONAL EFFECTS OF CARBON PRICING ACROSS PROVINCES, I.E. POOR PROVINCES ARE AFFECTED MORE BY THE PRICE. CARBON PRICING ALSO SHOWS RURAL-URBAN REGRESSIVITY (I.E. RURAL HOUSEHOLDS ARE IMPACTED MORE HEAVILY THAN URBAN HOUSEHOLDS) IN MORE THAN HALF OF THE PROVINCES. WITHIN EACH SELECTED PROVINCE, CARBON PRICING HAS MOSTLY REGRESSIVE EFFECTS, I.E. POORER URBAN HOUSEHOLDS ARE MORE AFFECTED THAN RICHER URBAN HOUSEHOLDS IN ALL PROVINCES AND POORER RURAL HOUSEHOLDS MORE THAN RICHER RURAL HOUSEHOLDS IN ONE THIRD OF THE PROVINCES. WHEN LOOKING MORE SPECIFICALLY AT DIRECT ENERGY CONSUMPTION, WE FIND THAT THE CARBON PRICING ON DOMESTIC FUELS GENERALLY SHOWS REGRESSIVITY, WHILE PRICING CARBON ON TRANSPORT FUELS SHOWS PROGRESSIVITY. IN ADDITION, THE IMPACT OF CARBON PRICING ON RESIDENTIAL DIRECT EXPENDITURES (MAINLY ON ELECTRICITY AND COAL) IS THE MOST IMPORTANT CONTRIBUTOR TO THE REGIONAL REGRESSIVITY ACROSS PROVINCES. (C) 2019 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"4","Climate_Change","SCHERER L, 2019, SCI TOTAL ENVIRON","ISI000460628600007","BRIC AND MINT COUNTRIES' ENVIRONMENTAL IMPACTS RISING DESPITE ALLEVIATIVE CONSUMPTION PATTERNS","THE BRIC (BRAZIL, RUSSIA, INDIA, CHINA) AND MINT COUNTRIES (MEXICO, INDONESIA, NIGERIA, TURKEY) SHIFTED THE ECONOMIC WEIGHT FROM DEVELOPED TO EMERGING COUNTRIES. THEY WILL CONTINUE TO GROW RAPIDLY BY POPULATION AND GROSS DOMESTIC PRODUCT (GDP), WHICH COULD ALSO IMPLY ENVIRONMENTAL CHANGES. WE USE THE ENVIRONMENTALLY EXTENDED MULTI-REGIONAL INPUT-OUTPUT DATABASE EXIOBASE IN A CONSUMPTION-BASED APPROACH TO ASSESS CARBON, LAND, AND WATER FOOTPRINTS OF FOUR INCOME GROUPS WITHIN EACH OF THESE EMERGING ECONOMIES IN 2050 COMPARED TO OUR BASE YEAR 2010. WE ESTIMATE THAT CONSUMPTION CHANGES MAKE ENVIRONMENTAL IMPACTS INCREASE BY A FACTOR OF 1.6 (FOR RUSSIA'S WATER FOOTPRINT) TO A FACTOR OF 7.0 (FOR NIGERIA'S CARBON FOOTPRINT). THIS RISE IS MOSTLY DRIVEN BY GDP GROWTH, BUT OFTEN ALSO BY POPULATION GROWTH. CHANGES IN CONSUMPTION PATTERNS DUE TO INCOME GROWTH, HOWEVER, ATTENUATE THE EFFECT. THE ATTENUATION APPEARED TO BE MUCH STRONGER FOR WATER (FOR INDIA AND INDONESIA OVER 50\%) THAN FOR LAND OR CARBON FOOTPRINTS. IT IS HENCE IMPORTANT THAT FORWARD-LOOKING MODELLING EXERCISES ACCOUNT FOR DIFFERENT INCOME CATEGORIES AND RELATED EXPENDITURE PATTERNS. THE RESULTS FURTHER INDICATE HOWMUCH OUR TECHNOLOGIES MUST IMPROVE TO COMPENSATE FOR IMPACT INCREASES INDUCED BY RISING CONSUMPTION. TO COPE WITH THAT, NOT ONLY ESTABLISHED ECONOMIES, BUT ALSO SOME BRIC AND MINT COUNTRIES, ESPECIALLY RUSSIA AND CHINA, MUST INCREASE THEIR EFFORTS TOWARDS ENVIRONMENTAL SUSTAINABILITY. (C) 2019 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"5","Climate_Change","YOON B, 2011, ASIAN J TECHNOL INNOV","ISI000294581700001","A FRAMEWORK FOR IMPACT ANALYSIS OF THE INTERNATIONAL TRANSFER OF MARINE TECHNOLOGY IN A CLIMATE CHANGE ERA: AN INPUT-OUTPUT ANALYSIS AND ANALYTIC HIERARCHY PROCESS APPROACH","THIS STUDY RESPONDS TO THE NEED FOR THE INTERNATIONAL TRANSFER OF MARINE TECHNOLOGY BY FOCUSING ON IMPACT ANALYSIS AT THE PRELIMINARY STAGE. TO THIS END, WE PROPOSE A SYSTEMATIC FRAMEWORK BY INTEGRATING THE MERITS OF THE ANALYTIC HIERARCHY PROCESS FOR MULTIPLE CRITERIA DECISION MAKING AND THE STRENGTHS OF INPUT-OUTPUT ANALYSIS IN THE ASSESSMENT OF THE EFFECTS OF TECHNOLOGY DIFFUSION. THE SUGGESTED FRAMEWORK IS COMPRISED OF THREE CONSECUTIVE MODULES: TECHNOLOGY PRIORITY ANALYSIS, COUNTRY PRIORITY ANALYSIS AND IMPACT ANALYSIS OF TECHNOLOGY TRANSFER. THE FIRST TWO MODULES DEAL WITH TECHNOLOGY AND COUNTRY SELECTION AS A MULTIPLE CRITERIA DECISION MAKING PROBLEM. IN THE LAST MODULE, THE ECONOMIC IMPACTS ON BOTH THE TRANSFEROR AND TRANSFEREE ARE ESTIMATED IN TERMS OF THE GENERATED PRODUCTION, VALUE ADDED AND EMPLOYMENT. A CASE STUDY SHOWS THAT THE INTERNATIONAL TRANSFER OF GEOGRAPHIC INFORMATION SYSTEM (GIS) TECHNOLOGY FROM THE REPUBLIC OF KOREA TO THE PHILIPPINES IS THE MOST EFFECTIVE SCENARIO AMONG THOSE FOR THE MEMBERS OF PARTNERSHIPS IN ENVIRONMENTAL MANAGEMENT FOR THE SEAS OF EAST ASIA (PEMSEA). WE BELIEVE THAT OUR METHOD CAN PROMOTE RAPID AND EFFICIENT CONSENSUS BUILDING ON THE MOST COMPETITIVE STRATEGY FOR THE INTERNATIONAL TRANSFER OF MARINE TECHNOLOGY.",""
"6","Climate_Change","LARSEN HN, 2010, ECOL ECON","ISI000284437000008","IDENTIFYING IMPORTANT CHARACTERISTICS OF MUNICIPAL CARBON FOOTPRINTS","LOCAL CLIMATE ACTION HAS BEEN IDENTIFIED AS A VITAL CONTRIBUTOR TO GLOBAL MITIGATION OF GREENHOUSE GAS (GHG) EMISSIONS THIS PAPER FOCUSES ON THE GHG EMISSIONS RESULTING FROM THE PROVISION OF LOCAL PUBLIC SERVICES ILLUSTRATED THROUGH THE CARBON FOOTPRINT (CF) INDICATOR THE CF OF ALL 429 NORWEGIAN MUNICIPALITIES IS CALCULATED AND COMPARED TO VARIABLES OF INTEREST RESULTS SHOW THAT THE CF CHANGES SIGNIFICANTLY DEPENDING ON SIZE AND WEALTH SMALL AND/OR WEALTHY MUNICIPALITIES TEND TO HAVE A MUCH HIGHER CF PER CAPITA COMPARED TO MORE POPULATED AND/OR LESS WEALTHY CITIES WHILE WEALTH AND CF RELATE VERY WELL LINEARLY INCREASED POPULATION IS ONLY BENEFICIAL UP TO A CERTAIN SIZE RESULTS INDICATE THAT THE CF PER CAPITA INCREASES IN MUNICIPALITIES WITH MORE THAN SIMILAR TO 50 000 INHABITANTS THUS INDICATING A POSSIBLE IDEAL SIZE OF MUNICIPALITIES TO ACHIEVE THE OPTIMAL MUNICIPAL CF (C) 2010 ELSEVIER B V ALL RIGHTS RESERVED",""
"7","Climate_Change","CHEN GQ, 2010, COMMUN NONLINEAR SCI NUMER SIMUL","ISI000278723500047","CARBON EMISSIONS AND RESOURCES USE BY CHINESE ECONOMY 2007: A 135-SECTOR INVENTORY AND INPUT-OUTPUT EMBODIMENT","A 135-SECTOR INVENTORY AND EMBODIMENT ANALYSIS FOR CARBON EMISSIONS AND RESOURCES USE BY CHINESE ECONOMY 2007 IS PRESENTED IN THIS PAPER BY AN ECOLOGICAL INPUT-OUTPUT MODELING BASED ON THE PHYSICAL ENTRY SCHEME. INCLUDED EMISSIONS AND RESOURCES BELONG TO SIX CATEGORIES AS: (1) GREENHOUSE GAS (GHG) IN TERMS OF CO2, CH4, AND N2O; (2) ENERGY IN TERMS OF COAL, CRUDE OIL, NATURAL GAS, HYDROPOWER, NUCLEAR POWER, AND FIREWOOD; (3) WATER IN TERMS OF FRESHWATER; (4) EXERGY IN TERMS OF COAL, CRUDE OIL, NATURAL GAS, GRAIN, BEAN, TUBER, COTTON, PEANUT. RAPESEED. SESAME, JUTE, SUGARCANE, SUGAR BEET, TOBACCO, SILKWORM FEED, TEA, FRUITS, VEGETABLES, WOOD, BAMBOO, PULP, MEAT, EGG, MILK, WOOL, AQUATIC PRODUCTS, IRON ORE, COPPER ORE, BAUXITE, LEAD ORE, ZINC ORE, PYRITE, PHOSPHORITE, GYPSUM, CEMENT, NUCLEAR FUEL, AND HYDROPOWER, (5) AND (6) SOLAR AND COSMIC EMERGIES IN TERMS OF SUNLIGHT, WIND POWER, DEEP EARTH HEAT, CHEMICAL POWER OF RAIN, GEOPOTENTIAL POWER OF RAIN, CHEMICAL POWER OF STREAM. GEOPOTENTIAL POWER OF STREAM, WAVE POWER, GEOTHERMAL POWER, TIDE POWER, TOPSOIL LOSS, COAL, CRUDE OIL, NATURAL GAS, FERROUS METAL ORE, NON-FERROUS METAL ORE, NON-METAL ORE, CEMENT, AND NUCLEAR FUEL. ACCOUNTED BASED ON THE EMBODIED INTENSITIES ARE CARBON EMISSIONS AND RESOURCES USE EMBODIED IN THE FINAL USE AS RURAL CONSUMPTION, URBAN CONSUMPTION, GOVERNMENT CONSUMPTION, GROSS FIXED CAPITAL FORMATION, CHANGE IN INVENTORIES, AND EXPORT, AS WELL AS IN THE INTERNATIONAL TRADE BALANCE THE RESULTED DATABASE IS BASIC TO ENVIRONMENTAL ACCOUNT OF CARBON EMISSIONS AND RESOURCES USE AT VARIOUS LEVELS (C) 2009 ELSEVIER B.V. ALL RIGHTS RESERVED",""
"8","Climate_Change","RUEDA-CANTUCHE JM, 2010, ECOL ECON","ISI000276744400008","CONSISTENT AND UNBIASED CARBON DIOXIDE EMISSION MULTIPLIERS: PERFORMANCE OF DANISH EMISSION REDUCTIONS VIA EXTERNAL TRADE","CLIMATE CHANGE RESEARCH IS CURRENTLY A TOPIC OF GREAT INTEREST FOR ECONOMIC RESEARCHERS IN PARTICULAR, ENVIRONMENTAL INPUT-OUTPUT ANALYSIS INCREASINGLY PLAYS AN IMPORTANT ROLE IN MEASURING THE ECONOMIC AND ENVIRONMENTAL EFFECTS OF SUSTAINABLE DEVELOPMENT POLICIES IN EUROPE. OTHER APPROACHES ALSO EXIST, SUCH AS ECONOMETRIC MODELLING, IN WHICH IMPACTS ARC QUANTIFIED ON STATISTICAL GROUNDS AND WITH CERTAIN DESIRABLE PROPERTIES (EFFICIENT ESTIMATES, CONFIDENCE INTERVALS, HYPOTHESIS TESTING, ETC) THAT ARE NOT FOUND IN THE INPUT-OUTPUT APPROACH CONSEQUENTLY, THIS PAPER MERGES THE TWO APPROACHES TO ADDRESS THE CALCULATION OF UNBIASED AND CONSISTENT CARBON DIOXIDE EMISSION MULTIPLIERS FOR DENMARK AND THEIR RESPECTIVE CONFIDENCE INTERVALS THE USE OF THE SUPPLY AND USE SYSTEM INSTEAD OF THE SYMMETRIC INPUT-OUTPUT TABLE ALSO PRESENTS THE OPPORTUNITY TO AVOID THE COMMON PROBLEMS ASSOCIATED WITH THE CONSTRUCTION OF TECHNICAL COEFFICIENTS (TECHNOLOGY ASSUMPTIONS, NEGATIVES, ETC) MOREOVER, A NEW POLICY-RELEVANT APPLICATION OF THESE MULTIPLIERS IS INTRODUCED THE QUANTIFICATION OF THE PERFORMANCE OF THE CARBON DIOXIDE EMISSION REDUCTIONS CARRIED OUT BY INDUSTRIES VIA EXTERNAL TRADING (C) 2010 ELSEVIER B.V. ALL RIGHTS RESERVED",""
"9","Climate_Change","LARSEN HN, 2009, ENVIRON SCI POLICY","ISI000272287900005","THE CASE FOR CONSUMPTION-BASED ACCOUNTING OF GREENHOUSE GAS EMISSIONS TO PROMOTE LOCAL CLIMATE ACTION","ONE OF THE CHALLENGES FACED BY LOCAL GOVERNMENTS IN THE WORK WITH MUNICIPAL CLIMATE ACTION PLANS CONCERNS ACCOUNTING FOR THE GREENHOUSE GAS (GHG) EMISSIONS-WHAT EMISSIONS SHOULD BE TARGETED, DEVELOPMENT OF EMISSIONS OVERTIME, AND HOW TO EFFECTIVELY MEASURE THE SUCCESS OF LOCAL CLIMATE ACTION. IN THIS PAPER, WE PRESENT CHALLENGES IN DEVELOPING A GHG EMISSIONS INVENTORY RELATED TO THE PROVISION OF MUNICIPAL SERVICES. WE ARGUE THAT A CONSUMPTION-BASED PERSPECTIVE, ILLUSTRATED THROUGH THE USE OF THE CARBON FOOTPRINT (CF), RATHER THAN MORE CONVENTIONAL PRODUCTION-BASED INVENTORY, PROVIDES A MORE USEFUL AND LESS MISLEADING INDICATOR. WE PRESENT AN ANALYSIS OF THE CF OF MUNICIPAL SERVICES PROVIDED BY THE CITY OF TRONDHEIM. THE USE OF DATA DIRECTLY FROM THE CITY'S ACCOUNTING SYSTEM ENSURES A RELIABLE CALCULATION OF INDIRECT EMISSIONS, AND, WITH SOME MINOR MODIFICATIONS, ALSO ACCURATE DATA ON DIRECT EMISSIONS. OUR ANALYSIS SHOWS THAT APPROXIMATELY 93 PERCENT OF THE TOTAL CF OF MUNICIPAL SERVICES IS INDIRECT EMISSIONS, LOCATED IN UPSTREAM PATHS, UNDERLINING THE NEED OF INTRODUCING CONSUMPTION-BASED INDICATORS THAT TAKES INTO ACCOUNT UPSTREAM GHG EMISSIONS. (C) 2009 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"10","Climate_Change","GUAN D, 2008, GLOB ENVIRON CHANGE-HUMAN POLICY DIMENS","ISI000261989400010","THE DRIVERS OF CHINESE CO2 EMISSIONS FROM 1980 TO 2030","CHINA'S ENERGY CONSUMPTION DOUBLED WITHIN THE FIRST 25 YEARS OF ECONOMIC REFORMS INITIATED AT THE END OF THE 1970S, AND DOUBLED AGAIN IN THE PAST 5 YEARS. IT HAS RESULTED OF A THREEFOLD CO2 EMISSIONS INCREASE SINCE EARLY OF 1980S. CHINA'S HEAVY RELIANCE ON COAL WILL MAKE IT THE LARGEST EMITTER OF CO2 IN THE WORLD. BY COMBINING STRUCTURAL DECOMPOSITION AND INPUT-OUTPUT ANALYSIS WE SEEK TO ASSESS THE DRIVING FORCES OF CHINA'S CO2 EMISSIONS FROM 1980 TO 2030. IN OUR REFERENCE SCENARIO, PRODUCTION-RELATED CO2 EMISSIONS WILL INCREASE ANOTHER THREE TIMES BY 2030. HOUSEHOLD CONSUMPTION, CAPITAL INVESTMENT AND GROWTH IN EXPORTS WILL LARGELY DRIVE THE INCREASE IN CO2 EMISSIONS. EFFICIENCY GAINS WILL BE PARTIALLY OFFSET THE PROJECTED INCREASES IN CONSUMPTION, BUT OUR SCENARIOS SHOW THAT THIS WILL NOT BE SUFFICIENT IF CHINA'S CONSUMPTION PATTERNS CONVERGE TO CURRENT US LEVELS. RELYING ON EFFICIENCY IMPROVEMENTS ALONE WILL NOT STABILIZE CHINA'S FUTURE EMISSIONS. OUR SCENARIOS SHOW THAT EVEN EXTREMELY OPTIMISTIC ASSUMPTIONS OF WIDESPREAD INSTALLATION OF CARBON DIOXIDE CAPTURE AND STORAGE WILL ONLY SLOW THE INCREASE IN CO2 EMISSIONS. (C) 2008 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
