"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","ENA","TAN LM, 2019, APPL ENERGY","ISI000497974600026","AN ECOLOGICAL-THERMODYNAMIC APPROACH TO URBAN METABOLISM: MEASURING RESOURCE UTILIZATION WITH OPEN SYSTEM NETWORK EFFECTIVENESS ANALYSIS","CITIES HAVE EVOLVED AS CENTERS OF ECONOMIC GROWTH AND OFTEN DESCRIBED AS OPEN SYSTEMS WHERE THE INTAKE OF RESOURCES IS HEAVILY DEPENDENT ON FLOWS IMPORTED FROM THE EXTERNAL ENVIRONMENT. THE QUESTION IS, HOW MUCH OF THE RESOURCE AVAILABLE IN CITIES IS EFFECTIVELY UTILIZED? IN RESPONSE, THIS PAPER DEVELOPS AN ECOLOGICAL-THERMODYNAMIC APPROACH TO ASSESS THE ABILITY OF A SYSTEM TO MAKE FULL USE OF THE RESOURCES AVAILABLE AND REDUCE THE DEMAND FOR NEW RESOURCES. IN THIS WORK, OPEN SYSTEM NETWORK EFFECTIVENESS ANALYSIS IS INTRODUCED AS A NOVEL ASSESSMENT METHOD TO INVESTIGATE THE CITIES' PRODUCER AND CONSUMER BEHAVIORS BY STUDYING THE RESOURCE FLOW CONNECTIONS AND THE INTERACTIONS BETWEEN THE SOCIO-ECONOMIC SECTORS. INVESTIGATION ON THE URBAN FLOWS NETWORK EVALUATES THE ABILITY OF THE SYSTEM TO UTILIZE THE RESOURCE IMPORTED THROUGH THE EFFECTIVENESS OF UTILIZATION INDICATOR AND THE ABILITY TO CONVERT THE RESOURCE IMPORTED TO USEFUL PRODUCTS THROUGH THE EFFECTIVENESS OF CONVERSION INDICATOR. THE EFFECTIVENESS INDICATORS, UTILIZATION AND CONVERSION, REPRESENT THE CONSUMPTION AND PRODUCTION CHARACTERISTICS OF THE SYSTEM RESPECTIVELY. THIS IS TESTED THROUGH A CASE STUDY CONDUCTED FOR SINGAPORE CITY OVER THE TIME PERIOD 2005-2014. THE EFFECTIVENESS RESULTS SHOW THAT THE CITY, ON AVERAGE, HAS UTILIZED 45\% OF THE MAXIMUM EXTRACTABLE USEFULNESS FROM THE RESOURCES IMPORTED THROUGHOUT THE YEARS, WITH THE LOWEST EFFECTIVENESS, 39\%, AND THE HIGHEST EFFECTIVENESS, 50\%, IN THE YEARS 2007 AND 2014 RESPECTIVELY. THE TRAJECTORY OF EFFECTIVENESS RESULTS THROUGHOUT THE YEARS SUGGESTS A TRADE-OFF RELATIONSHIP BETWEEN THE PRODUCERS AND CONSUMERS TO BALANCE THE PRODUCTION AND CONSUMPTION OF RESOURCES IN THE CITY.",""
"2","ENA","WU JUNNIAN WJ, 2019, RESOUR CONSERV RECYCL","ISI000483414300019","EVALUATING CHROMIUM COUPLED WITH CARBON METABOLISM AND ENVIRONMENTAL PERFORMANCE IN THE CHROMATE INDUSTRIAL SYMBIOSIS NETWORK IN CHINA","THE POLLUTION OF TOXIC AND CARCINOGENIC CHROMIUM SLAGS OF THE CHROMATE INDUSTRY HAS BEEN A PUBLIC CONCERN AND INDUSTRIAL SYMBIOSIS IS PROVED TO BE FEASIBLE AND EFFICIENT IN RECYCLING CHROMIUM SLAGS. HOW TO APPRAISE AND IMPROVE SUSTAINABILITY OF CHROMATE INDUSTRIAL SYMBIOSIS NETWORKS IS STILL AN OPEN PROBLEM WHERE FUNCTIONAL AND STRUCTURAL PERFORMANCE ARE KEY APPROACHES TO SOLVE. THIS PAPER AIMS TO EXPLORE CHROMIUM AND CARBON METABOLIC BEHAVIOR OF A CHROMATE INDUSTRIAL SYMBIOSIS NETWORK WITH ECOLOGICAL NETWORK ANALYSIS AT INFRA-FIRM LEVEL. RESULTS SHOW THAT INDUSTRIAL SYMBIOSIS REDUCES CHROMIUM SLAGS EMISSIONS AND IMPROVES RESOURCE UTILIZATION EFFICIENCY. INFLUENCED BY FLOW TYPE AND QUANTITY, THE CHROMIUM METABOLISM REALIZES MUTUALISM BUT THE CARBON METABOLISM FAILS DUE TO INTENSE COMPETITION FOR CARBON RESOURCE AMONG THE RECYCLING PROCESSES (THE ALUMINUM HYDROXIDE, SODIUM SULFIDE AND ALLOY STEEL PROCESSES). THE SODIUM DICHROMATE PROCESS IS THE LARGEST CONTROLLER ON THE CHROMIUM AND CARBON METABOLISM AND THE SODIUM SULFIDE AND ALLOY STEEL PROCESSES BOTH RELY ON CARBON RESOURCE SUPPORT OF THE SODIUM DICHROMATE PROCESS EVEN TO 100\% WHICH MAY EXPLAIN THE INTENSE COMPETITION. UNDER DISHARMONIOUS CONNECTION PATTERN OF METABOLIC PROCESSES, STRUCTURAL DEFECTS BOTH OCCUR TO THE CHROMIUM AND CARBON METABOLISM. EVEN THOUGH, THE CHROMIUM METABOLISM IS CLOSED TO THE STABLE CONDITION WHILE THE CARBON METABOLISM STILL REQUIRES MORE NETWORK EFFICIENCY. OVERALL, THE COMBINATION OF CHROMIUM AND CARBON METABOLISM PROVIDE MORE DETAILS IN EXPLORING METABOLIC BEHAVIOR OF THE CHROMATE INDUSTRIAL SYMBIOSIS NETWORK. THE APPLIED METHOD MAY BE HELPFUL TO REFINE MANAGEMENT AND OPTIMIZATION IN DEVELOPING INDUSTRIAL SYMBIOSIS.",""
"3","ENA","ZHAI M, 2019, J CLEAN PROD","ISI000470939600041","ECOLOGICAL NETWORK ANALYSIS OF AN ENERGY METABOLISM SYSTEM BASED ON INPUT-OUTPUT TABLES: MODEL DEVELOPMENT AND CASE STUDY FOR GUANGDONG","RAPID URBANIZATION RESULTS IN ENERGY SHORTAGE AND UNREASONABLE ENERGY METABOLISM STRUCTURE. THE GOAL OF THIS RESEARCH IS TO TAKE GUANGDONG, CHINA AS A SPECIAL CASE STUDY TO ILLUSTRATE THE INFLUENCE OF ENERGY CLASSIFICATION DIFFERENCES ON THE ENERGY METABOLISM SYSTEM. TO DO SO, WE INTRODUCED THE CONCEPT OF ``URBAN METABOLISM'' AND TREATED SECTORS AND ENERGY FLOWS AS NODES AND PATHS IN A NETWORK MODEL. WE USED THE INPUT OUTPUT ANALYSIS TO COMPILE THE PHYSICAL INPUT OUTPUT TABLE THROUGH THE EMBODIED ENERGY ELEMENT INTENSITY. BUILDING ON THIS, WE USED ECOLOGICAL NETWORK ANALYSIS TO QUANTIFY THE URBAN METABOLIC PROCESSES AND ENERGY METABOLISM LEVELS WITHIN THE URBAN SYSTEM. IN ADDITION, THE ALTERNATIVE INDICATORS ARE FIRST INTRODUCED TO EXPLORE THE BEST ALTERNATIVE ENERGY IN VARIOUS SECTORS TO AVOID A SHORT-TERM ENERGY CRISIS. IN THIS PAPER, DIFFERENT ENERGY GROUPS ARE CONSIDERED ON THE ENERGY METABOLISM SYSTEM, INCLUDING ALL ENERGY, PRIMARY ENERGY, SECONDARY ENERGY AND SIX SPECIFIC ENERGY, WHICH WILL FILL THE RESEARCH GAP ABOUT THE INFLUENCE OF ENERGY CLASSIFICATION ON URBAN ENERGY METABOLISM. IT IS FOUND THAT THE ENERGY METABOLISM OF GUANGDONG IS NOW IN THE STATE OF SUB-HEALTH. THE ENERGY METABOLISM HIERARCHY ATLAS SHOWS THAT THE PULLING FORCE IS HARDLY AFFECTED BY THE ENERGY CLASSIFICATION BUT THE DRIVING FORCE IS VERY SENSITIVE, WHICH FURTHER ILLUSTRATE THAT PRODUCERS CAN CHOOSE DIFFERENT ENERGY ACCORDING TO THEIR PRODUCTION STRUCTURE. FACING THE SHORTAGE OF ENERGY SUPPLY, THE SECONDARY ENERGY WITH THE HIGHEST SUBSTITUTABILITY OF ALL ENERGY VALUE IS THE BETTER ALTERNATIVE ENERGY FOR ADVANCED MANUFACTURING SECTOR (CONTAINING TWELVE INDUSTRIES SUCH AS MANUFACTURE OF TRANSPORTATION EQUIPMENT AND MANUFACTURE OF METAL PRODUCTS). MORE SPECIFICALLY, THE NONRENEWABLE PROPERTIES OF PRIMARY ENERGY MAKE IT PARTICULARLY IMPORTANT TO FIND THE CORRESPONDING ALTERNATIVE ENERGY. HEAT IS THE BEST ALTERNATIVE ENERGY FOR CRUDE OIL, WHILE ELECTRICITY IS IRREPLACEABLE. IT IS EXPECTED THAT THE RESULTS WILL PROVIDE SCIENTIFIC SUPPORT TO GUIDE THE REFORM OF URBAN ENERGY METABOLIC SYSTEM IN AN ATTEMPT TO COORDINATE THE ENERGY DEVELOPMENT STRATEGY, IMPROVE THE ENERGY CONSUMPTION STRUCTURE AND MAINTAIN ENERGY SECURITY AND STABILITY. (C) 2019 PUBLISHED BY ELSEVIER LTD.",""
"4","ENA","BORRETT SR, 2011, ECOL MODEL-a","ISI000292581400011","EQUIVALENCE OF THE REALIZED INPUT AND OUTPUT ORIENTED INDIRECT EFFECTS METRICS IN ECOLOGICAL NETWORK ANALYSIS","A NEW UNDERSTANDING OF THE CONSEQUENCES OF HOW ECOSYSTEM ELEMENTS ARE INTERCONNECTED IS EMERGING FROM THE DEVELOPMENT AND APPLICATION OF ECOLOGICAL NETWORK ANALYSIS. THE RELATIVE IMPORTANCE OF INDIRECT EFFECTS IS CENTRAL TO THIS UNDERSTANDING, AND THE RATIO OF INDIRECT FLOW TO DIRECT FLOW (I/D) IS ONE INDICATOR OF THEIR IMPORTANCE. TWO METHODS HAVE BEEN PROPOSED FOR CALCULATING THIS INDICATOR. THE UNIT APPROACH SHOWS WHAT WOULD HAPPEN IF EACH SYSTEM MEMBER HAD A UNIT INPUT OR OUTPUT, WHILE THE REALIZED TECHNIQUE DETERMINES THE RATIO USING THE OBSERVED SYSTEM INPUTS OR OUTPUTS. WHEN USING THE UNIT METHOD, THE INPUT ORIENTED AND OUTPUT ORIENTED RATIOS CAN BE DIFFERENT, POTENTIALLY LEADING TO CONFLICTING RESULTS. HOWEVER, WE SHOW THAT THE INPUT AND OUTPUT ORIENTED I/D RATIOS ARE IDENTICAL USING THE REALIZED METHOD WHEN THE SYSTEM IS AT STEADY STATE. THIS WORK IS A STEP IN THE MATURATION OF ECOLOGICAL NETWORK ANALYSIS THAT WILL LET IT BE MORE READILY TESTABLE EMPIRICALLY AND ULTIMATELY MORE USEFUL FOR ENVIRONMENTAL ASSESSMENT AND MANAGEMENT. (C) 2011 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"5","ENA","FATH BD, 2006, ENVIRON MODELL SOFTW","ISI000236049400007","A MATLAB (R) FUNCTION FOR NETWORK ENVIRON ANALYSIS","NETWORK ENVIRON ANALYSIS IS A FORMAL, QUANTITATIVE METHODOLOGY TO DESCRIBE AN OBJECT'S WITHIN SYSTEM ``ENVIRON''MENT [PATTEN, B.C., 1978A. SYSTEMS APPROACH TO THE CONCEPT OF ENVIRONMENT. OHIO JOURNAL OF SCIENCE 78, 206-222]. IT PROVIDES A PERSPECTIVE OF THE ENVIRONMENT, BASED ON GENERAL SYSTEM THEORY AND INPUT-OUTPUT ANALYSIS. THIS APPROACH IS ONE TYPE OF A MORE GENERAL CONCEPTUAL APPROACH CALLED ECOLOGICAL NETWORK ANALYSIS. APPLICATION OF NETWORK ENVIRON ANALYSIS ON ECOSYSTEM MODELS HAS REVEALED SEVERAL IMPORTANT AND UNEXPECTED RESULTS [SEE E.G., PATTEN, B.C., 1982. ENVIRONS: RELATIVISTIC ELEMENTARY PARTICLES OR ECOLOGY. AMERICAN NATURALIST 119, 179-219; PATTEN, B.C., 1985. ENERGY CYCLING IN THE ECOSYSTEM. ECOLOGICAL MODELLING 28, 1-71; FATH, B.D., PATTEN, B.C., 1999A. REVIEW OF THE FOUNDATIONS OF NETWORK ENVIRON ANALYSIS. ECOSYSTEMS 2, 167-179], WHICH HAVE BEEN IDENTIFIED AND SUMMARIZED IN THE LITERATURE AS NETWORK ENVIRON PROPERTIES. TO CONDUCT THE ANALYSIS ONE NEEDS ECOSYSTEM DATA INCLUDING THE INTERCOMPARTMENTAL FLOWS, COMPARTMENTAL STORAGES, AND BOUNDARY INPUT AND OUTPUT FLOWS. THE SOFTWARE PRESENTED HEREIN USES THESE DATA TO PERFORM THE MAIN NETWORK ENVIRON ANALYSES AND ENVIRON PROPERTIES INCLUDING UNIT ENVIRONS, INDIRECT EFFECTS RATIO, NETWORK HOMOGENIZATION, NETWORK SYNERGISM, NETWORK MUTUALISM, MODE PARTITIONING, AND ENVIRON CONTROL. THE SOFTWARE IS AVAILABLE FROM THE MATHWORKS MATLAW((R)) CENTRAL FILE EXCHANGE WEBSITE (HTTP://WWW.MATHWORKS.COM/IIIATLABCENTRAL/FILEEXCHANGE,/LOADCATEGORY.DO) . (C) 2004 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"6","ENA","ZHENG B, 2019, J CLEAN PROD","ISI000461410100050","METABOLISM OF URBAN WASTEWATER: ECOLOGICAL NETWORK ANALYSIS FOR GUANGDONG PROVINCE, CHINA","WASTEWATER DISCHARGE IS A BURDEN ON ENVIRONMENTALLY SUSTAINABLE DEVELOPMENT, ESPECIALLY IN THE WATER-DEFICIENT AREA. EXISTING STUDIES ON WASTEWATER DISCHARGE IS NOT COMPREHENSIVE FOR LACKING ANALYSIS OF MUTUAL FLOW AND NECESSARY COMPONENTS. IN THIS STUDY, A WASTEWATER METABOLISM INPUT-OUTPUT MODEL IS DEVELOPED TO ACHIEVE SUSTAINABLE DEVELOPMENT THROUGH A NOVEL PERSPECTIVE TO DEPICT THE INDUSTRIAL WASTEWATER FLOW AMONG SECTORS. SINCE CHEMICAL OXYGEN DEMAND AND AMMONIA NITROGEN ARE INDICATORS FOR STUDYING THE DEGREE OF WASTEWATER POLLUTION, THIS PAPER ALSO CONSIDERS THEIR WASTEWATER TO MAKE THE RESEARCH SYNTHETIC AND SYSTEMATIC. A CASE STUDY OF GUANGDONG PROVINCE, CHINA, IS CONDUCTED TO FURTHER ILLUSTRATE THE POTENTIAL BENEFITS OF THE MODEL IN INVESTIGATION OF THE SECTORS INTERACTIONS. THE RESULTS SHOW THAT THE WASTEWATER DISCHARGE OF GUANGDONG PROVINCE IS CONSIDERABLE, WITH INDUSTRIAL WASTEWATER, CHEMICAL OXYGEN DEMAND WASTEWATER AND AMMONIA-NITROGEN WASTEWATER BEING 7.53 BILLION TONS, 852 THOUSAND TONS AND 69 THOUSAND TONS RESPECTIVELY. SOME TYPICAL SECTORS HAVE BEEN DISTINGUISHED BASED ON ECOLOGICAL NETWORK ANALYSIS AND INPUT-OUTPUT ANALYSIS FOR MITIGATING WASTEWATER DISCHARGE, SUCH AS ELECTRONIC EQUIPMENT MANUFACTURE, CHEMICAL MATERIALS AND PAPER MANUFACTURE, AND TERTIARY INDUSTRY. THE IMPLEMENTATION OF THE ``REPLACE SUBSIDIES WITH REWARDS'' POLICY IS CONDUCIVE TO THE DISCHARGE REDUCTION OF THE SYSTEM. (C) 2019 PUBLISHED BY ELSEVIER LTD.",""
"7","ENA","FANG D, 2019, APPL ENERGY","ISI000461262300005","INFORMATION-BASED ECOLOGICAL NETWORK ANALYSIS FOR CARBON EMISSIONS","INVESTIGATION OF THE CARBON EMISSION STRUCTURE TO PRODUCE MORE RATIONAL AND EQUITABLE DECARBONIZATION POLICY OPTIONS WILL HELP ADDRESS LARGE INEQUALITIES IN CARBON LEVELS. THIS STUDY PROPOSES INFORMATION-BASED ECOLOGICAL NETWORK ANALYSIS TO EVALUATE THE DISTRIBUTION OF EMBODIED CARBON FLOWS IN SOCIO-ECONOMIC NETWORKS. A CASE STUDY EXAMINED THE RELATIONSHIP BETWEEN EMBODIED CARBON STRUCTURE AND PRODUCTION-BASED CARBON INTENSITY IN CHINA. RESULTS SHOWED THAT MOST WEALTHY PROVINCES WERE LESS CARBON-INTENSIVE WITH EMBODIED CARBON FLOWS BEING DISPERSED ACROSS THE NETWORK. THIS PRODUCED A NEED FOR DECENTRALIZED CARBON MITIGATION MEASURES. DEVELOPED REGIONS HAD HIGHER PRODUCTION-BASED CARBON INTENSITIES WITH MOST EMBODIED CARBON FLOWS AGGREGATED IN A FEW PATHWAYS. THIS INDICATED THAT ONLY PARTS OF THE ECONOMIC SECTOR WERE RESPONSIBLE FOR LARGE AMOUNTS OF CARBON EMISSIONS EMBODIED IN PRODUCTS EXPORTED TO OTHER REGIONS, WHICH WOULD REQUIRE A CENTRALIZED DECARBONIZATION POLICY. THE PROPOSED INFORMATION-BASED ECOLOGICAL NETWORK ANALYSIS METHOD MAY HELP FACILITATE RATIONAL MITIGATION STRATEGIES BASED ON THE SPECIFIC CARBON EMISSION STRUCTURES OF VARIOUS REGIONS. GIVEN THE AMBITIOUS EMISSION MITIGATION TARGETS AND INEQUITABLE REGIONAL DEVELOPMENT SITUATION, OUR AIM IS TO FACILITATE THE DECARBONIZATION OF CHINA AS WELL AS CONTRIBUTE TO RATIONAL AND EQUAL CARBON MITIGATION POLICY ENACTMENT.",""
"8","ENA","WANG S, 2019, APPL ENERGY","ISI000454376900064","ENERGY WATER NEXUS UNDER ENERGY MIX SCENARIOS USING INPUT OUTPUT AND ECOLOGICAL NETWORK ANALYSES","INCREASING DEMAND FOR ENERGY, AN EVOLVING ELECTRICITY-GENERATION MIX, AND WATER DEMAND FROM COMPETING SECTORS HAVE IMPORTANT IMPLICATIONS FOR WATER BUDGETS AND ENERGY PLANNING. TO EVALUATE THE WATER-RELATED IMPACTS OF ENERGY-RELATED DECISIONS, WE BUILT A NATIONAL ENERGY WATER NEXUS SCENARIO ANALYSIS ASSESSMENT FRAMEWORK BY EXTENDING INPUT OUTPUT ANALYSIS (IOA) TO FUTURE ENERGY MIX SCENARIOS OF CHINA. THE SCENARIOS FOR CHINA OUT TO 2050 INCLUDE FOUR LOW-CARBON-DEVELOPMENT SCENARIOS THAT ARE PLANNED IN CLIMATE CHANGE MITIGATION ROADMAPS AND ONE BASELINE SCENARIO. SECTORAL DIRECT ENERGY, DIRECT WATER, WATER-RELATED ENERGY, AND ENERGY-RELATED WATER CONSUMPTION WERE INVENTORIED. SECTORAL EMBODIED CONSUMPTION OF WATER AND ENERGY AND THEIR INTER-SECTOR FLOWS WERE MAPPED USING IOA TO CREATE ENERGY WATER NEXUS NETWORKS. A SECTORAL NEXUS WAS DEFINED TO INVESTIGATE THE IMPACT OF THE ENERGY WATER LINKAGE ON ENERGY AND WATER SYSTEMS. SECTORAL CONTROL AND DEPENDENCE RELATIONSHIPS WERE REVEALED BY ECOLOGICAL NETWORK ANALYSIS. RESULTS SHOWED THAT NEXUS IMPACT ON THE WATER SYSTEM WAS LARGER THAN THAT ON THE ENERGY SYSTEM. THE MAIN EXPORT AND IMPORT PAIRS-CHEMICAL INDUSTRY-AGRICULTURE (AG), MANUFACTURING-AG, AG METAL SMELTING AND PRESSING (ME), AND ME-ELECTRICITY (EL) SHOULD BE CRITICAL PATHWAYS FOR NEXUS MANAGEMENT VIA THE ADJUSTMENT OF SECTORAL ECONOMIC RELATIONSHIPS. THE SECTORS WITH A HIGH NEXUS IMPACT-AG, EL, AND ME-SHOULD DECREASE THEIR ENERGY AND WATER CONSUMPTION TO ACHIEVE OUTSIZED SYSTEM-WIDE SAVINGS. SECTORS WITH A LOW NEXUS IMPACT SUCH AS DOMESTIC SERVICES; TRANSPORT, STORAGE AND POST SERVICES; AND WATER PRODUCTION AND SUPPLY-CAN INCREASE THEIR ENERGY AND WATER CONSUMPTION WITH A LESSER IMPACT ON THE WIDER SYSTEM. THE LOW-CARBON-DEVELOPMENT SCENARIO EXHIBITED THE LOWEST NEXUS IMPACT, FOLLOWED BY THE ENHANCED LOW-CARBON SCENARIO, WHOSE ENERGY MIX ALSO EXERTED THE LOWEST PRESSURE ON THE WATER SYSTEM. BY ANALYZING THE TRADEOFFS BETWEEN ENERGY, WATER, AND CARBON EMISSIONS UNDER FIVE SCENARIOS, THIS STUDY PROVIDES INSIGHTS FOR NEXUS MANAGEMENT ON HOW TO BALANCE WATER SHORTAGE ISSUES AND THE DEVELOPMENT OF ENERGY GENERATION IN FUTURE ENERGY AND WATER RESOURCE PLANNING.",""
"9","ENA","GUAN Y, 2019, ENVIRON POLLUT","ISI000452940700031","ECOLOGICAL NETWORK ANALYSIS FOR AN INDUSTRIAL SOLID WASTE METABOLISM SYSTEM","FACED WITH AN INCREASING AMOUNT OF INDUSTRIAL SOLID WASTE (ISW) IN THE PROCESS OF RAPID INDUSTRIALIZATION, IT IS INDISPENSABLE TO CARRY OUT ISW METABOLISM STUDY TO REALIZE SOURCE AND WASTE REDUCTION. IN THIS STUDY, A NEW COMPOSITE WASTE INPUT-OUTPUT (WIO) MODEL IS DEVELOPED TO EXAMINE ISW PRODUCTION AND PRODUCTION RELATIONSHIPS AMONG DIFFERENT SECTORS. IN PARTICULAR, THE EXTENDED METHODS OF NETWORK CONTROL ANALYSIS AND NETWORK UTILITY ANALYSIS ARE USED IN THE ECOLOGICAL NETWORK ANALYSIS UNDER TWO ISW SCENARIOS (I.E. COMMON INDUSTRIAL SOLID WASTE (CISW) AND HAZARDOUS WASTE (HW) SCENARIOS). FURTHERMORE, COMPREHENSIVE UTILIZATION ANALYSIS IS FIRST DEVELOPED TO EVALUATE THE ISW UTILIZATION LEVEL AND TO GUIDE THE PLANNING OF SECTORS WITH LARGE PROPORTION OF ISW PRODUCTION. A CASE STUDY OF GUANGDONG, CHINA SHOWS THAT INDIRECT FLOW ANALYSIS CAN BE USED TO UNDERSTAND THE INTERNAL ISW METABOLISM STRUCTURE. THE MINING SECTORS PRODUCE A LARGE AMOUNT OF DIRECT ISW AND PERFORM A LOW LEVEL OF COMPREHENSIVE UTILIZATION, BUT THEY HAVE MUTUALISM RELATIONSHIPS WITH OTHER SECTORS. THE ENERGY TRANSFORMATION (EH) SECTOR IN THE CISW SYSTEM HAS HIGH DIRECT GENERATION INTENSITY AND PLAYS AS A MAIN CONTROLLER. THE SITUATION OF PAPER MANUFACTURING (MP) SECTOR IN HW SYSTEM IS SIMILAR TO THAT OF EH. THEREFORE, IT IS EXPECTED THAT THE RESULTS OF THIS STUDY WILL PROVIDE SCIENTIFIC FOUNDATIONS FOR THESE SECTORS TO FORMULATE FUTURE ISW REDUCTION POLICIES. (C) 2018 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"10","ENA","ZHANG X, 2018, ECOL INDIC","ISI000456907400014","ECOLOGICAL AND ECONOMIC ANALYSES OF THE FOREST METABOLISM SYSTEM: A CASE STUDY OF GUANGDONG PROVINCE, CHINA","INTEGRATING FOREST RESOURCES INTO THE SOCIO-ECONOMIC SYSTEM CORRECTLY AND REASONABLY IS OF VITAL IMPORTANCE TO TACKLE THE INCREASINGLY SCARCE FOREST RESOURCES. IN THIS PAPER, FOREST RESOURCE INPUT-OUTPUT MODEL AND FOREST RESOURCE METABOLISM NETWORK MODEL ARE ESTABLISHED TO PROVIDE NEW INSIGHTS INTO THE RELATIONSHIPS AMONG THE SYSTEMS, INDUSTRIES AND SECTORS RELATED TO FOREST RESOURCES. A PROMISING INDICATOR NAMED EXPLOITATION INDEX IS DEVELOPED TO REVEAL THE WEAKER SECTORS IN THE ECOLOGICAL RELATIONS, WHICH WILL FURTHER HELP TO PROVIDE BETTER CORRECTIVE ACTIONS AND INTEGRATED STRATEGIC MEASURES. GUANGDONG IS TAKEN AS AN EXAMPLE TO VERIFY THE AVAILABILITY OF THE MODEL AND SOLVE THE PROBLEM. THE RESULTS SHOW THAT THE PRIMARY MANUFACTURING CONSUMES MORE DIRECT TIMBER, WHILE ADVANCED MANUFACTURING AND THE SERVICE SECTOR UTILIZE TIMBER INDIRECTLY. IN ADDITION, GUANGDONG FOREST METABOLISM SYSTEM SHOWS A NEGATIVE CORRELATION AND THE WHOLE NETWORK DOES NOT ACHIEVE THE MUTUALISM STATE, LEADING TO COMPETITION RELATIONSHIPS BETWEEN PAIRWISE SECTORS THAT SHOULD NOT APPEAR, SUCH AS FORESTRY SECTOR AND PAPERMAKING AND PAPER PRODUCTS SECTOR. THESE RESULTS PROVIDE THE CORRESPONDING REFERENCE FOR HELPING THE DECISION MAKERS TO ALLOCATE FOREST RESOURCES AND COORDINATE ECOLOGICAL AND ECONOMIC DEVELOPMENT.",""
