"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Forest","SHRESTHA P, 2019, FOR SCI","ISI000482774200008","CARBON EMISSION FLOW AND TRANSFER THROUGH INTERNATIONAL TRADE OF FOREST PRODUCTS","THE ENVIRONMENTAL IMPACT OF COMMODITY TRADE HAS BECOME A CONSIDERABLE CONCERN IN RECENT DECADES. IN THIS STUDY, CARBON EMISSIONS EMBODIED IN FOREST PRODUCTS TRADE ARE EXAMINED THROUGH A MULTIREGIONAL INPUT-OUTPUT MODEL. COMPARED WITH OTHER INDUSTRIES, THE FOREST PRODUCTS INDUSTRY IS DEAN WITH A SMALL TOTAL EMISSION AND MEAN EMISSION INTENSITY. THE PAPER SECTOR IS MORE SUBSTANTIAL IN TOTAL EMISSION AND DIRTIER IN EMISSION INTENSITY THAN THE WOOD SECTOR. MOST COUNTRIES WITH EXTENSIVE FOREST PRODUCTS TRADE HAVE EXPERIENCED DECLINING CONSUMPTION-BASED CARBON EMISSIONS OVER 1995-2009, AND ALL COUNTRIES HAVE BECOME CLEANER BASED ON THE EMISSION INTENSITY VALUE. CARBON EMISSIONS EMBODIED IN INTERNATIONAL TRADE OF FOREST PRODUCTS ARE ABOUT 25 PERCENT OF TOTAL EMISSIONS FROM PRODUCTION ACTIVITIES. DEVELOPING COUNTRIES GENERALLY HAVE MUCH HIGHER EMISSION INTENSITIES THAN DEVELOPED COUNTRIES. UNCERTAINTIES IN THE CARBON EMISSION DATA HAVE A LARGER IMPACT THAN THOSE IN THE INTERMEDIATE AND FINAL CONSUMPTION DATA. THESE FINDINGS ARE HELPFUL FOR POLICYMAKERS TO UNDERSTAND THE ECONOMIC-ENVIRONMENTAL RELATIONS OF FOREST PRODUCTS TRADE AND TO IMPROVE POLICY AND AGREEMENT DESIGNS.",""
"2","Forest","ZHAO X, 2019, J CLEAN PROD","ISI000468709400079","ACCOUNTING GLOBAL GREY WATER FOOTPRINT FROM BOTH CONSUMPTION AND PRODUCTION PERSPECTIVES","GREY WATER FOOTPRINT (GWF) ACCOUNTING HAS PREVIOUSLY BEEN CONDUCTED AT THE GLOBAL LEVEL USING A BOTTOM-UP APPROACH BUT LACKING DETAILED INDUSTRIAL INFORMATION. HERE WE APPLIED A MULTI-REGION INPUT-OUTPUT APPROACH BASED ON THE WORLD INPUT-OUTPUT DATABASE (WIOD) TO QUANTIFY GLOBAL GWF OF 40 COUNTRIES/REGIONS WITH 35 ECONOMIC SECTORS. THE GWF FROM BOTH THE PRODUCTION PERSPECTIVE (GWFP), AND THE CONSUMPTION PERSPECTIVE (GWFC) ARE QUANTIFIED. THE RESULTS SHOW THAT THE GLOBAL GWFP/GWFC WAS 1507.9 KM(3) IN 2009. EXCEPT FOR THE ``AGRICULTURE, HUNTING, FORESTRY AND FISHING'' SECTOR, THE INDUSTRIAL SECTORS WITH THE LARGEST GWFC WERE ``FOOD, BEVERAGES AND TOBACCO'' ``CONSTRUCTION'' ``CHEMICALS AND CHEMICAL PRODUCTS'' AND ``TEXTILES AND TEXTILE PRODUCTS''. THE BRIC COUNTRIES (BRAZIL, RUSSIA, INDIA, CHINA) HAD A LARGER GWFP THAN THEIR GWFC, WHICH ACCOUNTED FOR OVER HALF OF GLOBAL GWFP (53.6\%), AND THEIR GWFP WAS MAINLY GENERATED FROM THE PRODUCTION OF DOMESTIC FINAL DEMAND. IN CONTRAST, THE OECD29 AND EU27 GROUPS OF COUNTRIES I.E. THE COUNTRY GROUPS CONSISTING MAINLY OF ECONOMICALLY ADVANCED NATIONS, HAD LARGER GWFC THAN THEIR GWFP. OVERALL, THE OECD29 AND EU27 OUTSOURCED 134.8 KM(3) AND 64.4 KM(3) OF THEIR GREY WATER RESPECTIVELY, MOSTLY TO LARGE NEWLY ADVANCED ECONOMIES SUCH AS THE BRIC GROUP OF COUNTRIES, WHICH, IN TURN, WERE COLLECTIVELY OUTSOURCING 112 KM(3) OF GREY WATER. QUANTITATIVE APPROACHES ARE THUS SUGGESTED FOR DEVELOPMENT, AIMED AT SHARED RESPONSIBILITY FOR WATER POLLUTANT DISCHARGE AMONG POOR EXPORTERS AND WEALTHY CONSUMERS. (C) 2019 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"3","Forest","CHEN Y, 2019, LANDSC URBAN PLAN","ISI000467665900006","QUANTIFYING THE TELECONNECTIONS BETWEEN LOCAL CONSUMPTION AND DOMESTIC LAND USES IN CHINA","LAND TELECONNECTIONS REFER TO THE SOCIOECONOMIC AND ENVIRONMENTAL INTERACTIONS RELATED TO LAND USE AMONG DISTANT REGIONS. CHINA HAS BEEN EXPERIENCING RADICAL LAND USE CHANGES SINCE ITS ECONOMIC REFORM IN 1978. THE QUANTIFICATION OF LAND TELECONNECTIONS IS CRITICAL FOR UNDERSTANDING LAND-RELATED SOCIAL AND ENVIRONMENTAL PROBLEMS. THIS STUDY DESCRIBES THE LAND TELECONNECTIONS IN CHINA AT THE PROVINCIAL SCALE, USING A MULTIREGIONAL INPUT-OUTPUT MODEL AND THE LATEST DOMESTIC TRADE DATA IN 2012. IT IS FOUND THAT LARGE AMOUNTS OF LAND IN THE WESTERN PROVINCES OF CHINA ARE CONSUMED BY THE COASTAL PROVINCES. MORE THAN 90\% OF LAND CONSUMED BY BEIJING, TIANJIN AND SHANGHAI IS FROM OTHER PROVINCES. AGRICULTURAL LAND MAINLY TRANSFERS IN THE WEST-TO-EAST AND NORTH-TO-SOUTH DIRECTIONS. THE REGIONS IN NORTHEAST AND NORTHWEST CHINA HAVE THE LARGEST AMOUNT OF AGRICULTURAL LAND OUTFLOW COMPARED WITH THE OTHER REGIONS. AT THE NATIONAL LEVEL, 11.21\% OF CULTIVATED LAND, 14.23\% OF AQUATIC LAND, 12.06\% OF FORESTLAND, 9.70\% OF GRAZING LAND AND 13.04\% OF BUILT-UP LAND ARE EXPORTED THROUGH INTERNATIONAL TRADE. DESPITE THE ECONOMIC BENEFITS ACCOMPANYING INTERREGIONAL LAND FLOW, VULNERABLE REGIONS WITH SEVERE WATER SHORTAGES MAY FACE A EVEN MORE CHALLENGING FUTURE IF THE CURRENT LAND TELECONNECTIONS STRENGTHEN. BY PRESENTING THE LATEST INFORMATION WITH RESPECT TO THE LAND TELECONNECTIONS, OUR RESULTS CAN PROVIDE A BASIS TO FURTHER ASSESS THE ECOLOGICAL DEGRADATION DUE TO DISTANT LAND UTILIZATION AND ALLOW THE IDENTIFICATION OF THE SPECIFIC LAND CONSUMERS THAT SHOULD BE RESPONSIBLE FOR THE ECOLOGICAL DEGRADATION.",""
"4","Forest","RUIZ PENALVER SM, 2014, WASTE MANAGE","ISI000329001100002","DIRECT AND INDIRECT GENERATION OF WASTE IN THE SPANISH PAPER INDUSTRY","THE PAPER INDUSTRY HAS A RELATIVELY HIGH DEGREE OF RELIANCE ON SUPPLIERS WHEN COMPARED TO OTHER INDUSTRIES. EXPLORING THE ROLE OF THE PAPER INDUSTRY IN TERMS OF CONSUMPTION OF INTERMEDIATE INPUTS FROM OTHER INDUSTRIES MAY HELP TO UNDERSTAND HOW THE PRODUCTION OF PAPER DOES NOT ONLY GENERATE WASTE BY ITSELF BUT ALSO AFFECTS THE AMOUNT OF WASTE GENERATED BY OTHER INDUSTRIES. THE PRODUCT LIFE CYCLE ASSESSMENT (LCA) IS A USEFUL ANALYTICAL TOOL TO EXAMINE AND ASSESS ENVIRONMENTAL IMPACTS OVER THE ENTIRE LIFE CYCLE OF A PRODUCT ``FROM CRADLE TO GRAVE'' BUT IT IS COSTLY AND TIME INTENSIVE. IN CONTRAST, ECONOMIC INPUT OUTPUT LIFE CYCLE ASSESSMENT MODELS (IO-LCA) THAT COMBINE LCA WITH INPUT-OUTPUT ANALYSIS (IO) ARE MORE ACCURATE AND LESS EXPENSIVE, AS THEY EMPLOY PUBLICLY AVAILABLE DATA. THIS PAPER REPRESENTS ONE OF THE FIRST SPANISH STUDIES AIMED AT ESTIMATING THE WASTE GENERATED IN THE PRODUCTION OF PAPER BY APPLYING IO-LCA. ONE OF THE MAJOR BENEFITS IS THE DERIVATION OF THE CONTRIBUTION OF DIRECT AND INDIRECT SUPPLIERS TO THE PAPER INDUSTRY. THE RESULTS OBTAINED SHOW THAT THERE WAS NO DIRECT RELATIONSHIP BETWEEN THE IMPACT ON OUTPUT AND THE IMPACT ON WASTE GENERATION EXERTED BY THE PAPER INDUSTRY. THE MAJOR CONTRIBUTORS TO WASTE GENERATION WERE THE MINING INDUSTRY AND THE FORESTRY INDUSTRY. (C) 2013 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"5","Forest","KARSTENSEN J, 2013, ENVIRON RES LETT","ISI000321425100009","ATTRIBUTION OF CO2 EMISSIONS FROM BRAZILIAN DEFORESTATION TO CONSUMERS BETWEEN 1990 AND 2010","EFFORTS TO REDUCE DEFORESTATION TO MITIGATE CLIMATE CHANGE AND TO CONSERVE BIODIVERSITY ARE TAKING PLACE ON A GLOBAL SCALE. WHILE MANY STUDIES HAVE ESTIMATED THE EMISSIONS OCCURRING FROM DEFORESTATION, FEW STUDIES HAVE QUANTIFIED THE DOMESTIC AND INTERNATIONAL DRIVERS SUSTAINING DEFORESTATION RATES. IN THIS STUDY WE ESTABLISH THE LINK BETWEEN BRAZILIAN DEFORESTATION AND PRODUCTION OF CATTLE AND SOYBEANS, AND ALLOCATE EMISSIONS BETWEEN 1990 AND 2010 ALONG THE GLOBAL SUPPLY CHAIN TO THE COUNTRIES THAT CONSUME PRODUCTS DEPENDENT ON BRAZILIAN DEFORESTATION. WE FIND THAT 30\% OF THE CARBON EMISSIONS ASSOCIATED WITH DEFORESTATION WERE EXPORTED FROM BRAZIL IN THE LAST DECADE, OF WHICH 29\% WERE DUE TO SOYBEAN PRODUCTION AND 71\% CATTLE RANCHING. THE SHARE EXPORTED IS GROWING, WITH INDUSTRIALIZED NATIONS AND EMERGING MARKETS (ESPECIALLY RUSSIA AND CHINA) GREATLY INCREASING IMPORTS. WE FIND A CORRELATION BETWEEN EXPORTS (AND HENCE GLOBAL CONSUMPTION) OF BRAZILIAN CATTLE AND SOYBEANS AND EMISSIONS FROM DEFORESTATION. WE CONCLUDE THAT TRADE IS EMERGING AS A KEY DRIVER OF DEFORESTATION IN BRAZIL, AND THIS MAY INDIRECTLY CONTRIBUTE TO LOSS OF THE FORESTS THAT INDUSTRIALIZED COUNTRIES ARE SEEKING TO PROTECT THROUGH INTERNATIONAL AGREEMENTS.",""
"6","Forest","WEINZETTEL J, 2013, GLOB ENVIRON CHANGE-HUMAN POLICY DIMENS","ISI000318327500005","AFFLUENCE DRIVES THE GLOBAL DISPLACEMENT OF LAND USE","INCREASING AFFLUENCE IS OFTEN POSTULATED AS A MAIN DRIVER FOR THE HUMAN FOOTPRINT ON BIOLOGICALLY PRODUCTIVE AREAS, IDENTIFIED AMONG THE MAIN CAUSES OF BIODIVERSITY LOSS, BUT CAUSAL RELATIONSHIPS ARE OBSCURED BY INTERNATIONAL TRADE. HERE, WE TRACE THE USE OF LAND AND OCEAN AREA THROUGH INTERNATIONAL SUPPLY CHAINS TO FINAL CONSUMPTION, MODELING AGRICULTURAL, FOOD, AND FORESTRY PRODUCTS ON A HIGH LEVEL OF RESOLUTION WHILE ALSO INCLUDING THE LAND REQUIREMENTS OF MANUFACTURED GOODS AND SERVICES. IN 2004, HIGH-INCOME COUNTRIES REQUIRED MORE BIOLOGICALLY PRODUCTIVE LAND PER CAPITA THAN LOW-INCOME COUNTRIES, BUT THIS CONNECTION COULD ONLY BE IDENTIFIED WHEN LAND USED TO PRODUCE INTERNATIONALLY TRADED PRODUCTS WAS TAKEN INTO ACCOUNT, BECAUSE HIGHER-INCOME COUNTRIES TEND TO DISPLACE A LARGER FRACTION OF LAND USE. THE EQUIVALENT LAND AND OCEAN AREA FOOTPRINT OF NATIONS INCREASED BY A THIRD FOR EACH DOUBLING OF INCOME, WITH ALL VARIABLES ANALYZED ON A PER CAPITA BASIS. THIS INCREASE CAME LARGELY FROM IMPORTS, WHICH INCREASED PROPORTIONALLY TO INCOME. EXPORT DEPENDED MOSTLY ON THE CAPACITY OF COUNTRIES TO PRODUCE USEFUL BIOMASS, THE BIOCAPACITY. OUR ANALYSIS CLEARLY SHOWS THAT COUNTRIES WITH A HIGH BIOCAPACITY PER CAPITA TEND TO SPARE MORE LAND FOR NATURE. BIOCAPACITY PER CAPITA CAN BE INCREASED THROUGH MORE INTENSIVE PRODUCTION OR BY REDUCING POPULATION DENSITY. THE NET DISPLACEMENT OF LAND USE FROM HIGH-INCOME TO LOW-INCOME COUNTRIES AMOUNTED TO 6\% OF THE GLOBAL LAND DEMAND, EVEN THOUGH HIGH-INCOME COUNTRIES HAD MORE LAND AVAILABLE PER CAPITA THAN LOW-INCOME COUNTRIES. IN PARTICULAR, EUROPE AND JAPAN PLACED HIGH PRESSURE ON ECOSYSTEMS IN LOWER-INCOME COUNTRIES. (C) 2013 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"7","Forest","SCHAUBROECK T, 2012, ECOL MODEL","ISI000313089600015","IMPROVED ECOLOGICAL NETWORK ANALYSIS FOR ENVIRONMENTAL SUSTAINABILITY ASSESSMENT; A CASE STUDY ON A FOREST ECOSYSTEM","TO ASSESS THE ENVIRONMENTAL SUSTAINABILITY OF INDUSTRIAL PRODUCTS AND SERVICES, TOOLS SUCH AS LIFE CYCLE ASSESSMENT (LCA) HAVE BEEN DEVELOPED. IN LCA, THE TOTAL ENVIRONMENTAL IMPACT OF RESOURCE EXTRACTION AND EMISSIONS DURING A PRODUCT'S LIFE CYCLE IS QUANTIFIED. TO BETTER QUANTIFY THIS IMPACT, FIRST THE ALTERATION OF ECOSYSTEMS INDUCED BY THOSE PROCESSES NEEDS TO BE ACCOUNTED FOR. SECOND, THE FLOW NETWORKS OF ECOSYSTEMS, RESPONSIBLE FOR THE FORMATION OF THE EXTRACTED RESOURCES, SHOULD BE INCLUDED IN THE PRODUCT'S LIFE CYCLE. TO ACHIEVE THESE TWO OBJECTIVES, A TOOL WAS SELECTED WHICH STUDIES THE FLOW NETWORKS OF ECOSYSTEMS: ECOLOGICAL NETWORK ANALYSIS (ENA). IN ENA, TOTAL SYSTEM INDICATORS ARE CALCULATED WHICH ASSESS AN ECOSYSTEM'S FUNCTIONING (E.G. CYCLING). ALTERATIONS OF ECOSYSTEMS CAN BE REPRESENTED BY CHANGES IN THE VALUES OF THOSE INDICATORS. ENA IS BASED ON THE COMPUTATIONAL FRAMEWORK OF INPUT-OUTPUT ANALYSIS (IA). THIS FRAMEWORK IS ALSO USED IN LCA ALLOWING FOR A POSSIBLE EXTENSION OF A PRODUCT'S LIFE CYCLE IN AN LCA WITH THE ECOSYSTEM FLOW NETWORKS OF ENA. THE ENA/IOA FRAMEWORK ITSELF WAS REVISED AND IMPROVED IN THIS STUDY TO BETTER FIT IN AN LCA FRAMEWORK, PRIOR TO INTEGRATION AND APPLICATION IN LCA. THE MAJOR ADAPTATION WAS TO ENABLE PHYSICAL COMPARTMENTALIZATION OF THE SURROUNDING ENVIRONMENT OF THE STUDIED (ECO)SYSTEM. THIS ALLOWS FOR A SPECIFICATION OF DESTINATIONS AND SOURCES OF EXPORT AND IMPORT FLOWS, RESPECTIVELY, WHICH IS DESIRED IN LCA TO ASSESS THE IMPACT OF THESE FLOWS. NEXT TO THAT, THE ADAPTED FRAMEWORK WAS MADE APPLICABLE TO NON-STEADY-STATE SYSTEMS BY APPLYING FINN'S CONCEPT (1976, 1977), IN WHICH INCREASE, INCREMENT, AND DECREASE, DEPLETION, IN STOCK ARE CONSIDERED ABSTRACT EXPORT AND IMPORT FLOWS, RESPECTIVELY. AS AN EXAMPLE, THE ADAPTED ENA FRAMEWORK WAS APPLIED TO A FOREST ECOSYSTEM. HOWEVER, THERE ARE NO STANDARDS YET FOR THE DIFFERENT CHOICES IN THE ENA METHODOLOGY, WHICH CAN HAVE AN INFLUENCE ON THE INDICATOR VALUES. HENCE, DEFINING SUCH STANDARDS IS A NEXT IMPORTANT RESEARCH STEP. (C) 2012 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"8","Forest","LIU CH, 2012, NAT RESOUR FORUM","ISI000304345600006","A DISAGGREGATED EMISSIONS INVENTORY FOR TAIWAN WITH USES IN HYBRID INPUT-OUTPUT LIFE CYCLE ANALYSIS (IO-LCA)","THIS PAPER REPORTS ON A LIFE-CYCLE ANALYSIS (LCA) OF TAIWAN'S AGRICULTURE AND FORESTRY, CRUDE PETROLEUM, COAL AND NATURAL GAS EXTRACTION AND ELECTRICITY GENERATION SECTORS, REVEALING FOR THE FIRST TIME TAIWAN'S CO2 AND CH4 EMISSIONS INVENTORIES AND MATCHING TAIWAN'S INPUT-OUTPUT SECTORS. INTEGRATED HYBRID INPUT-OUTPUT LIFE CYCLE ANALYSIS IS USED TO DISAGGREGATE THE ELECTRICITY GENERATION SECTOR INTO NUCLEAR, HYDRO, GAS, OIL AND COAL, AND COGENERATION. RESULTS SHOW THAT THE FOSSIL-FUEL-RELATED ELECTRICITY SUB-SECTORS HAVE HIGHER CO2 EMISSIONS INTENSITY THAN THE REMAINING SECTORS IN THE ECONOMY AND THAT THE PADDY RICE SECTOR IS TAIWAN'S MOST CH4-INTENSIVE SECTOR, MAKING RICE CULTIVATION AN IMPORTANT SOURCE OF CH4 EMISSIONS. THIS WORK IS VITAL TO SOUND POLICY DECISIONS CONCERNING POWER GENERATION, COAL, AND AGRICULTURE AND FORESTRY AT THE NATIONAL LEVEL.",""
"9","Forest","AHTIKOSKI A, 2011, FORESTS","ISI000208657300005","POTENTIAL TRADE-OFFS BETWEEN NATURE-BASED TOURISM AND FORESTRY, A CASE STUDY IN NORTHERN FINLAND","FORESTRY, AS A LARGE INDUSTRY, HAS SIGNIFICANT IMPACTS ON THE QUALITY OF NATURE-BASED TOURISM LANDSCAPES IN BOREAL FORESTS. IN FINLAND, THE RAPID GROWTH OF NATURE-BASED TOURISM HAS EXPANDED OUTDOOR RECREATION ACTIVITIES FROM PROTECTED AREAS INTO TIMBER PRODUCTION FORESTS; THIS IS PARTICULARLY SO IN NORTHERN FINLAND. THIS PAPER FOCUSES ON ASSESSING BALANCED LOCAL NET IMPACTS OF THREE ALTERNATIVE LAND-USE SCENARIOS, IN WHICH THE LEVEL OF INTEGRATION BETWEEN NATURE-BASED TOURISM (NBT) AND TRADITIONAL FORESTRY IS VARIED. THE STUDY IS LOCATED IN NORTHERN FINLAND IN THE AREA BETWEEN TWO TOP-RATED TOURIST RESORTS, YLLAS AND LEVI. THE RESULTS OF THE CASE STUDY SUPPORT THE IDEA OF AN ELIGIBLE INTEGRATION BETWEEN NBT AND FORESTRY, WHICH TAKES INTO ACCOUNT SCENIC QUALITIES OF FORESTED LANDSCAPES BY RESTRICTING TRADITIONAL MANAGEMENT PRACTICES. IN OUR CASE, THE INCREASED NUMBER OF TOURISTS (DUE TO A MORE ATTRACTIVE FOREST ENVIRONMENT) OFFSET THE LOSSES ACCRUED IN FORESTRY (DUE TO RESTRICTED FOREST MANAGEMENT).",""
"10","Forest","BORZONI M, 2011, ECOL ECON","ISI000298266200025","MULTI-SCALE INTEGRATED ASSESSMENT OF SOYBEAN BIODIESEL IN BRAZIL","DEVELOPING COUNTIES ARE OFTEN BELIEVED TO HAVE EXCELLENT CONDITIONS FOR BIOFUEL PRODUCTION, HOWEVER STUDIES AIMED AT ASSESSING THE SUSTAINABILITY OF LARGE SCALE BIOFUEL PROGRAMS HAVE GENERALLY FOCUSED ON A FEW VARIABLES RELATED TO ONE SCIENTIFIC DOMAIN AND ONE SCALE. CONTRARY TO THIS APPROACH, THIS PAPER ANALYZES SOYBEAN BIODIESEL IN BRAZIL USING A PARALLEL BIOPHYSICAL AND ECONOMIC ASSESSMENT AT DIFFERENT SCALES. A MULTI-SCALE INTEGRATED ANALYSIS OF SOCIETAL AND ECOSYSTEM METABOLISM (MUSIASEM) APPROACH IS APPLIED AS A SCENARIO ANALYSIS TOOL. A SOYBEAN BIODIESEL ENERGY BALANCE FOR THE SPECIFIC CONDITIONS OF BRAZIL IS INCLUDED AND THE ENERGY RATIO TURNS OUT TO BE 1.09. THIS MEANS THAT THE ENERGY DELIVERED IS HIGHER THAN THE ENERGY INVESTED, HOWEVER THE NET ENERGY IS VERY LOW. THE ECONOMIC IMPACTS ARE ANALYZED THROUGH INPUT-OUTPUT ANALYSIS. THE RESULTS SHOW THAT SOYBEAN BIODIESEL INCREASES ENERGY CONSUMPTION PER HOUR OF WORK WITHOUT A CORRESPONDING INCREASE IN ECONOMIC LABOR PRODUCTIVITY. CONSEQUENTLY THE ALREADY LOW ENERGY EFFICIENCY OF BRAZILIAN PRODUCTION COULD GET WORSE. ALTHOUGH BRAZIL HAS LARGE EXPANSES OF LAND, THE SUBSTITUTION OF 20\% FOSSIL DIESEL (I.E. JUST 3.3\% OF THE COUNTRY'S PRIMARY ENERGY CONSUMPTION) WITH FULLY RENEWABLE BIODIESEL MIGHT DESTROY PROTECTED AREAS AND FORESTS AND INCREASE THE GHGS EMITTED. (C) 2011 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
