"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","IO_MRIO","WIELAND H, 2020, J IND ECOL","ISI000502911200001","SUPPLY VERSUS USE DESIGNS OF ENVIRONMENTAL EXTENSIONS IN INPUT-OUTPUT ANALYSIS: CONCEPTUAL AND EMPIRICAL IMPLICATIONS FOR THE CASE OF ENERGY","INPUT-OUTPUT ANALYSIS IS ONE OF THE CENTRAL METHODOLOGICAL PILLARS OF INDUSTRIAL ECOLOGY. HOWEVER, THE LITERATURE THAT DISCUSSES DIFFERENT STRUCTURES OF ENVIRONMENTAL EXTENSIONS (EES), THAT IS, THE SCOPE OF PHYSICAL FLOWS AND THEIR ATTRIBUTION TO SECTORS IN THE MONETARY INPUT-OUTPUT TABLE (MIOT), REMAINS FRAGMENTED. THIS ARTICLE INVESTIGATES THE CONCEPTUAL AND EMPIRICAL IMPLICATIONS OF APPLYING TWO DIFFERENT BUT FREQUENTLY USED DESIGNS OF EES, USING THE CASE OF ENERGY ACCOUNTING, WHERE ONE REPRESENTS ENERGY SUPPLY WHILE THE OTHER ENERGY USE IN THE ECONOMY. WE DERIVE BOTH EXTENSIONS FROM AN OFFICIAL ENERGY SUPPLY-USE DATASET AND APPLY THEM TO THE SAME SINGLE-REGION INPUT-OUTPUT (SRIO) MODEL OF AUSTRIA, THEREBY ISOLATING THE EFFECT THAT STEMS FROM THE DECISION FOR THE EXTENSION DESIGN. WE ALSO CROSSCHECK THE SRIO RESULTS WITH ENERGY FOOTPRINTS FROM THE GLOBAL MULTI-REGIONAL INPUT-OUTPUT (GMRIO) DATASET EXIOBASE. OUR RESULTS SHOW THAT THE RANKING OF FOOTPRINTS OF FINAL DEMAND CATEGORIES (E.G., HOUSEHOLD AND EXPORT) IS SENSITIVE TO THE EXTENSION DESIGN AND THAT PRODUCT-LEVEL RESULTS CAN VARY BY SEVERAL ORDERS OF MAGNITUDE. THE GMRIO-BASED COMPARISON FURTHER REVEALS THAT FOR A FEW COUNTRIES THE SUPPLY-EXTENSION RESULT CAN BE TWICE THE SIZE OF THE USE-EXTENSION FOOTPRINT (E.G., AUSTRALIA AND NORWAY). WE PROPOSE A GRAPH APPROACH TO PROVIDE A GENERALIZED FRAMEWORK TO DISCLOSING THE DESIGN OF EES. WE DISCUSS THE CONCEPTUAL DIFFERENCES BETWEEN THE TWO EXTENSION DESIGNS BY APPLYING ANALOGIES TO HYBRID LIFE-CYCLE ASSESSMENT AND CONCLUDE THAT OUR FINDINGS ARE RELEVANT FOR MONITORING OF ENERGY EFFICIENCY AND EMISSION REDUCTION TARGETS AND CORPORATE FOOTPRINT ACCOUNTING.",""
"2","IO_MRIO","SEN B, 2020, J IND ECOL","ISI000502641600001","LIFE CYCLE SUSTAINABILITY ASSESSMENT OF AUTONOMOUS HEAVY-DUTY TRUCKS","CONNECTED AND AUTOMATED VEHICLES (CAVS) ARE EMERGING TECHNOLOGIES EXPECTED TO BRING IMPORTANT ENVIRONMENTAL, SOCIAL, AND ECONOMIC IMPROVEMENTS IN TRANSPORTATION SYSTEMS. GIVEN THEIR IMPLICATIONS IN TERMS OF AIR QUALITY AND SUSTAINABLE AND SAFER MOVEMENT OF GOODS, HEAVY-DUTY TRUCKS (HDTS), CARRYING THE MAJORITY OF U.S. FREIGHT, ARE CONSIDERED AN IDEAL DOMAIN FOR THE APPLICATION OF CAV TECHNOLOGY. AN INPUT-OUTPUT (IO) MODEL IS DEVELOPED BASED ON THE EORA DATABASE-A DETAILED IO DATABASE THAT CONSISTS OF NATIONAL IO TABLES, COVERING ALMOST THE ENTIRE GLOBAL ECONOMY. USING THE EORA-BASED IO MODEL, THIS STUDY QUANTIFIES AND ASSESSES THE ENVIRONMENTAL, ECONOMIC, AND SOCIAL IMPACTS OF AUTOMATED DIESEL AND BATTERY ELECTRIC HDTS BASED ON 20 MACRO-LEVEL INDICATORS. THE LIFE CYCLE SUSTAINABILITY PERFORMANCES OF THESE HDTS ARE THEN COMPARED TO THAT OF A CONVENTIONAL DIESEL HDT. THE STUDY FINDS AN AUTOMATED DIESEL HDT TO CAUSE 18\% MORE FATALITIES THAN AN AUTOMATED ELECTRIC HDT. THE GLOBAL WARMING POTENTIAL (GWP) OF AUTOMATED DIESEL HDTS IS ESTIMATED TO BE 4.7 THOUSAND METRIC TONS CO2-EQ. HIGHER THAN THAT OF AUTOMATED ELECTRIC HDTS. THE HEALTH IMPACT COSTS RESULTING FROM AN AUTOMATED DIESEL HDT ARE TWO TIMES HIGHER THAN THAT OF AN AUTOMATED ELECTRIC HDT. OVERALL, THE RESULTS ALSO SHOW THAT AUTOMATION BRINGS IMPORTANT IMPROVEMENTS TO THE SELECTED SUSTAINABILITY INDICATORS OF HDTS SUCH AS GLOBAL WARMING POTENTIAL, LIFE CYCLE COST, GDP, DECREASE IN IMPORT, AND INCREASE IN INCOME. THE FINDINGS ALSO SHOW THAT THERE ARE SIGNIFICANT TRADE-OFFS PARTICULARLY BETWEEN MINERAL AND FOSSIL RESOURCE LOSSES AND ENVIRONMENTAL GAINS, WHICH ARE LIKELY TO COMPLICATE DECISION-MAKING PROCESSES REGARDING THE FURTHER DEVELOPMENT AND COMMERCIALIZATION OF THE TECHNOLOGY.",""
"3","IO_MRIO","GUAN Y, 2019, SCI TOTAL ENVIRON","ISI000498798600078","MEASUREMENT OF AIR-POLLUTION INEQUALITY THROUGH A THREE-PERSPECTIVE ACCOUNTING MODEL","CHINA IS SUFFERING FROM SERIOUS AIR POLLUTION. REGIONAL AIR QUALITY VARIES SIGNIFICANTLY DUE TO INTENSIVE INTERPROVINCIAL TRADES, DIVERSIFIED RESOURCE ENDOWMENTS AND COMPLICATED ECONOMIC STRUCTURES. THIS STUDY BREAKS THE LIMITATIONS OF MEASURING ENVIRONMENTAL INEQUALITY ONLY FROM A SINGLE PERSPECTIVE AND ESTABLISHES A THREE-PERSPECTIVE ATMOSPHERIC POLLUTANT EQUIVALENTS ACCOUNTING MODEL (OR APE ACCOUNTING MODEL) FOR AIR-POLLUTION INEQUALITY ASSESSMENT UNDER ENVIRONMENTALLY-EXTEND MULTI-REGIONAL INPUT-OUTPUT FRAMEWORK. FROM THREE PERSPECTIVES OF LOCAL PRODUCTION (I.E. PRODUCTION-BASED), FINAL DEMAND (I.E. CONSUMPTION-BASED) AND PRIMARY SUPPLY (I.E. INCOME-BASED), APE EMISSIONS, APE TRANSFERS AND ENVIRONMENTAL GINI COEFFICIENT ARE INVESTIGATED TO EXAM EMISSION RESPONSIBILITIES OF VARIOUS IMPACT FACTORS, EVALUATE THE IMPACTS OF INTER-PROVINCIAL TRADES ON POLLUTANTS TRANSFERS, AND CHARACTERIZE REGIONAL EMISSION INEQUALITIES AT BOTH PROVINCIAL AND SECTORAL LEVELS. THE RESULTS INDICATE THAT LOCAL EMITTERS ARE MERELY PARTS OF CONTRIBUTORS TO AIR POLLUTION. DIRECT EMITTERS LIKE HEBEI PROVINCE, PRIMARY SUPPLIERS LIKE INNER MONGOLIA AND FINAL CONSUMERS LIKE SHANDONG PROVINCE INDUCE LARGE AMOUNTS OF AIR POLLUTANTS AS EMBEDDED WITHIN VARIOUS ECONOMIC ACTIVITIES. BECAUSE OF UNEQUAL SUPPLY-DEMAND LEVELS AND COMPLEX EXCHANGE MECHANISMS, THREE-PERSPECTIVE APE EMISSIONS ARE SIGNIFICANTLY HETEROGENEOUS, ESPECIALLY IN MINING, CONSTRUCTION, ENERGY AND MATERIAL-TRANSFORMATION SECTORS. PARTICULARLY, INEQUALITY OF THE MINING SECTOR IN EMBODIED EMISSIONS HAS THE HIGHEST ENVIRONMENTAL GINI COEFFICIENT (0.881). THIS MODEL PROVIDES A FRAMEWORK TO ASSESS REGIONAL ENVIRONMENTAL INEQUALITY AND ITS FINDINGS PROVIDE SCIENTIFIC BASES FOR THE FORMULATION OF DESIRED REGIONAL AIR POLLUTION CONTROL POLICIES. (C) 2019 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"4","IO_MRIO","GUO S, 2019, APPL ENERGY","ISI000497981300011","EMBODIED ENERGY USE IN THE GLOBAL CONSTRUCTION INDUSTRY","BUILDING-RELATED ENERGY PROBLEMS PLACE CONSIDERABLE CHALLENGES IN SECURING ENVIRONMENTAL SUSTAINABILITY. ACCELERATING GLOBALIZATION FURTHER EXACERBATE REGIONAL INEQUITIES HIDDEN BEHIND THE GLOBAL SUPPLY CHAINS. THEREFORE, THE ENERGY USE OF CONSTRUCTION INDUSTRY EMBODIED IN INTERREGIONAL TRADE NEEDS TO BE REVEALED CONSIDERING THE REGIONAL DISPARITIES. CHINA, AS THE LARGEST DEVELOPING COUNTRY, SUFFERS FROM MASSIVE SPENDING ON INFRASTRUCTURE CONSTRUCTION. THEREFORE, INVESTIGATING THE INTERACTIONS BETWEEN CHINA'S CONSTRUCTION INDUSTRY AND THE REST OF THE WORLD IS IMPERATIVE. PREVIOUS RESEARCHES FAIL TO PROVIDE A HOLISTIC VIEW OF ENERGY INTERACTIONS INDUCED BY THE GLOBAL CONSTRUCTION INDUSTRY. THIS STUDY DETAILS THE GLOBAL SUPPLY CHAIN OF THE CONSTRUCTION INDUSTRY BY MERGING 31 CHINESE REGIONS INTO THE COMPLEX GLOBAL TRADING NETWORK, WHICH IS BENEFICIAL FOR MAKING FAIR ENERGY REDUCTION STRATEGIES. RESULTS SHOW THAT BOTH EMBODIED ENERGY USE AND DIRECT ENERGY USE EXHIBIT A STRONG POSITIVE LINEAR CORRELATION WITH GDP. INTERREGIONAL TRADE INCREASES THE INEQUALITY OF ENERGY USE IN THE GLOBAL CONSTRUCTION INDUSTRY, IN WHICH 81.67\% OF THE REGIONS POSSESS AN ENERGY INEQUALITY INDICATOR OF THE CONSTRUCTION INDUSTRY OVER 0.80, THUS PROVING THAT THE CONSTRUCTION INDUSTRY CONSUMES A LARGE AMOUNT OF NONLOCAL ENERGY. THERE IS NO SIGNIFICANT RELATIONSHIP BETWEEN THE EMBODIED INTENSITY AND GDP, WHEREAS A WEAK LINEAR CORRELATION EXISTS BETWEEN INTENSITY AND EMBODIED ENERGY USE. IN CHINA, SHANXI, XINJIANG, AND INNER MONGOLIA REPRESENT A HIGH INTENSITY. THERE IS A WEAK POSITIVE CORRELATION BETWEEN URBANIZATION RATE AND EMBODIED ENERGY VALUES. THE FINDINGS OF THIS RESEARCH ARE CRITICAL IN UNDERSTANDING THE CONNECTIONS BETWEEN PROVINCE-LEVEL CONSTRUCTION ACTIVITIES AND THE GLOBAL TRADING NETWORK, WHICH IS BENEFICIAL FOR CUSTOMIZING AND PRIORITIZING POLICY RECOMMENDATIONS FOR SUSTAINABLE DEVELOPMENT OF THE GLOBAL CONSTRUCTION INDUSTRY.",""
"5","IO_MRIO","DWIVEDI A, 2019, J FLUID MECH","ISI000506235800006","REATTACHMENT STREAKS IN HYPERSONIC COMPRESSION RAMP FLOW: AN INPUT-OUTPUT ANALYSIS","WE EMPLOY GLOBAL INPUT-OUTPUT ANALYSIS TO QUANTIFY AMPLIFICATION OF EXOGENOUS DISTURBANCES IN COMPRESSIBLE BOUNDARY LAYER FLOWS. USING THE SPATIAL STRUCTURE OF THE DOMINANT RESPONSE TO TIME-PERIODIC INPUTS, WE EXPLAIN THE ORIGIN OF STEADY REATTACHMENT STREAKS IN A HYPERSONIC FLOW OVER A COMPRESSION RAMP. OUR ANALYSIS OF THE LAMINAR SHOCK-BOUNDARY LAYER INTERACTION REVEALS THAT THE STREAKS ARISE FROM A PREFERENTIAL AMPLIFICATION OF UPSTREAM COUNTER-ROTATING VORTICAL PERTURBATIONS WITH A SPECIFIC SPANWISE WAVELENGTH. THESE STREAKS ARE ASSOCIATED WITH HEAT-FLUX STRIATIONS AT THE WALL NEAR FLOW REATTACHMENT AND THEY CAN TRIGGER TRANSITION TO TURBULENCE. THE STREAK WAVELENGTH PREDICTED BY OUR ANALYSIS COMPARES FAVOURABLY WITH OBSERVATIONS FROM TWO DIFFERENT HYPERSONIC COMPRESSION RAMP EXPERIMENTS. FURTHERMORE, OUR ANALYSIS OF INVISCID TRANSPORT EQUATIONS DEMONSTRATES THAT BASE-FLOW DECELERATION CONTRIBUTES TO THE AMPLIFICATION OF STREAMWISE VELOCITY AND THAT THE BAROCLINIC EFFECTS ARE RESPONSIBLE FOR THE PRODUCTION OF STREAMWISE VORTICITY. FINALLY, THE APPEARANCE OF THE TEMPERATURE STREAKS NEAR REATTACHMENT IS TRIGGERED BY THE GROWTH OF STREAMWISE VELOCITY AND STREAMWISE VORTICITY PERTURBATIONS AS WELL AS BY THE AMPLIFICATION OF UPSTREAM TEMPERATURE PERTURBATIONS BY THE REATTACHMENT SHOCK.",""
"6","IO_MRIO","CASTELLANI V, 2019, J CLEAN PROD","ISI000487936100060","ENVIRONMENTAL IMPACTS OF HOUSEHOLD CONSUMPTION IN EUROPE: COMPARING PROCESS-BASED LCA AND ENVIRONMENTALLY EXTENDED INPUT-OUTPUT ANALYSIS","THE ENVIRONMENTAL IMPACTS GENERATED BY HOUSEHOLD CONSUMPTION ARE GENERALLY CALCULATED THROUGH FOOTPRINTS, ALLOCATING THE SUPPLY-CHAIN IMPACTS TO THE FINAL CONSUMERS. THIS STUDY COMPARES THE RESULT OF THE CONSUMER FOOTPRINT INDICATOR, AIMED AT ASSESSING THE IMPACTS OF HOUSEHOLD CONSUMPTION IN EUROPE, CALCULATED WITH THE TWO STANDARD APPROACHES USUALLY IMPLEMENTED FOR FOOTPRINT CALCULATIONS: (I) A BOTTOM-UP APPROACH, BASED ON PROCESS-LIFE CYCLE ASSESSMENT OF A SET OF PRODUCTS AND SERVICES REPRESENTING HOUSEHOLD CONSUMPTION, AND (II) A TOP-DOWN APPROACH, BASED ON ENVIRONMENTALLY EXTENDED INPUT-OUTPUT TABLES (EXIOBASE 3). ENVIRONMENTAL IMPACTS ARE CALCULATED CONSIDERING 14 ENVIRONMENTAL IMPACT CATEGORIES OUT OF THE 16 INCLUDED IN THE EF2017 IMPACT ASSESSMENT METHOD. BOTH FOOTPRINTS SHOW SIMILAR TOTAL VALUES REGARDING CLIMATE CHANGE, FRESHWATER EUTROPHICATION AND FOSSIL RESOURCE USE, BUT IN THE MEANTIME VERY LARGE DIFFERENCES (MORE THAN A FACTOR 2) REGARDING PARTICULATE MATTER, PHOTOCHEMICAL OZONE FORMATION, LAND USE AND MINERAL RESOURCE USE. THE EXCLUSION OF SERVICES IN THE BOTTOM-UP APPROACH CAN EXPLAIN ONLY TO SOME EXTENT THESE DIFFERENCES. HOWEVER, THE TWO APPROACHES CONVERGE IN IDENTIFYING FOOD AS THE MAIN DRIVER OF IMPACT IN MOST OF THE IMPACT CATEGORIES CONSIDERED (WITH A GENERALLY LOWER CONTRIBUTION IN TOP-DOWN COMPARED TO BOTTOM-UP). HOUSING AND MOBILITY ARE RELEVANT AS WELL FOR SOME IMPACT CATEGORIES (E.G. PARTICULATE MATTER AND FOSSIL RESOURCE DEPLETION). SOME SUBSTANCES ARE IDENTIFIED AS HOTSPOT BY BOTH APPROACHES, E.G. THE EMISSION OF NH3 TO AIR (FOR ACIDIFICATION AND TERRESTRIAL EUTROPHICATION), OF NOX TO AIR (FOR ACIDIFICATION, MARINE AND TERRESTRIAL EUTROPHICATION, AND, TO SOME EXTENT, PHOTOCHEMICAL OZONE FORMATION), OF P TO WATER AND TO SOIL (FOR FRESHWATER EUTROPHICATION) AND OF FOSSIL CO2 TO AIR (FOR CLIMATE CHANGE). SIGNIFICANT DIFFERENCES AT THE INVENTORY SIDE ARE KEY DRIVERS FOR THE DIFFERENCES IN TOTAL IMPACTS. THESE INCLUDE: (I) DIFFERENCES IN THE INTENSITY OF EMISSIONS, (II) DIFFERENCES IN THE COVERAGE OF ELEMENTARY FLOWS, (III) DIFFERENCES IN THE LEVEL OF DETAIL RELATIVE TO ELEMENTARY FLOWS. OVERALL, THE KEY CONVERGING RESULTS FROM BOTH APPROACHES (IN PARTICULAR REGARDING MOST CONTRIBUTING AREAS OF CONSUMPTION AND SUBSTANCES) CAN BE CONSIDERED AS A ROBUST BASIS TO SUPPORT THE DEFINITION OF POLICIES AIMED AT REDUCING THE ENVIRONMENTAL FOOTPRINT OF HOUSEHOLD CONSUMPTION IN EUROPE. (C) 2019 THE AUTHORS. PUBLISHED BY ELSEVIER LTD.",""
"7","IO_MRIO","JIANG T, 2019, J CLEAN PROD","ISI000487936100053","STRUCTURAL CARBON EMISSIONS FROM INDUSTRY AND ENERGY SYSTEMS IN CHINA: AN INPUT-OUTPUT ANALYSIS","EXCESSIVE CO2 EMISSIONS FROM ENERGY CONSUMPTION HAS BECOME A KEY FACTOR THAT RESULTS IN ENVIRONMENTAL DEGRADATION AND RESTRICTION ON SUSTAINABLE DEVELOPMENT OF CHINESE INDUSTRIES. IN VIEW OF THIS, USING THE DEPOSIT AND LOAN OF ENERGY CAPITAL, AND ENERGY EXPORTATION INTO CONSIDERATION, WE EMPLOYED AN ENERGY CONSUMPTION MODEL AND INPUT-OUTPUT ANALYSIS TO STUDY THE STRUCTURAL CARBON EMISSIONS FROM ENERGY SYSTEMS ON THE ENERGY SUPPLY-SIDE AND FROM CHINESE INDUSTRIES ON THE ENERGY DEMAND-SIDE DURING 2002-2015. THE RESULTS SHOWED THAT ON THE SUPPLY-SIDE, THE CHINA'S MAJORIZATION IN ENERGY CONSUMPTION STRUCTURE WOULD RESULT IN A DECLINE OF PROPORTION OF CARBON EMISSIONS FROM HIGH-CARBON ENERGY (RAW COAL, DIESEL OIL, COMBUSTION OIL, ETC.) AND A RISE IN PROPORTION OF CARBON EMISSIONS FROM LOW-CARBON ENERGY (NATURAL GAS, OTHER GAS, ETC.) IN ENERGY SYSTEMS. MOREOVER, THE STRUCTURE OPTIMIZATION OF LOW-CARBON ENERGY WAS GENERALLY MORE ROBUST THAN THAT OF HIGH-CARBON ENERGY, AND 2012-2015 WAS THE OPTIMAL PERIOD FOR ENERGY CONSUMPTION STRUCTURE IN THE STUDY INTERVAL. ON THE DEMAND-SIDE, INTERMEDIATE USE (ENTERPRISES) WAS STILL THE DRIVING FACTOR FOR ENERGY CARBON EMISSIONS, ALTHOUGH END-USERS (RESIDENTS AND GOVERNMENT) HAD A LIMITED DRIVING EFFECT ON ENERGY CARBON EMISSIONS. SPECIFICALLY, FOR INDUSTRIES WITH INTERMEDIATE USE OF ENERGY, THE CONTRIBUTIONS OF LIGHT INDUSTRY, AGRICULTURE, CONSTRUCTION, TRANSPORTATION, THE SERVICE INDUSTRY, AND THE POWER SECTOR TO CARBON EMISSIONS EXHIBITED A DOWNWARD, FLUCTUATING TREND; THE USE OF ENERGY BY HEAVY INDUSTRY BARELY CHANGED, AND THE USE OF ENERGY BY THE CHEMICAL INDUSTRY AND FOSSIL ENERGY SECTOR SHOWED A RISING, FLUCTUATING TREND. THESE DATA SUGGESTED THAT THE CHANGE IN INDUSTRIAL STRUCTURE WAS CLOSELY RELATED TO CARBON EMISSIONS FROM USE OF ENERGY. FINALLY, THIS PAPER PROVIDES THEORETICAL ANALYSIS AND PRACTICAL GUIDANCE FOR PROMOTING THE GREEN AND CLEAN DEVELOPMENT OF ENERGY SYSTEMS AND FOR REALIZING THE TRANSFORMATION AND UPGRADING OF LOW-CARBON INDUSTRY SYSTEMS IN CHINA. (C) 2019 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"8","IO_MRIO","WANG Q, 2019, J CLEAN PROD","ISI000487936100070","DRIVERS OF UNITED STATES OIL FOOTPRINTS TRAJECTORY: A GLOBAL ASSESSMENT","THE UNITED STATES IS THE WORLD'S LARGEST OIL USER, AND ITS CHANGES IN OIL CONSUMPTION AFFECT THE PARTICIPATING COUNTRIES IN THE WORLD OIL MARKET. WITH THE PROCESS OF TRADE LIBERATION RAPIDLY DEEPENING, BETTER UNDERSTANDING THE OIL CONSUMPTION REQUIRES TO INVESTIGATE OIL FOOTPRINT. HOWEVER, THE EXISTING U.S. OIL CONSUMPTION RESEARCHES HAVE BEEN ALMOST MONOPOLIZED BY PRODUCTION-BASED OIL CONSUMPTION WITHIN SOVEREIGN GEOGRAPHICAL BOUNDARY. TO FILL THE RESEARCH GAP, TRAJECTORY OF EVOLUTION AND KEY DRIVING FACTORS OF OIL FOOTPRINTS IN THE UNITED STATES, THE GLOBAL BIGGEST OIL USER, ARE INVESTIGATED AND ANALYZED BY COMBINING MULTI-REGIONAL INPUT-OUTPUT MODEL WITH STRUCTURAL DECOMPOSITION ANALYSIS (MRIO-SDA). THE RESULTS SHOW THAT THE CONSUMPTION-BASED OIL FOOTPRINT HAS BEEN HIGHER THAN THE PRODUCTION-BASED, AND THE GAP BETWEEN THE TWO HAS INCREASED BY 2.68 TIMES IN 1995-2011. MEANWHILE, THE EMBODIED OIL IMPORT DOMINATES THE US CONSUMPTION-BASED OIL FOOTPRINTS, AND ITS PROPORTION HAS INCREASED BY 10.46\% IN 1995-2011. THE US EMBODIED OIL IMPORTS ARE MAINLY FROM CHINA, RUSSIA, CANADA, AND SOUTH KOREA AND DOMINATED BY MANUFACTURING SECTOR. THE FINAL DEMAND SCALE IS THE MAIN REASON FOR THE INCREASE OF US OIL FOOTPRINT. AND THE IMPORT EFFECT OF INTERMEDIATE PRODUCTS FROM OTHER ECONOMIES IS A MAJOR FACTOR IN PROMOTING THE INCREASE IN EMBODIED OIL IMPORTS. BUT THIS IS MAINLY OFFSET BY TECHNIQUE EFFECT. THEREFORE, THE BEST POLICY TO REDUCE US OIL FOOTPRINTS IS TO FURTHER IMPROVE OIL EFFICIENCY IN THE US AND ITS MAJOR TRADERS. (C) 2019 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"9","IO_MRIO","LIU X, 2019, SUSTAINABILITY","ISI000506899000259","WHY ARE THE CARBON FOOTPRINTS OF CHINA'S URBAN HOUSEHOLDS RISING? AN INPUT-OUTPUT ANALYSIS AND STRUCTURAL DECOMPOSITION ANALYSIS","A RISE IN CHINA'S ECONOMY AND URBANIZATION HAS BROUGHT ABOUT OBVIOUS GROWTH IN THE CARBON FOOTPRINTS OF URBAN HOUSEHOLDS OVER THE PAST YEARS. IN THIS STUDY, INPUT-OUTPUT ANALYSIS WAS ADOPTED TO CALCULATE THE CARBON FOOTPRINTS OF URBAN HOUSEHOLDS IN CHINA. FURTHERMORE, A DETAILED ANALYSIS OF THE IMPACT FACTORS ON INDIRECT CARBON FOOTPRINTS WAS CARRIED OUT BY USING THE STRUCTURAL DECOMPOSITION ANALYSIS AT BOTH HOLISTIC AND SECTORAL LEVELS. THE RESULTS SHOWED THAT THE CARBON FOOTPRINTS OF URBAN HOUSEHOLDS WERE 941.37 MTCO(2) IN 2002, 1498.11 MTCO(2) IN 2007, AND 2139.50 MTCO(2) IN 2012. ELECTRICITY WAS THE MAIN CONTRIBUTOR TO THE DIRECT URBAN HOUSEHOLD CARBON FOOTPRINTS, ACCOUNTING FOR OVER 40\%. THE CATEGORY OF ``HOUSEHOLD FACILITIES'' CONTRIBUTED THE MOST TO INDIRECT CARBON FOOTPRINTS (306.00 MTCO(2)) IN 2012, AND THE ``TRANSPORTATION'' HAD THE FASTEST GROWTH RATE (395\%) DURING 2002-2012. THE INDUSTRIAL SECTOR OF ``WEARING APPAREL'' HAD THE LARGEST INCREMENTS (139.92 MTCO(2)) IN CARBON FOOTPRINTS DURING THE PAST DECADE. GENERALLY, CONSUMPTION LEVEL AND POPULATION SIZE PRESENTED POSITIVE EFFECTS ON THE INCREMENTS IN INDIRECT CARBON FOOTPRINTS, WHILE EMISSION INTENSITY DECREASED INDIRECT CARBON FOOTPRINTS. HOWEVER, THE IMPACT OF CONSUMPTION STRUCTURE AND INTERMEDIATE DEMAND ON INDIRECT CARBON FOOTPRINTS VARIED AT HOLISTIC AND SECTORAL LEVELS. THE MITIGATION EFFORTS SHOULD FOCUS ON REDUCING EMISSION INTENSITY, SHIFTING CONSUMPTION STRUCTURE AND CHANGING INTERMEDIATE DEMAND.",""
"10","IO_MRIO","ZHANG Z, 2019, RENEW SUST ENERG REV","ISI000523392400031","ENERGY, CO2 EMISSIONS, AND VALUE ADDED FLOWS EMBODIED IN THE INTERNATIONAL TRADE OF THE BRICS GROUP: A COMPREHENSIVE ASSESSMENT","THE BRICS ECONOMIES GROUP (I.E., BRAZIL, RUSSIA, INDIA, CHINA, AND SOUTH AFRICA) HAS BECOME AN IMPORTANT CONTRIBUTOR TO THE GROWTH OF THE WORLD ECONOMY, WHICH IS INCREASINGLY CONCERNED ABOUT CARBON EMISSIONS DUE TO THE RECENT INCREASE IN ENERGY USE IN THESE COUNTRIES. WHILE THE EMBODIED ENERGY USE RELATED TO EMISSIONS OF THE BRICS GROUP HAS BEEN DISCUSSED IN THE LITERATURE, AN INTEGRATED ANALYSIS OF ENERGY, CARBON FOOTPRINTS, AND VALUE ADDED FLOWS ASSOCIATED WITH INTERNATIONAL TRADE AMONG THE BRICS GROUP HAS, TO DATE, RARELY BEEN REPORTED. BASED ON AN IMPROVED MULTI-REGIONAL INPUT-OUTPUT MODEL, SOUTH AFRICA WAS EXTRACTED FROM THE REST OF THE WORLD IN THE WORLD INPUT-OUTPUT DATABASE (WIOD) TO ANALYZE THE ABOVE-MENTIONED FLOWS EMBODIED IN TRADE WITHIN THE BRICS COUNTRIES, AS WELL AS BETWEEN THE BRICS GROUP AND OTHER ECONOMIES. THE RESULTS SHOW THAT THE BRICS ECONOMIC ENTITY WAS A NET EMBODIED FLOWS EXPORTER. MORE FLOWS WERE EMBODIED IN INTERMEDIATE PRODUCTS THAN IN FINAL DEMAND WITHIN THE BRICS GROUP. COMPARED WITH OTHER BRICS ECONOMIES, CHINA, WHICH IS THE LARGEST TRANSIT COUNTRY, TRANSFERRED MORE EMBODIED FLOWS FROM RUSSIA TO OTHER BRICS COUNTRIES, AND DROVE MORE EMBODIED FLOWS FROM MAJOR ECONOMIES, INCLUDING THE UNITED STATES AND EUROPEAN COUNTRIES OUTSIDE THE BRICS GROUP THAN THOSE WITHIN THE BRICS GROUP. HOWEVER, CHINA IMPORTED A RELATIVELY HIGHER EMBODIED ENERGY AND CO2 IN PER UNIT VALUE ADDED FROM THE BRICS COUNTRIES THAN NON-BRICS COUNTRIES, WHILE EXPORTING RELATIVE LOWER EMBODIED ENERGY AND CO2 PER VALUE ADDED TO OTHER BRICS ECONOMIES THAN NON-BRICS COUNTRIES. THE POTENTIAL POLICY IMPLICATIONS ON CLEANER DEVELOPMENT WITHIN THE BRICS ECONOMIES ARE DISCUSSED AT THE END OF THIS PAPER.",""
