"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Land","DOU Y, 2020, JASSS","ISI000510855400011","LAND-USE CHANGES IN DISTANT PLACES: IMPLEMENTATION OF A TELECOUPLED AGENT-BASED MODEL","INTERNATIONAL AGRICULTURAL TRADE HAS CHANGED LAND USES IN TRADING COUNTRIES, ALTERING GLOBAL FOOD SECURITY AND ENVIRONMENTAL SUSTAINABILITY. STUDIES HAVE CONCLUDED THAT LOCAL LAND-USE DRIVERS ARE LARGELY FROM GLOBAL SOURCES (E.G., TRADE INCREASES DEFORESTATION IN EXPORTING COUNTRIES). HOWEVER, LITTLE IS KNOWN ABOUT HOW THESE LOCAL LAND-USE CHANGES AFFECT DISTANT LOCATIONS, NAMELY THE FEEDBACK BETWEEN THEM. YET THESE DISTANT IMPACTS AND FEEDBACKS CAN BE SIGNIFICANT FOR GOVERNING LOCAL LAND SYSTEMS. THE FRAMEWORK OF TELECOUPLING (I.E., SOCIOECONOMIC-ENVIRONMENTAL INTERACTIONS BETWEEN DISTANT PLACES) HAS BEEN SHOWN TO BE AN EFFECTIVE CONCEPTUAL TOOL TO STUDY INTERNATIONAL TRADE AND THE ASSOCIATED SOCIO-ECONOMIC AND ENVIRONMENTAL IMPACTS. HOWEVER, A SYSTEMS SIMULATION TOOL TO QUANTIFY THE TELECOUPLED CAUSES AND EFFECTS IS STILL LACKING. HERE, WE CONSTRUCT A NEW TYPE OF AGENT-BASED MODEL (ABM) THAT CAN SIMULATE LAND-USE CHANGES AT MULTIPLE DISTANT PLACES (NAMELY TEIEABM, TELECOUPLED AGENT-BASED MODEL). WE USE SOYBEAN TRADE BETWEEN BRAZIL AND CHINA AS AN EXAMPLE, WHERE BRAZIL IS THE SENDING SYSTEM AND CHINA IS THE RECEIVING SYSTEM BECAUSE THEY ARE THE WORLD'S LARGEST SOYBEAN EXPORTER AND IMPORTER RESPECTIVELY. WE SELECT ONE REPRESENTATIVE COUNTY IN EACH COUNTRY TO CALIBRATE AND VALIDATE THE MODEL WITH SPATIO-TEMPORAL ANALYSIS OF HISTORICAL LAND-USE CHANGES AND THE EMPIRICAL ANALYSIS OF HOUSEHOLD SURVEY DATA. WE DESCRIBE THE MODEL FOLLOWING THE ODD+D PROTOCOL, AND VALIDATE THE MODEL RESULTS IN EACH LOCATION RESPECTIVELY. WE THEN ILLUSTRATE HOW THE AGGREGATED FARMER AGENTS' LAND-USE BEHAVIORS IN THE SENDING SYSTEM RESULT IN LAND-USE CHANGES IN THE RECEIVING SYSTEM, AND VICE VERSA. ONE SCENARIO EXAMPLE (I.E., A HIGH-TARIFF SCENARIO) IS GIVEN TO DEMONSTRATE THE RESULTS OF TEIEABM. SUCH A MODEL ALLOWS US TO ADVANCE THE UNDERSTANDING OF TELECOUPLING FEATURES AND THE INFLUENCE ON LAND SYSTEM SCIENCE, AND TO TEST HYPOTHESES ABOUT COMPLEX COUPLED HUMAN-NATURAL SYSTEMS (E.G., CASCADING EFFECT).",""
"2","Land","MATASOV V, 2019, J LAND USE SCI","ISI000505536500001","SPATIAL DETERMINANTS AND UNDERLYING DRIVERS OF LAND-USE TRANSITIONS IN EUROPEAN RUSSIA FROM 1770 TO 2010","HISTORIC LAND-USE AND LAND-COVER DATA ARE IMPORTANT INPUTS FOR ASSESSING THE IMPACTS OF HUMAN ACTIVITY ON THE ENVIRONMENT. OUR GOAL WAS TO RECONSTRUCT LAND-COVER CHANGE FROM 1770 TO 2010 AND TO EVALUATE ITS SPATIAL DETERMINANTS AND UNDERLYING DRIVERS FOR THREE STUDY SITES IN DIVERSE AGROECOLOGICAL SETTINGS IN RYAZAN PROVINCE IN EUROPEAN RUSSIA. WE USED HISTORIC MAPS AND STATISTICS AS WELL AS SATELLITE IMAGERY TO RECONSTRUCT LAND-COVER CHANGE AND CATEGORIZE IT INTO SIX DISTINCT LAND-MANAGEMENT REGIMES. WE APPLIED SPATIALLY-EXPLICIT LOGISTIC REGRESSIONS TO ASSESS WHICH SPATIAL DETERMINANTS HAVE HAD THE STRONGEST INFLUENCES ON LAND COVER AND HOW THESE INFLUENCES HAVE CHANGED OVER TIME. OUR RESULTS SHOW HOW LONG-TERM LAND-COVER TRAJECTORIES CAN BE MODULATED BY BROAD POLITICAL AND ECONOMIC ALTERATIONS, RATHER THAN THROUGH GRADUAL AND LOCAL DEMAND-SIDE PRESSURES FROM A RISING POPULATION DENSITY AND AN INCREASING LOCAL DEMAND FOR AGRICULTURAL COMMODITIES.",""
"3","Land","HUA X, 2020, PROBL EKOROZW","ISI000507499100019","RECONSIDERING LAND SYSTEM CHANGES IN BORDERLANDS: INSIGHTS FROM THE CHINA-ASEAN BORDERLAND","THIS STUDY CONTRIBUTES TO THE LITERATURE ON HOW TO EXPLICITLY DESCRIBE, TRACK, AND INTERPRET THE STRUCTURE AND DYNAMICS OF LAND SYSTEMS IN BORDERLANDS. THE SHIFT IN LAND SYSTEM SCIENCE ANALYTICS FROM PLACE-BASED TOWARD LARGER-SCALE ANALYSIS OF INTERACTIONS AND CONNECTIONS IN A GLOBALIZED CONTEXT PROVIDES AN OPPORTUNITY TO SYNTHESIZE THE KNOWLEDGE ABOUT BORDERLANDS. THIS PAPER ARGUES THAT STUDIES ON LAND SYSTEM CHANGES IN BORDERLANDS NEED TO THOROUGHLY LINK THE FEATURES OF BORDERLAND REGIONS WITH MULTIPLE INTERACTIONS - ON EITHER OR BOTH SIDES OF A BORDER RATHER THAN SIMPLY FOCUSING ON SHIFTS WITHIN CLOSED NATIONAL BOUNDARIES. FURTHERMORE, THIS PAPER PROVIDES IMPORTANT INSIGHTS THAT CAN ADVANCE EXISTING APPROACHES TO TRACK AND INTERPRET CHANGES IN THE LAND SYSTEMS OF BORDERLANDS.",""
"4","Land","OLIVEIRA E, 2019, LAND USE POL","ISI000483419100015","SPATIAL PLANNING INSTRUMENTS FOR CROPLAND PROTECTION IN WESTERN EUROPEAN COUNTRIES","CROPLAND, THAT IS LAND USED FOR THE CULTIVATION OF CROPS, IS A FUNDAMENTAL RESOURCE FOR FEEDING THE EARTH'S POPULATION. THE LOSS OF THE MOST FERTILE LAND OWING TO URBAN EXPANSION, INFRASTRUCTURE DEVELOPMENT AND OTHER DRIVERS, HAS BECOME A PRIME ISSUE FOR LAND SYSTEMS SCIENCE AND SPATIAL PLANNING. SPATIAL PLANNING, BEING ABOUT BUILDING FRAMEWORKS TO GUIDE THE LOCATION OF DEVELOPMENT AND INFRASTRUCTURES, IS A MAJOR DRIVING FACTOR FOR MANY LAND-USE CHANGE PROCESSES. HOWEVER, RESEARCH ON THE POSSIBLE ROLES OF SPATIAL PLANNING IN HALTING THE INCREASING CONVERSION OF CROPLAND INTO URBANISED AREAS IS SCARCE. IN THIS PAPER, PLANNING INSTRUMENTS FOR CROPLAND PROTECTION CURRENTLY IN FORCE IN ELEVEN WESTERN EUROPEAN COUNTRIES ARE IDENTIFIED, AND DISCUSSED ACCORDING TO A FRAMEWORK CENTRED ON THE DIFFERENT FACTORS AND PREREQUISITES PROMOTING THE SUCCESSFUL IMPLEMENTATION OF SUCH INSTRUMENTS. OUR FINDINGS SHOW THAT THE COUNTRIES INVESTIGATED HAVE DEVELOPED A VARIETY OF INSTRUMENTS FOR CROPLAND PROTECTION, WHICH CAN BE GROUPED INTO TWO ROUGH CATEGORIES: (I) PRIME PLANNING INSTRUMENTS, THAT IS PRIORITY AREAS FOR AGRICULTURAL LAND-USE; AND (II) COMPLEMENTARY PLANNING INSTRUMENTS, WHICH ARE NATIONAL TARGETS TO LIMIT LAND-TAKE AND SOIL FUNCTION ASSESSMENT FRAMEWORKS. ADVISORY EXPERT PANELS AND PRE-EMPTION RIGHTS FOR FARMERS AND FARMING ORGANISATIONS ARE ALSO APPLIED COMPLEMENTARILY. OUR FINDINGS INDICATE THAT THESE INSTRUMENTS MIGHT BE MORE EFFECTIVE, IF THEY WERE LEGALLY BINDING ALL ADMINISTRATIVE LEVELS AND PRACTICALLY APPLIED IN MULTILEVEL GOVERNANCE ARRANGEMENTS. IN ADDITION, WE CONCLUDE THAT EFFECTIVE CROPLAND PROTECTION REQUIRES THAT PLANNING AUTHORITIES COMPENSATE FOR THE LOSS OF THE MOST FERTILE LAND.",""
"5","Land","FRAZIER AE, 2019, J LAND USE SCI","ISI000483882300001","LINKING LANDSCAPE ECOLOGY AND LAND SYSTEM ARCHITECTURE FOR LAND SYSTEM SCIENCE: AN INTRODUCTION TO THE SPECIAL ISSUE","EXPLAINING GLOBAL ENVIRONMENTAL CHANGE REQUIRES AN UNDERSTANDING OF THE RELATIONSHIPS THAT EXIST BETWEEN SOCIAL SYSTEMS AND THE NATURAL ENVIRONMENT. CREATING INTEGRATIVE RESEARCH FRAMEWORKS CAPABLE OF EXPLAINING THESE COUPLED HUMAN AND NATURAL SYSTEMS HAS BEEN A CENTRAL ACTIVITY IN THIS LONG-STANDING INTELLECTUAL PROJECT. ONE WAY TO ADVANCE FRAMEWORK DEVELOPMENT IS TO FOCUS ON RELATIONSHIPS AMONG PEOPLE, PATTERNS, AND PROCESSES. TWO FIELDS THAT HAVE BEEN MAKING SIMULTANEOUS ADVANCES TO THIS TRIAD ARE LANDSCAPE ECOLOGY AND LAND SYSTEM ARCHITECTURE. IN THE INTRODUCTION TO THIS SPECIAL ISSUE, WE HIGHLIGHT NEW RESEARCH STREAMS LINKING THESE TWO FIELDS FOR A MORE ROBUST LAND SYSTEM SCIENCE. WE IDENTIFY THREE FRUITFUL AVENUES WHERE THESE TWO FIELDS CAN BE LINKED TO ADVANCE OUR THEORETICAL UNDERSTANDING OF THE LAND SYSTEM AND DEVELOP BROADLY APPLICABLE MIXED METHODOLOGICAL TOOLS: A RENEWED STUDY OF SOCIAL AND ECOLOGICAL PROCESSES, DEEPER ENGAGEMENT WITH THIS ISSUES SURROUNDING SCALE, AND ENHANCED ANALYSES OF ECOSYSTEM SERVICES.",""
"6","Land","LAWRENCE TJ, 2019, LAND DEGRAD DEV","ISI000478240300001","DISTANT POLITICAL-ECONOMIC FORCES AND GLOBAL-TO-LOCAL PATHWAY TO IMPACTS ON FORESTS OF EJIDO LANDSCAPES ACROSS YUCATAN, MEXICO","INDIGENOUS COMMUNITY LAND TENURE IN MANY LOCATIONS WORLDWIDE IS SHIFTING TOWARDS INDIVIDUALLY PARCELIZED AND PRIVATIZED SYSTEMS. AMONG THE DRIVERS OF THIS SHIFTING LAND TENURE ARE DISTANT POLITICAL-ECONOMIC FORCES AND COMMODITY MARKETS, FROM LOCAL TO GLOBAL. ACCOMPANYING THE OBSERVED LAND TENURE CHANGES ARE SHIFTS IN LIVELIHOODS, AWAY FROM SUBSISTENCE-BASED AND TOWARD MARKET-ORIENTED ACTIVITIES. THESE CHANGES CAN ULTIMATELY IMPACT LAND USE, LAND COVER, AND BIODIVERSITY CONSERVATION. WE INVESTIGATED A GLOBAL-TO-LOCAL CAUSAL PATHWAY, FROM AGRICULTURE, LIVESTOCK, AND FORESTRY PRODUCTION FOR DISTANT MARKETS, EXTENDING THROUGH SHIFTING LAND TENURE AND LIVELIHOODS, TO IMPACTS ON FOREST COVER WITHIN EJIDOS (A TYPE OF COMMUNITY LANDHOLDING) ACROSS YUCATAN, MEXICO, WHERE MAYA PEOPLE ARE THE PRIMARY LAND MANAGERS. TO REVEAL THIS CAUSAL PATHWAY, WE CONDUCTED EXPLORATORY DATA ANALYSIS, USING ORDINARY LEAST SQUARES REGRESSION, MAPPED VARIABLES, AND VARIOGRAPHIC ANALYSES TO ASSESS SPATIAL PATTERNS AND CORRELATIONS. WE FURTHER EXPLORED RELATIONSHIPS AMONG VARIABLES USING SPATIALLY EXPLICIT SIMULTANEOUS AUTOREGRESSIVE MODELS. WE FOUND THAT COMMODITY PRODUCTION FOR DISTANT MARKETS IS STRONGLY RELATED TO PARCELIZED EJIDO LANDS, WHICH IN TURN ARE OFTEN DEFORESTED. CONVERSELY, COMMUNITY-MANAGED LANDS, WHICH TRADITIONALLY INVOLVE SUBSISTENCE-BASED AGROFORESTRY, ARE MUCH MORE LIKELY TO BE DENSELY FORESTED. OVERALL, WE CONCLUDE THAT RECENT DEFORESTATION OF EJIDO LANDS ACROSS THE STATE IS, AT LEAST PARTLY, THE RESULT OF SHIFTING LAND TENURE AND LIVELIHOODS DUE TO THE INCREASING PRESENCE OF COMMODITY MARKETS. MOREOVER, WE CONCLUDE THAT COMMUNITY-MANAGED LANDS AND ASSOCIATED SUBSISTENCE LIVELIHOODS CAN ATTENUATE DEFORESTATION AND POTENTIALLY ADVANCE FOREST AND BIODIVERSITY CONSERVATION ACROSS MEXICO AND ELSEWHERE.",""
"7","Land","CHOWDHURY RR, 2019, J LAND USE SCI","ISI000470296800001","THE PARALLEL TRAJECTORIES AND INCREASING INTEGRATION OF LANDSCAPE ECOLOGY AND LAND SYSTEM SCIENCE","LANDSCAPE ECOLOGY AND LAND SYSTEMS SCIENCE SHARE A COMMON CONCERN FOR THE DYNAMICS OF LANDSCAPES, THEIR ENVIRONMENTAL AND HUMAN DRIVERS AND CONSEQUENCES, AND THE SUSTAINABILITY OF LAND AS A COUPLED SOCIAL-ECOLOGICAL SYSTEM. BOTH SCIENTIFIC COMMUNITIES EMPLOY INTERDISCIPLINARY APPROACHES TO MONITORING, UNDERSTANDING AND PROJECTING CHANGES IN LANDSCAPES, AND SHARE IMPORTANT EPISTEMIC, THEMATIC AND METHODOLOGICAL INTERESTS. NONETHELESS, THEY ARE ALSO DISTINGUISHED BY IMPORTANT DIFFERENCES IN PROBLEM FRAMING, BASE CONSTITUENCIES, CORE QUESTIONS, METHODOLOGIES EMPLOYED, AND ENGAGEMENT WITH GOVERNANCE AND POLICY. WE REVIEW THESE TWO SCIENTIFIC FIELDS, HIGHLIGHTING KEY COMMONALITIES AND DIFFERENCES. BY MAPPING AREAS OF CONVERGENCE AND DIVERGENCE IN THESE TWO FOREMOST COMMUNITIES STUDYING LAND USE AND LANDSCAPES, WE HIGHLIGHT PROMISING RESEARCH AREAS WHERE THE RELATIVE STRENGTHS OF EACH CAN BE MERGED TO FOSTER NEW ADVANCES IN AN INTEGRATED HUMAN-ENVIRONMENT SCIENCE OF LAND SYSTEMS. SUCH ADVANCES ARE ESSENTIAL FOR IMPROVED ASSESSMENTS OF SOCIAL-ENVIRONMENTAL SYSTEMS DYNAMICS THAT UNDERPIN SUSTAINABILITY THEMES.",""
"8","Land","MUNROE DK, 2019, J LAND USE SCI","ISI000470297600001","RECIPROCAL RELATIONSHIPS BETWEEN FOREST MANAGEMENT AND REGIONAL LANDSCAPE STRUCTURES: APPLYING CONCEPTS FROM LAND SYSTEM SCIENCE TO PRIVATE FOREST MANAGEMENT","MAINTAINING FOREST COVER AND FUNCTION GIVEN LARGE-SCALE CHANGES IN POPULATION DISTRIBUTION, INFRASTRUCTURE, AND REGIONAL ECONOMIES REPRESENTS A FORMIDABLE SOCIETAL CHALLENGE. LAND ARCHITECTURE ASSUMES LANDSCAPE STRUCTURES ARE COLLECTIVE OUTCOMES OF LAND-USE DECISION-MAKING, INCLUDING HOW INDIVIDUAL DECISIONS ABOUT FOREST MANAGEMENT REFLECT LOCAL, REGIONAL, AND GLOBAL PHENOMENA. YET, GAPS IN SYSTEMATIC UNDERSTANDING OF THESE CROSS-SCALE INTERACTIONS PERSIST. WE ARGUE THAT CURRENT RESEARCH ON ENDURING AND EMERGING FOREST POLICY ISSUES, INCLUDING PARCELIZATION AND MULTIFUNCTIONALITY, NEGLECTS HOW CHANGING LANDSCAPE CONDITIONS MEDIATE LAND-USE CHANGES. WE HIGHLIGHT POTENTIAL MECHANISMS BY WHICH REGIONAL CONTEXT ENABLES OR CONSTRAINS DECISIONS ON PRIVATE FOREST LANDHOLDINGS IN THE NORTHEASTERN UNITED STATES, EXAMINING RELATIONSHIPS BETWEEN LAND USE AND LAND MANAGEMENT OF PRIVATE FOREST LANDHOLDINGS AND LANDSCAPE-LEVEL DYNAMICS SUCH AS EXURBAN DEVELOPMENT, MANAGEMENT OF PUBLIC LANDS, TOURISM, EMPLOYMENT AND COMMUTING, INFRASTRUCTURE, AND EXTRACTION. WE DESCRIBE AN EXPANDED SET OF REGIONAL LANDSCAPE STRUCTURES AND SOCIAL SYSTEMS THAT SHAPE AND ARE SHAPED BY LAND-USE DECISION-MAKING.",""
"9","Land","WU J, 2019, J LAND USE SCI","ISI000470297200001","LINKING LANDSCAPE, LAND SYSTEM AND DESIGN APPROACHES TO ACHIEVE SUSTAINABILITY","SUSTAINABILITY SCIENCE IS A USE-INSPIRED AND PLACE-BASED TRANSDISCIPLINARY ENTERPRISE THAT INTEGRATES NATURAL AND SOCIAL SCIENCES, ENGINEERING/DESIGN SCIENCES, AND HUMANITIES TO PRODUCE ACTIONABLE KNOWLEDGE FOR IMPROVING HUMAN WELLBEING WHILE MAINTAINING LONG-TERM ENVIRONMENTAL INTEGRITY. REGIONAL LANDSCAPES REPRESENT A PIVOTAL SCALE DOMAIN FOR STUDYING AND PRACTICING SUSTAINABILITY BECAUSE THEY INTEGRATE HUMAN-ENVIRONMENT INTERACTIONS, LINK LOCAL PROCESSES BELOW AND GLOBAL PATTERNS ABOVE, AND PROVIDE A COMMON PLATFORM FOR SCIENTISTS, LAND DESIGNERS/PLANNERS, POLICYMAKERS, AND STAKEHOLDERS TO COLLABORATE ON SUSTAINABILITY ISSUES THAT RESONATE WITH ALL. AN INTERDISCIPLINARY CONFLUENCE OF ECOLOGICAL, GEOGRAPHICAL, AND DESIGN/PLANNING SCIENCES IS UNDERWAY, BUT HOW THIS CONFLUENCE CAN EFFECTIVELY CONTRIBUTE TO THE SCIENCE AND PRACTICE OF SUSTAINABILITY IS YET TO BE EXPLORED. HERE I REVIEW LANDSCAPE AND LAND SYSTEM-BASED APPROACHES, INCLUDING LAND CHANGE SCIENCE, LAND SYSTEM SCIENCE, LAND SYSTEM ARCHITECTURE, LANDSCAPE ECOLOGY, LANDSCAPE SUSTAINABILITY SCIENCE, AND GEODESIGN, AND DISCUSS WHY AND HOW THEY CAN BE LINKED FOR ACHIEVING THE COMMON GOAL OF SUSTAINABILITY.",""
"10","Land","DWIVEDI A, 2019, ARCHIT SCI REV","ISI000466695100001","MACRO- AND MICRO-LEVEL STUDIES USING URBAN HEAT ISLANDS TO SIMULATE EFFECTS OF GREENING, BUILDING MATERIALS AND OTHER MITIGATING FACTORS IN MUMBAI CITY","A PROBLEM COMMON TO CITIES AROUND THE WORLD IS THE FORMATION AND INTENSIFICATION OF URBAN HEAT ISLANDS (UHIS) [WENG, DENGSHENG, AND SCHUBRING 2004. ``ESTIMATION OF LAND SURFACE TEMPERATURE - VEGETATION ABUNDANCE RELATIONSHIP FOR URBAN.'' REMOTE SENSING OF ENVIRONMENT 89: 467-483]. HEAT ISLANDS ARE PRESENT IN ALMOST EVERY CITY [SOBRINO AND LEONARDO. 2004. ``LAND SURFACE TEMPERATURE RETRIEVAL FROM LANDSAT TM 5.'' REMOTE SENSING OF ENVIRONMENT 90: 434-440]. URBANIZATION LEADS TO REPLACEMENT OF FOREST AND VEGETATIVE REGIONS WITH THE IMPERVIOUS MATERIALS LIKE CONCRETE, ASPHALT, BRICKS, ETC. [RIZWAN, DENNIS, AND LIU 2008. ``A REVIEW ON THE GENERATION, DETERMINATION AND MITIGATION OF URBAN HEAT ISLAND.'' JOURNAL OF ENVIRONMENTAL SCIENCES 20 (1): 120-128; TURNER, 2016. ``LAND SYSTEM ARCHITECTURE FOR URBAN SUSTAINABILITY: NEW DIRECTIONS FOR LAND SYSTEM SCIENCE ILLUSTRATED BY APPLICATION TO THE URBAN HEAT ISLAND PROBLEM.'' JOURNAL OF LAND USE SCIENCE 11 (6): 689-697]. A LARGE AMOUNT OF LAND COVER IS TRANSFORMED INTO THE CONCRETE AND ASPHALTED SURFACE [AKBARI, POMERANTZ, AND TAHA 2001. ``COOL SURFACES AND SHADE TREES TO REDUCE ENERGY USE AND IMPROVE AIR QUALITY IN URBAN AREAS.'' SOLAR ENERGY 70 (3): 295-310]. THE STUDY ANALYSES UHIS AT TWO DIFFERENT LEVELS, MACRO-LEVEL AND MICRO-LEVEL. MACRO-LEVEL STUDY IS CARRIED OUT ON WHOLE MUMBAI CITY TO FIND OUT THE HOTSPOTS ON DIFFERENT LANDUSE/LANDCOVER. THE MAIN REASONS FOR DIFFERENCES IN TEMPERATURES IN THESE AREAS WERE STUDIED. LAND SURFACE TEMPERATURE IN THE AREAS LIKE AIRPORT IN MUMBAI INCREASED BY 6.5\% FROM JANUARY 1999 TO JANUARY 2013 AND AROUND 12\% FROM APRIL 1999 TO 2013. IN THE MICRO-LEVEL, TWO AREAS WERE SELECTED, ONE BARREN AND OTHER GREEN TO ANALYSE THE IMPACT OF LAND COVER ON THE HEAT IN THE CITY.",""
