"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Metric","HUANG L, 2019, SUSTAINABILITY","ISI000493525500367","CARBON COMMUNITIES AND HOTSPOTS FOR CARBON EMISSIONS REDUCTION IN CHINA","WITH CHINA'S COMMITMENT TO PEAK ITS EMISSIONS BY 2030, SECTORAL EMISSIONS ARE UNDER THE SPOTLIGHT DUE TO THE ROLLING OUT OF THE NATIONAL EMISSION TRADING SCHEME (ETS). HOWEVER, THE CURRENT SECTOR POLICIES FOCUS EITHER ON THE PRODUCTION SIDE OR CONSUMPTION WHILE THE MAJORITY OF SECTORS ALONG THE TRANSMISSION WERE OVERLOOKED. THIS RESEARCH COMBINES INPUT-OUTPUT MODELLING AND NETWORK ANALYSIS TO TRACK THE EMBODIED CARBON EMISSIONS AMONG THIRTY SECTORS OF THIRTY PROVINCES IN CHINA. BASED ON THE LARGE-DATA RESOLUTION NETWORK, A TWO-STEP NETWORK REDUCTION ALGORITHM IS USED TO EXTRACT THE BACKBONE OF THE NETWORK. IN ADDITION, NETWORK CENTRALITY METRICS AND COMMUNITY DETECTION ALGORITHMS ARE USED TO ASSESS EACH INDIVIDUAL SECTOR'S ROLES, AND TO REVEAL THE CARBON COMMUNITIES WHERE SECTORS HAVE INTENSIVE EMISSION LINKS. THE RESEARCH RESULTS SUGGEST THAT THE SECTORS WITH HIGH OUT-DEGREE, IN-DEGREE OR BETWEENNESS CAN ACT AS LEVERAGE POINTS FOR CARBON EMISSIONS MITIGATION. IN ADDITION TO THE ELECTRICITY SECTOR, WHICH IS INCLUDED IN THE NATIONAL ETS, THE STUDY ALSO FOUND THAT THE METALLURGY AND CONSTRUCTION SECTORS SHOULD BE PRIORITIZED FOR EMISSIONS REDUCTION FROM NATIONAL AND LOCAL LEVELS. HOWEVER, THE HOTPOTS ARE DIFFERENT ACROSS PROVINCES AND THUS PROVINCIAL SPECIFIC TARGETED POLICIES SHOULD BE FORMED. MOREOVER, THERE ARE NINETEEN CARBON COMMUNITIES IN CHINA WITH DIFFERENT FEATURES, WHICH PROVIDES DIRECTION FOR PROVINCIAL GOVERNMENTS' EXTERNAL COLLABORATION FOR SYNERGISTIC EFFECTS.",""
"2","Metric","WU K, 2019, J CLEAN PROD","ISI000479025500087","DOES THE STRUCTURE OF INTERSECTORAL EMBEDDED CARBON FLOW NETWORK MATTER TO CARBON REDUCTION IN CHINA?","IF THE ECONOMIC-ENERGY-ENVIRONMENT SYMBIOTIC SYSTEM IS REPRESENTED AS AN INTERSECTORAL EMBEDDED CARBON FLOW NETWORK, DOES STRUCTURE OF THE NETWORK MATTER TO CARBON REDUCTION IN CHINA? BASED ON THE DELIBERATELY MANIPULATED LONGITUDINAL DATA FROM 1997, 2002, 2007 AND 2012, WE COMBINED THE METHODOLOGIES OF LIFE CYCLE ASSESSMENT (LCA) AND SOCIAL NETWORK ANALYSIS (SNA) IN THE INPUT-OUTPUT FRAMEWORK TO MIMIC INTERSECTORAL EMBEDDED CO2 FLOW NETWORK IN CHINA. WITH CORRELATION ANALYSIS AND A PANEL DATA MODEL APPLIED TO VERIFY THE RELATION BETWEEN CARBON INDICATORS AND NETWORK METRICS, WE FOUND THAT: (1) NATIONAL CONSUMPTION CARBON INTENSITY CO-EVOLVES WITH COHESION OF THE WHOLE NETWORK; (2) THE SECTOR'S POSITION IN THE WHOLE NETWORK DETERMINES IN PART THE SECTOR'S CARBON INTENSITY. OUR FINDINGS HAVE MEANINGFUL IMPLICATION FOR ENVIRONMENTAL ECONOMIC POLICY, PARTICULARLY WITH REGARDS TO SYSTEMATIC SOLUTION AND POLICY PRIORITIES. (C) 2019 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"3","Metric","SCHOER K, 2013, ENVIRON SCI TECHNOL","ISI000328796900046","ESTIMATING RAW MATERIAL EQUIVALENTS ON A MACRO-LEVEL: COMPARISON OF MULTI-REGIONAL INPUT-OUTPUT ANALYSIS AND HYBRID LCI-IO","THE MASS OF MATERIAL CONSUMED BY A POPULATION HAS BECOME A USEFUL PROXY FOR MEASURING ENVIRONMENTAL PRESSURE. THE ``RAW MATERIAL EQUIVALENTS'' (RME) METRIC OF MATERIAL CONSUMPTION ADDRESSES THE ISSUE OF INCLUDING THE FULL SUPPLY CHAIN (INCLUDING IMPORTS) WHEN CALCULATING NATIONAL OR PRODUCT LEVEL MATERIAL IMPACTS. THE RME CALCULATION SUFFERS FROM DATA AVAILABILITY, HOWEVER, AS QUANTITATIVE DATA ON PRODUCTION PRACTICES ALONG THE FULL SUPPLY CHAIN (IN DIFFERENT REGIONS) IS REQUIRED. HENCE, THE RME IS CURRENTLY BEING ESTIMATED BY THREE MAIN APPROACHES: (1) ASSUMING DOMESTIC TECHNOLOGY IN FOREIGN ECONOMIES, (2) UTILIZING REGION-SPECIFIC LIFE-CYCLE INVENTORIES (IN A HYBRID FRAMEWORK), AND (3) UTILIZING MULTI-REGIONAL INPUT OUTPUT (MRIO) ANALYSIS TO EXPLICITLY COVER ALL REGIONS OF THE SUPPLY CHAIN. WHILE THE FIRST APPROACH HAS BEEN SHOWN TO GIVE INACCURATE RESULTS, THIS PAPER FOCUSES ON THE BENEFITS AND COSTS OF THE LATTER TWO APPROACHES. WE ANALYZE RESULTS FROM TWO KEY (MRIO AND HYBRID) PROJECTS MODELING RAW MATERIAL EQUIVALENTS, ADJUSTING THE MODELS IN A STEPWISE MANNER IN ORDER TO QUANTIFY THE EFFECTS OF INDIVIDUAL CONCEPTUAL ELEMENTS. WE ATTEMPT TO ISOLATE THE MRIO GAP, WHICH DENOTES THE QUANTITATIVE IMPACT OF CALCULATING THE RME OF IMPORTS BY AN MRIO APPROACH INSTEAD OF THE HYBRID MODEL, FOCUSING ON THE RME OF EU EXTERNAL TRADE IMPORTS. WHILE, THE MODELS GIVE QUANTITATIVELY SIMILAR RESULTS, DIFFERENCES BECOME MORE PRONOUNCED WHEN TRACKING MORE DETAILED MATERIAL FLOWS. WE ASSESS THE ADVANTAGES AND DISADVANTAGES OF THE TWO APPROACHES AND LOOK FORWARD TO WAYS TO FURTHER HARMONIZE DATA AND APPROACHES.",""
"4","Metric","SANTOS JR, 2013, RISK ANAL","ISI000324391400006","RISK-BASED INPUT-OUTPUT ANALYSIS OF INFLUENZA EPIDEMIC CONSEQUENCES ON INTERDEPENDENT WORKFORCE SECTORS","OUTBREAKS OF CONTAGIOUS DISEASES UNDERSCORE THE EVER-LOOMING THREAT OF NEW EPIDEMICS. COMPARED TO OTHER DISASTERS THAT INFLICT PHYSICAL DAMAGE TO INFRASTRUCTURE SYSTEMS, EPIDEMICS CAN HAVE MORE DEVASTATING AND PROLONGED IMPACTS ON THE POPULATION. THIS ARTICLE INVESTIGATES THE INTERDEPENDENT ECONOMIC AND PRODUCTIVITY RISKS RESULTING FROM EPIDEMIC-INDUCED WORKFORCE ABSENTEEISM. IN PARTICULAR, WE DEVELOP A DYNAMIC INPUT-OUTPUT MODEL CAPABLE OF GENERATING SECTOR-DISAGGREGATED ECONOMIC LOSSES BASED ON DIFFERENT MAGNITUDES OF WORKFORCE DISRUPTIONS. AN EX POST ANALYSIS OF THE 2009 H1N1 PANDEMIC IN THE NATIONAL CAPITAL REGION (NCR) REVEALS THE DISTRIBUTION OF CONSEQUENCES ACROSS DIFFERENT ECONOMIC SECTORS. CONSEQUENCES ARE CATEGORIZED INTO TWO METRICS: (I) ECONOMIC LOSS, WHICH MEASURES THE MAGNITUDE OF MONETARY LOSSES INCURRED IN EACH SECTOR, AND (II) INOPERABILITY, WHICH MEASURES THE NORMALIZED MONETARY LOSSES INCURRED IN EACH SECTOR RELATIVE TO THE TOTAL ECONOMIC OUTPUT OF THAT SECTOR. FOR A SIMULATED MILD PANDEMIC SCENARIO IN NCR, TWO DISTINCT RANKINGS ARE GENERATED USING THE ECONOMIC LOSS AND INOPERABILITY METRICS. RESULTS INDICATE THAT THE MAJORITY OF THE CRITICAL SECTORS RANKED ACCORDING TO THE ECONOMIC LOSS METRIC COMPRISE OF SECTORS THAT CONTRIBUTE THE MOST TO THE NCR'S GROSS DOMESTIC PRODUCT (E.G., FEDERAL GOVERNMENT ENTERPRISES). IN CONTRAST, THE MAJORITY OF THE CRITICAL SECTORS GENERATED BY THE INOPERABILITY METRIC INCLUDE SECTORS THAT ARE INVOLVED WITH EPIDEMIC MANAGEMENT (E.G., HOSPITALS). HENCE, PRIORITIZING SECTORS FOR RECOVERY NECESSITATES CONSIDERATION OF THE BALANCE BETWEEN ECONOMIC LOSS, INOPERABILITY, AND OTHER OBJECTIVES. ALTHOUGH APPLIED SPECIFICALLY TO THE NCR, THE PROPOSED METHODOLOGY CAN BE CUSTOMIZED FOR OTHER REGIONS.",""
"5","Metric","KUCUKVAR M, 2013, INT J LIFE CYCLE ASSESS","ISI000319162300006","TOWARDS A TRIPLE BOTTOM-LINE SUSTAINABILITY ASSESSMENT OF THE U.S. CONSTRUCTION INDUSTRY","THE CONSTRUCTION INDUSTRY HAS CONSIDERABLE IMPACTS ON THE ENVIRONMENT, ECONOMY, AND SOCIETY. ALTHOUGH QUANTIFYING AND ANALYZING THE SUSTAINABILITY IMPLICATIONS OF THE BUILT ENVIRONMENT IS OF GREAT IMPORTANCE, IT HAS NOT BEEN STUDIED SUFFICIENTLY. THEREFORE, THE OVERARCHING GOAL OF THIS STUDY IS TO QUANTIFY THE OVERALL ENVIRONMENTAL, ECONOMIC, AND SOCIAL IMPACTS OF THE U.S. CONSTRUCTION SECTORS USING AN ECONOMIC INPUT-OUTPUT-BASED SUSTAINABILITY ASSESSMENT FRAMEWORK. IN THIS RESEARCH, THE COMMODITY-BY-INDUSTRY SUPPLY AND USE TABLES PUBLISHED BY THE U.S. BUREAU OF ECONOMIC ANALYSIS, AS PART OF THE INTERNATIONAL SYSTEM OF NATIONAL ACCOUNTS, ARE MERGED WITH A RANGE OF ENVIRONMENTAL, ECONOMIC, AND SOCIAL METRICS TO DEVELOP A COMPREHENSIVE SUSTAINABILITY ASSESSMENT FRAMEWORK FOR THE U.S. CONSTRUCTION INDUSTRY. AFTER DETERMINING THESE SUSTAINABILITY ASSESSMENT METRICS, THE DIRECT AND INDIRECT SUSTAINABILITY IMPACTS OF U.S CONSTRUCTION SECTORS HAVE BEEN ANALYZED FROM A TRIPLE BOTTOM-LINE PERSPECTIVE. WHEN ANALYZING THE TOTAL SUSTAINABILITY IMPACTS BY EACH CONSTRUCTION SECTOR, ``RESIDENTIAL PERMANENT SINGLE AND MULTI-FAMILY STRUCTURES'' AND ``OTHER NON-RESIDENTIAL STRUCTURES'' ARE FOUND TO HAVE THE HIGHEST ENVIRONMENTAL, ECONOMIC, AND SOCIAL IMPACTS IN COMPARISON WITH OTHER CONSTRUCTION SECTORS. THE ANALYSIS RESULTS ALSO SHOW THAT INDIRECT SUPPLIERS OF CONSTRUCTION SECTORS HAVE THE LARGEST SUSTAINABILITY IMPACTS COMPARED WITH ON-SITE ACTIVITIES. FOR EXAMPLE, FOR ALL U.S. CONSTRUCTION SECTORS, ON-SITE CONSTRUCTION PROCESSES ARE FOUND TO BE RESPONSIBLE FOR LESS THAN 5 \% OF TOTAL WATER CONSUMPTION, WHEREAS ABOUT 95 \% OF TOTAL WATER USE CAN BE ATTRIBUTED TO INDIRECT SUPPLIERS. IN ADDITION, SCOPE 3 EMISSIONS ARE RESPONSIBLE FOR THE HIGHEST CARBON EMISSIONS COMPARED WITH SCOPES 1 AND 2. THEREFORE, USING NARROWLY DEFINED SYSTEM BOUNDARIES BY IGNORING SUPPLY CHAIN-RELATED IMPACTS CAN RESULT IN UNDERESTIMATION OF TRIPLE BOTTOM-LINE SUSTAINABILITY IMPACTS OF THE U.S. CONSTRUCTION INDUSTRY. LIFE CYCLE ASSESSMENT (LCA) STUDIES THAT CONSIDER ALL DIMENSIONS OF SUSTAINABILITY IMPACTS OF CIVIL INFRASTRUCTURES ARE STILL LIMITED, AND THE CURRENT RESEARCH IS AN IMPORTANT ATTEMPT TO ANALYZE THE TRIPLE BOTTOM-LINE SUSTAINABILITY IMPACTS OF THE U.S. CONSTRUCTION SECTORS IN A HOLISTIC WAY. WE BELIEVE THAT THIS COMPREHENSIVE SUSTAINABILITY ASSESSMENT MODEL WILL COMPLEMENT PREVIOUS LCA STUDIES ON RESOURCE CONSUMPTION OF U.S. CONSTRUCTION SECTORS BY EVALUATING THEM NOT ONLY FROM ENVIRONMENTAL STANDPOINT, BUT ALSO FROM ECONOMIC AND SOCIAL PERSPECTIVES.",""
"6","Metric","AKHTAR R, 2013, NAT HAZARDS","ISI000312087100023","RISK-BASED INPUT-OUTPUT ANALYSIS OF HURRICANE IMPACTS ON INTERDEPENDENT REGIONAL WORKFORCE SYSTEMS","NATURAL DISASTERS, LIKE HURRICANES, CAN DAMAGE PROPERTIES AND CRITICAL INFRASTRUCTURE SYSTEMS, DEGRADE ECONOMIC PRODUCTIVITY, AND IN EXTREME SITUATIONS CAN CAUSE INJURIES AND MORTALITIES. THIS PAPER FOCUSES PARTICULARLY ON WORKFORCE DISRUPTIONS IN THE AFTERMATH OF HURRICANES. WE EXTEND THE DYNAMIC INOPERABILITY INPUT-OUTPUT MODEL (DIIM) BY FORMULATING A WORKFORCE RECOVERY MODEL TO IDENTIFY CRITICAL INDUSTRY SECTORS. A DECISION ANALYSIS TOOL IS UTILIZED BY INTEGRATING THE ECONOMIC LOSS AND INOPERABILITY METRICS TO STUDY THE INTERDEPENDENT EFFECTS OF VARIOUS HURRICANE INTENSITIES ON VIRGINIA'S WORKFORCE SECTORS. THE EXTENDED DIIM AND AVAILABLE WORKFORCE SURVEY DATA ARE INCORPORATED IN THE DECISION SUPPORT TOOL TO SIMULATE VARIOUS HURRICANE SCENARIOS. FOR A LOW-INTENSITY HURRICANE SCENARIO, THE SIMULATED TOTAL ECONOMIC LOSS TO VIRGINIA'S INDUSTRY SECTORS DUE TO WORKFORCE ABSENTEEISM IS AROUND \$410 MILLION. EXAMPLES OF CRITICAL SECTORS THAT SUFFER THE HIGHEST LOSSES FOR THIS SCENARIO INCLUDE: (1) MISCELLANEOUS PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; (2) FEDERAL GENERAL GOVERNMENT; (3) STATE AND LOCAL GOVERNMENT ENTERPRISES; (4) CONSTRUCTION; AND (5) ADMINISTRATIVE AND SUPPORT SERVICES. THIS PAPER ALSO EXPLORES THE INOPERABILITY METRIC, WHICH DESCRIBES THE PROPORTION IN WHICH A SECTOR CAPACITY IS DISRUPTED. THE INOPERABILITY METRIC REVEALS A DIFFERENT RANKING OF CRITICAL SECTORS, SUCH AS: (1) SOCIAL ASSISTANCE; (2) HOSPITALS AND NURSING AND RESIDENTIAL CARE FACILITIES; (3) EDUCATIONAL SERVICES; (4) FEDERAL GOVERNMENT ENTERPRISES; AND (5) FEDERAL GENERAL GOVERNMENT. RESULTS OF THE STUDY WILL HELP IDENTIFY THE CRITICAL WORKFORCE SECTORS AND CAN ULTIMATELY PROVIDE INSIGHTS INTO FORMULATING PREPAREDNESS DECISIONS TO EXPEDITE DISASTER RECOVERY. THE MODEL WAS APPLIED TO THE STATE OF VIRGINIA BUT CAN BE GENERALIZED TO OTHER REGIONS AND OTHER DISASTER SCENARIOS.",""
"7","Metric","MARQUES A, 2012, ECOL ECON","ISI000312351500007","INCOME-BASED ENVIRONMENTAL RESPONSIBILITY","A STRONG MITIGATION EFFORT IS UNDERWAY TO REDUCE THE LEVELS OF ANTHROPOGENIC GREENHOUSE GAS EMISSIONS. AN ALLOCATION OF THE MITIGATION EFFORT AMONG MULTIPLE AGENTS REQUIRES UNDERSTANDING WHICH AGENT IS RESPONSIBLE FOR WHAT EMISSIONS, ACCORDING TO A DEFINED MEASURE OF CARBON RESPONSIBILITY. THE METRIC ADOPTED BY CURRENT INTERNATIONAL CLIMATE POLICY IS PRODUCTION-BASED (OR TERRITORIAL) RESPONSIBILITY. HOWEVER, OTHER TYPES OF RESPONSIBILITY HAVE BEEN DISCUSSED IN THE LITERATURE, NAMELY CONSUMPTION-BASED (OR UPSTREAM) RESPONSIBILITY AND DOWNSTREAM RESPONSIBILITY. IN THIS PAPER WE STUDY THE LATTER, WHICH IS LITTLE EXPLORED IN THE LITERATURE. WE CLARIFY THE TERM THROUGH A NOVEL NOMENCLATURE, INCOME-BASED RESPONSIBILITY AND PRESENT A CASE-STUDY, WITH THE QUANTIFICATION OF INCOME-BASED RESPONSIBILITY FOR 112 WORLD REGIONS, AND THE COMPARISON OF THE RESULTS WITH PRODUCTION AND CONSUMPTION-BASED RESPONSIBILITIES. (C) 2012 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"8","Metric","RESURRECCION J, 2012, RISK ANAL","ISI000309456900007","MULTIOBJECTIVE PRIORITIZATION METHODOLOGY AND DECISION SUPPORT SYSTEM FOR EVALUATING INVENTORY ENHANCEMENT STRATEGIES FOR DISRUPTED INTERDEPENDENT SECTORS","DISRUPTIONS IN THE PRODUCTION OF COMMODITIES AND SERVICES RESULTING FROM DISASTERS INFLUENCE THE VITAL FUNCTIONS OF INFRASTRUCTURE AND ECONOMIC SECTORS WITHIN A REGION. THE INTERDEPENDENCIES INHERENT AMONG THESE SECTORS TRIGGER THE FASTER PROPAGATION OF DISASTER CONSEQUENCES THAT ARE OFTEN ASSOCIATED WITH A WIDER RANGE OF INOPERABILITY AND AMPLIFIED LOSSES. THIS ARTICLE EVALUATES THE IMPACT OF INVENTORY-ENHANCED POLICIES FOR DISRUPTED INTERDEPENDENT SECTORS TO IMPROVE THE DISASTER PREPAREDNESS CAPABILITY OF DYNAMIC INOPERABILITY INPUT-OUTPUT MODELS (DIIM). IN THIS ARTICLE, WE DEVELOP THE DYNAMIC CROSS-PRIORITIZATION PLOT (DCPP)A PRIORITIZATION METHODOLOGY CAPABLE OF IDENTIFYING AND DYNAMICALLY UPDATING THE CRITICAL SECTORS BASED ON PREFERENCE ASSIGNMENTS TO DIFFERENT OBJECTIVES. THE DCPP INTEGRATES THE RISK ASSESSMENT METRICS (E.G., ECONOMIC LOSS AND INOPERABILITY), WHICH ARE INDEPENDENTLY ANALYZED IN THE DIIM. WE DEVELOP A COMPUTER-BASED DCPP TOOL TO DETERMINE THE PRIORITY FOR INVENTORY ENHANCEMENT WITH USER PREFERENCE AND RESOURCE AVAILABILITY AS NEW DIMENSIONS. A BASELINE INVENTORY CASE FOR THE STATE OF VIRGINIA REVEALED A HIGH CONCENTRATION OF (I) MANUFACTURING SECTORS UNDER THE INOPERABILITY OBJECTIVE AND (II) SERVICE SECTORS UNDER THE ECONOMIC LOSS OBJECTIVE. SIMULATION OF ENHANCED INVENTORY POLICIES FOR SELECTED CRITICAL MANUFACTURING SECTORS HAS REDUCED THE RECOVERY PERIOD BY APPROXIMATELY FOUR DAYS AND THE EXPECTED TOTAL ECONOMIC LOSS BY \$33 MILLION. ALTHOUGH THE ARTICLE FOCUSES ON ENHANCING INVENTORY LEVELS IN MANUFACTURING SECTORS, COMPLEMENTARY ANALYSIS IS RECOMMENDED TO MANAGE THE RESILIENCE OF THE SERVICE SECTORS. THE FLEXIBILITY OF THE PROPOSED DCPP AS A DECISION SUPPORT TOOL CAN ALSO BE EXTENDED TO ACCOMMODATE ANALYSIS IN OTHER REGIONS AND DISASTER SCENARIOS.",""
"9","Metric","BORRETT SR, 2011, ECOL MODEL-a","ISI000292581400011","EQUIVALENCE OF THE REALIZED INPUT AND OUTPUT ORIENTED INDIRECT EFFECTS METRICS IN ECOLOGICAL NETWORK ANALYSIS","A NEW UNDERSTANDING OF THE CONSEQUENCES OF HOW ECOSYSTEM ELEMENTS ARE INTERCONNECTED IS EMERGING FROM THE DEVELOPMENT AND APPLICATION OF ECOLOGICAL NETWORK ANALYSIS. THE RELATIVE IMPORTANCE OF INDIRECT EFFECTS IS CENTRAL TO THIS UNDERSTANDING, AND THE RATIO OF INDIRECT FLOW TO DIRECT FLOW (I/D) IS ONE INDICATOR OF THEIR IMPORTANCE. TWO METHODS HAVE BEEN PROPOSED FOR CALCULATING THIS INDICATOR. THE UNIT APPROACH SHOWS WHAT WOULD HAPPEN IF EACH SYSTEM MEMBER HAD A UNIT INPUT OR OUTPUT, WHILE THE REALIZED TECHNIQUE DETERMINES THE RATIO USING THE OBSERVED SYSTEM INPUTS OR OUTPUTS. WHEN USING THE UNIT METHOD, THE INPUT ORIENTED AND OUTPUT ORIENTED RATIOS CAN BE DIFFERENT, POTENTIALLY LEADING TO CONFLICTING RESULTS. HOWEVER, WE SHOW THAT THE INPUT AND OUTPUT ORIENTED I/D RATIOS ARE IDENTICAL USING THE REALIZED METHOD WHEN THE SYSTEM IS AT STEADY STATE. THIS WORK IS A STEP IN THE MATURATION OF ECOLOGICAL NETWORK ANALYSIS THAT WILL LET IT BE MORE READILY TESTABLE EMPIRICALLY AND ULTIMATELY MORE USEFUL FOR ENVIRONMENTAL ASSESSMENT AND MANAGEMENT. (C) 2011 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"10","Metric","COSTELLO C, 2011, ENVIRON SCI TECHNOL","ISI000291128700040","INVENTORY DEVELOPMENT AND INPUT-OUTPUT MODEL OF US LAND USE: RELATING LAND IN PRODUCTION TO CONSUMPTION","AS POPULATIONS AND DEMANDS FOR LAND-INTENSIVE PRODUCTS, E.G., CATTLE AND BIOFUELS, INCREASE THE NEED TO UNDERSTAND THE RELATIONSHIP BETWEEN LAND USE AND CONSUMPTION GROWS. THIS PAPER DEVELOPS A PRODUCTION-BASED INVENTORY OF LAND USE (I.E., THE LAND USED TO PRODUCE GOODS) IN THE U.S. WITH THIS INVENTORY AN INPUT-OUTPUT ANALYSIS IS USED TO CREATE A CONSUMPTION-BASED INVENTORY OF LAND USE. THIS ALLOWS FOR EXPLORATION OF LINKS BETWEEN LAND USED IN PRODUCTION TO THE CONSUMPTION OF PARTICULAR GOODS. FOR EXAMPLE, IT IS POSSIBLE TO ESTIMATE THE AMOUNT OF CROPLAND EMBODIED IN PROCESSED FOODS OR HEALTHCARE SERVICES. AS WOULD BE EXPECTED, AGRICULTURAL AND FORESTRY INDUSTRIES ARE THE LARGEST USERS OF LAND IN THE PRODUCTION-BASED INVENTORY. SIMILARLY, WE FIND THAT PROCESSED FOODS AND FOREST PRODUCTS ARE THE LARGEST USERS OF LAND IN THE CONSUMPTION-BASED INVENTORY. SOMEWHAT LESS EXPECTEDLY THIS WORK FINDS THAT THE MAJORITY OF MANUFACTURING AND SERVICE INDUSTRIES, NOT TYPICALLY ASSOCIATED WITH LAND USE, REQUIRE SUBSTANTIAL AMOUNTS OF LAND TO PRODUCE OUTPUT DUE TO THE PURCHASE OF FOOD AND OTHER AGRICULTURAL AND WOOD-BASED PRODUCTS IN THE SUPPLY CHAIN. THE QUANTITATIVE LAND USE RESULTS OF THIS ANALYSIS COULD BE INTEGRATED WITH QUALITATIVE METRICS SUCH AS WEIGHTING SCHEMES DESIGNED TO REFLECT ENVIRONMENTAL IMPACT OR LIFE CYCLE IMPACT ASSESSMENT METHODS.",""
