"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Metrics","ZHANG Y, 2018, J ENVIRON MANAGE","ISI000448224900031","OUTSOURCING NATURAL RESOURCE REQUIREMENTS WITHIN CHINA","CONSUMPTION DEMANDS ARE FINAL DRIVERS FOR THE EXTRACTION AND ALLOCATION OF NATURAL RESOURCES. THIS PAPER INVESTIGATES DEMAND-DRIVEN NATURAL RESOURCE REQUIREMENTS AND SPATIAL OUTSOURCING WITHIN CHINA IN 2012 BY USING THE LATEST MULTI-REGIONAL INPUT-OUTPUT MODEL. EXERGY IS ADOPTED AS A COMMON METRIC FOR NATURAL RESOURCES INPUT. THE TOTAL DOMESTIC RESOURCE EXERGY REQUIREMENTS AMOUNTED TO 125.5 EJ, OF WHICH THE EASTERN AREA CONTRIBUTED THE LARGEST SHARE OF 44.5\%, FOLLOWED BY THE WESTERN AREA (23.9\%), THE CENTRAL AREA (23.0\%) AND THE NORTHEASTERN AREA (8.6\%). INVESTMENT WAS THE LEADING FINAL DEMAND CATEGORY, ACCOUNTING FOR 52.9\% (66.4 EJ) OF NATIONAL TOTAL EMBODIED RESOURCE USE (ERU). THE TOTAL TRADE VOLUMES OF EMBODIED RESOURCE WERE EQUIVALENT TO 69.6\% OF THE TOTAL DIRECT RESOURCE INPUT (DRI), MOSTLY TRANSFERRED FROM THE CENTRAL AND WESTERN REGIONS SUCH AS INNER MONGOLIA, SHANXI, SHAANXI AND XINJIANG TO THE EASTERN REGIONS SUCH AS JIANGSU, ZHEJIANG, GUANGDONG AND SHANGHAI. THE NORTHEASTERN AND EASTERN AREAS HAD PHYSICAL NET IMPORTS OF 1213.5 PJ AND 38452.6 PJ, WHILE THE CENTRAL AND WESTERN INLAND AREAS HAD PHYSICAL NET EXPORTS OF 6364.5 PJ AND 33301.5 PJ, RESPECTIVELY. SHANGHAI, BEIJING, ZHEJIANG, JIANGSU AND GUANGDONG HAD PROMINENT ERUS WHICH RESPECTIVELY WERE 101.6, 12.6, 11.7, 8.4 AND 4.3 TIMES OF THEIR DRIS. THE ERUS OF INNER MONGOLIA, SHAANXI, SHANXI, NINGXIA AND GUIZHOU WERE EQUAL TO ONLY 17.6\%, 25.3\%, 27.9\%, 46.0\% AND 50.2\% OF THEIR DRIS, RESPECTIVELY. REGIONAL UNEVEN DEVELOPMENT RESULTED IN IMBALANCED RESOURCE REQUIREMENTS ACROSS CHINA. THE FINDINGS CAN PROVIDE A DEEP UNDERSTANDING OF CHINA'S RESOURCE-DRIVEN ECONOMIC DEVELOPMENT MODE, AND CONTRIBUTE TO REDUCING REGIONAL RESOURCE FOOTPRINTS AND THEIR ENVIRONMENT OUTCOMES UNDER THE ``NEW NORMAL ECONOMY''.",""
"2","Metrics","VIVANCO DF, 2018, J IND ECOL","ISI000447649500017","NEXUS STRENGTH: A NOVEL METRIC FOR ASSESSING THE GLOBAL RESOURCE NEXUS","THE LIMITED ACCESS TO NATURAL RESOURCES IS A MAJOR CONSTRAINT FOR SUSTAINABILITY AT VARIOUS SPATIAL SCALES. THIS CHALLENGE HAS SPARKED SCHOLARLY INTEREST IN THE LINKAGES OR NEXUS BETWEEN RESOURCES, WITH A VIEW TO HELPING ANTICIPATE UNFORESEEN CONSEQUENCES, IDENTIFY TRADE-OFFS AND CO-BENEFITS, AND FIND OPTIMAL SOLUTIONS. YET, DESPITE DECADES OF RESEARCH, LIMITATIONS IN THE SCOPE AND FOCUS OF STUDIES REMAIN. RECENTLY CONSTRUCTED MULTIREGIONAL INPUT-OUTPUT (MRIO) DATABASES, WHICH COVER THE GLOBAL ECONOMY AND ITS USE OF RESOURCES IN UNPRECEDENTED DETAIL, ALLOW SYSTEMATICALLY INVESTIGATION OF RESOURCE USE BY PRODUCTION AS WELL AS CONSUMPTION PROCESSES AT VARIOUS LEVELS AND GARNER NEW INSIGHTS INTO GLOBAL RESOURCE NEXUS (GRN) ISSUES. THIS ARTICLE ADDRESSES THE QUESTION OF HOW TO PRIORITIZE SUCH ISSUES. USING THE MRIO DATABASE, EXIOBASE, WE ADDRESS THE GRN CONSIDERING FIVE KEY RESOURCES: BLUE WATER, PRIMARY ENERGY, LAND, METAL ORES, AND MINERALS. WE PROPOSE A METRIC OF NEXUS STRENGTH, WHICH RELIES ON LINEAR GOAL PROGRAMMING TO RANK INDUSTRIES AND PRODUCTS BASED ON ITS ASSOCIATED COMBINED RESOURCE USE AND VARIOUS WEIGHTING SCHEMES. OUR RESULTS VALIDATE CURRENT RESEARCH EFFORTS BY IDENTIFYING WATER, ENERGY, AND LAND AS THE STRONGEST LINKAGES GLOBALLY AND AT ALL SCALES AND, AT THE SAME TIME, LEAD TO NOVEL FINDINGS INTO THE GRN, IN THAT (1) IT APPEARS STRONGER AND MORE COMPLEX FROM THE CONSUMPTION PERSPECTIVE, (2) METALS AND MINERALS EMERGE AS CRITICAL, YET UNDERVALUED, COMPONENTS, AND (3) IT MANIFESTS WITH A CONSIDERABLE DIVERSITY ACROSS COUNTRIES OWING TO DIFFERENCES IN THE ECONOMIC STRUCTURE, DOMESTIC POLICY, TECHNOLOGY, AND RESOURCE ENDOWMENTS.",""
"3","Metrics","ZHANG B, 2018, J CLEAN PROD","ISI000444364400076","TRACING NATURAL RESOURCE USES VIA CHINA'S SUPPLY CHAINS","THIS PAPER MAKES AN IN-DEPTH ANALYSIS ON DEMAND-DRIVEN NATURAL RESOURCE REQUIREMENTS IN CHINA VIA THE METHODS OF THERMODYNAMIC INPUT-OUTPUT ANALYSIS AND STRUCTURAL PATH ANALYSIS, IN ORDER TO REVEAL THE CONNECTIONS BETWEEN THE COUNTRY'S RAPID ECONOMIC DEVELOPMENT AND ITS INTENSIVE USE OF NATURAL RESOURCES. THE MAIN NATURAL RESOURCES INVESTIGATED INCLUDE CROPS, FORESTRY, RANGELAND, AQUATIC PRODUCTS, COAL, CRUDE OIL \& NATURAL GAS, FERROUS METAL ORES, NONFERROUS METAL ORES, NONMETALLIC MINERALS AND OTHER PRIMARY ENERGY, AND EXERGY IS ADOPTED AS A COMMON METRIC FOR THE RESOURCE ACCOUNTING. IN 2012, THE TOTAL DOMESTIC RESOURCE EXERGY INPUT INTO CHINESE ECONOMIC SYSTEM AMOUNTED TO 130.1 EJ, OF WHICH 44.6\% WAS INDUCED BY INVESTMENT DEMANDS. THE EMBODIED RESOURCE USE (ERU) IN CHINA'S EXPORTS WAS EQUIVALENT TO OVER ONE FIFTH OF ITS DOMESTIC RESOURCE SUPPLY. THE TWO INTEGRATIVE SECTORS OF MANUFACTURING AND CONSTRUCTION ACCOUNTED FOR 44.1\% AND 28.7\% OF THE NATIONAL TOTAL ERU, RESPECTIVELY. WE IDENTIFIED CRITICAL SUPPLY CHAIN PATHS STARTING FROM RESOURCE EXTRACTION TO FINAL DEMAND, AS WELL AS KEY INDUSTRIAL SECTORS IN DRIVING THE EXTRACTION, TRANSMISSION AND FINAL USE OF EMBODIED RESOURCES. THE TOP 50 PATHS WERE RESPONSIBLE FOR 30.4 EJ OF THE ERU. THE IDENTIFICATION OF RESOURCE SUPPLY CHAINS FROM A SYSTEMIC PERSPECTIVE IS OF GREAT IMPORTANCE WHEN RESOURCE AND ENVIRONMENTAL POLICIES ARE TO BE APPLIED TO CONCRETE INDUSTRIAL SECTORS AND OTHER ECONOMIC AGENTS. INTEGRATED APPROACHES THAT TAKE ACCOUNT OF CONSUMPTION-BASED RESOURCE INDICATORS SHOULD BE DEVELOPED FOR RESOURCE CONSERVATION AND CLEANER PRODUCTION, PARTICULARLY FOR THE ECONOMIC SYSTEM WITH A COMPLEX SUPPLY NETWORK. (C) 2018 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"4","Metrics","KIS Z, 2018, ENERGY POLICY","ISI000440123300014","ELECTRICITY GENERATION TECHNOLOGIES: COMPARISON OF MATERIALS USE, ENERGY RETURN ON INVESTMENT, JOBS CREATION AND CO2 EMISSIONS REDUCTION","SHIFTING TO A LOW-CARBON ELECTRICITY FUTURE REQUIRES UP-TO-DATE INFORMATION ON THE ENERGETIC, ENVIRONMENTAL AND SOCIO-ECONOMIC PERFORMANCE OF TECHNOLOGIES. HERE, WE PRESENT A NOVEL COMPREHENSIVE BOTTOM-UP PROCESS CHAIN FRAMEWORK THAT IS APPLIED TO 19 ELECTRICITY GENERATION TECHNOLOGIES, CONSISTENTLY INCORPORATING 12 LIFE-CYCLE PHASES FROM EXTRACTION TO DECOMMISSIONING. FOR EACH LIFE-CYCLE PHASE OF EACH TECHNOLOGY THE FOLLOWING 4 KEY METRICS WERE ASSESSED: MATERIAL CONSUMPTION, ENERGY RETURN RATIOS, JOB REQUIREMENTS AND GREENHOUSE GAS EMISSIONS. WE ALSO CALCULATE A NOVEL GLOBAL ELECTRICITY TO GRID AVERAGE FOR THESE METRICS AND PRESENT A METRIC VARIABILITY ANALYSIS BY ALTERING TRANSPORT DISTANCE, LOAD FACTORS, EFFICIENCY, AND FUEL DENSITY PER TECHNOLOGY. THIS WORK QUANTITATIVELY SUPPORTS MODEL-TO-POLICY FRAMEWORKS THAT DRIVE TECHNOLOGY SELECTION AND INVESTMENT BASED ON ENERGETIC-ECONOMIC VIABILITY, JOB CREATION AND CARBON EMISSION REDUCTION OF TECHNOLOGIES. THE RESULTS SUGGEST ENERGETIC-ECONOMIC INFEASIBILITY OF ELECTRICITY GENERATION NETWORKS WITH SUBSTANTIAL SHARES OF: I) LIQUEFIED NATURAL GAS TRANSPORT, II) LONG DISTANCE TRANSPORT BASED HARD AND BROWN COAL AND PIPELINE NATURAL GAS, AND III) LOW-LOAD FACTOR SOLAR-PHOTOVOLTAIC, CONCENTRATED SOLAR POWER, ONSHORE AND OFFSHORE WIND. DIRECT SECTOR JOBS CAN BE EXPECTED TO DOUBLE IN RENEWABLE-MAJORITY SCENARIOS. ALL COMBUSTION-POWERED TECHNOLOGIES WITHOUT NATURAL (BIO-MASS) OR ARTIFICIAL CARBON CAPTURE (FOSSIL FUELS) ARE NOT COMPATIBLE WITH A LOW CARBON ELECTRICITY GENERATION FUTURE.",""
"5","Metrics","MURA M, 2018, INT J MANAG REV","ISI000437117200002","THE EVOLUTION OF SUSTAINABILITY MEASUREMENT RESEARCH","RESEARCH IN SUSTAINABILITY MEASUREMENT HAS BEEN GROWING AT A VERY HIGH PACE OVER THE PAST YEARS, AND IT HAS EXPLORED A VARIETY OF ISSUES, FROM SUSTAINABILITY DISCLOSURE TO MEASUREMENT IN GREEN SUPPLY CHAINS, FROM THE DIFFUSION OF ENVIRONMENTAL STANDARDS TO THE POLITICAL USE OF SUSTAINABILITY METRICS. THIS STUDY IS THE FIRST TO REPORT AND DISCUSS THE RESULTS OF A COMPREHENSIVE REVIEW OF THE SUSTAINABILITY MEASUREMENT LITERATURE. IN PARTICULAR, THE AUTHORS ADOPT A WIDE CONCEPTUALIZATION OF THE MEASUREMENT PROCESS, AND ANALYZE DATA THROUGH A BIBLIOMETRIC METHOD-BIBLIOGRAPHIC COUPLING. THE RESULTS SHOW THAT THE LITERATURE IS DIVIDED INTO EIGHT DISTINCT AREAS OF INQUIRY AND 12 SUB-FIELDS, SOME OF WHICH HAVE EXPANDED SIGNIFICANTLY OVER RECENT YEARS, AND OTHERS APPEAR TO BE WANING. FURTHERMORE, THE LACK OF A COMPREHENSIVE VIEW OF SUSTAINABILITY MEASUREMENT HAS LED TO THE DEVELOPMENT OF MANY SEPARATE COMMUNITIES, RESULTING IN DUPLICATIONS OF EFFORT, INCOMPLETE FRAMING OF THE PROBLEM, AND THE PROPOSAL OF PARTIAL SOLUTIONS. HOWEVER, FINDINGS DRAWN IN SUSTAINABILITY MEASUREMENT RESEARCH COULD INFORM CURRENT DEBATES IN PERFORMANCE MEASUREMENT AND MANAGEMENT IN THREE MAIN WAYS: BY EMPHASIZING STAKEHOLDERS' ROLES IN THE DESIGN, IMPLEMENTATION AND USE OF MEASURES; BY INDICATING WAYS TO ESTABLISH COMMON MEASURES AND SHARING DATA BETWEEN ORGANIZATIONS; AND BY ADOPTING NOVEL THEORETICAL PERSPECTIVES. EQUALLY, FUTURE SUSTAINABILITY MEASUREMENT STUDIES COULD BENEFIT FROM CONSIDERATION OF EXTANT RESEARCH ON STRATEGIC PERFORMANCE MEASUREMENT AND ON THE BEHAVIORAL EFFECTS OF MEASUREMENT PRACTICES.",""
"6","Metrics","TAN RR, 2018, J CLEAN PROD","ISI000428826300078","CARBON EMISSIONS PINCH ANALYSIS OF ECONOMIC SYSTEMS","CARBON EMISSIONS PINCH ANALYSIS IS A VARIANT OF PINCH ANALYSIS THAT WAS DEVELOPED FOR MACROSCALE CARBON CONSTRAINED ENERGY PLANNING PROBLEMS. IT USES CARBON INTENSITY AS THE MEASURE OF QUALITY OF ENERGY STREAMS TO BE ALLOCATED WITHIN A LARGE-SCALE SYSTEM. SINCE ITS INCEPTION, THIS METHOD HAS BEEN APPLIED TO VARIOUS SYSTEMS AT DIFFERENT SCALES, UTILIZED IN DIFFERENT GEOGRAPHIC CONTEXTS, AND ALSO EXTENDED TO ALLOW DIFFERENT SUSTAINABILITY METRICS, SUCH AS LAND AND WATER FOOTPRINTS, TO BE CONSIDERED. IN THIS PAPER, CARBON EMISSIONS PINCH ANALYSIS IS FURTHER EXTENDED BY COMBINING IT WITH INPUT-OUTPUT ANALYSIS. THIS HYBRID APPROACH IS CAPABLE OF ECONOMY-WIDE ANALYSIS, WHERE THE SEGMENTS OF COMPOSITE CURVES ARE COMPRISED OF THE SECTORS IN AN ECONOMIC SYSTEM; FLOW QUANTITIES ARE MEASURES IN TERMS OF ECONOMIC VALUE, WHILE QUALITY IS INDICATED BY CARBON INTENSITY. AFTER FIRST ILLUSTRATING THIS APPROACH TO A SMALL PEDAGOGICAL CASE STUDY, THE METHODOLOGY IS THEN APPLIED TO A CASE STUDY ON THE CARBON-CONSTRAINED ECONOMIC GROWTH OF THE PHILIPPINES. PROSPECTS AND LIMITATIONS OF THE POTENTIAL APPLICATION OF THIS METHODOLOGY TO OTHER CASES ARE ALSO DISCUSSED. (C) 2018 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"7","Metrics","OPPON E, 2018, ECOL ECON","ISI000428008000037","MODELLING MULTI-REGIONAL ECOLOGICAL EXCHANGES: THE CASE OF UK AND AFRICA","AS ENVIRONMENTAL IMPACTS CONTINUE TO RISE, THE NEED TO IDENTIFY AND QUANTIFY THE UNDERLYING CAUSES OF THESE IMPACTS HAS PROMPTED IMPORTANT RESEARCH QUESTIONS. THIS IS HEIGHTENED BY THE FACT THAT THE PRODUCTION OF GOODS AND SERVICES IS BECOMING INCREASINGLY GLOBAL WITH COUNTRIES RELYING ON EACH OTHER THROUGH TRADE. AS SUCH, IT IS IMPORTANT TO HAVE A MECHANISM IN PLACE TO UNDERSTAND THE ENVIRONMENTAL BURDEN SHIFTS FROM ONE COUNTRY TO ANOTHER. TO THIS END, THIS PAPER EXPLOITS A PARADOX IN GLOBAL ENVIRONMENTAL ANALYSIS, WHICH STEMS FROM A FALSE DECOUPLING BETWEEN ECONOMIC AND PRODUCTION SYSTEMS AS OBSERVED IN MOST DEVELOPED NATIONS, WHICH RESULTS IN IMPROVED TERRITORIAL EMISSIONS OF THESE DEVELOPED COUNTRIES AT THE EXPENSE OF DEVELOPING COUNTRIES. ECOLOGICAL UNEQUAL EXCHANGE IS ONE SUCH CONTEMPORARY ECOLOGICAL ECONOMIC CONCEPT THAT IS USED TO HIGHLIGHT SUCH ASYMMETRIC TRANSFER OF EMBODIED NATURAL RESOURCES AND BIOPHYSICAL INDICATORS BETWEEN COUNTRIES. ATTEMPTS AT ENVIRONMENTAL IMPACTS REDUCTION EFFORTS HAS LARGELY FOCUSED ON CARBON EMISSIONS BUT GIVEN THE COMPLEX SUPPLY CHAIN CREATED THROUGH GLOBALISATION AND INTERNATIONAL TRADE, IT IS IMPORTANT TO CONSIDER OTHER IMPORTANT METRICS SUCH AS LAND AND WATER USE ALONGSIDE CARBON EMISSIONS TO DRIVE ENVIRONMENTAL POLICIES THAT WILL HOLISTICALLY ADDRESS ECOLOGICALLY UNEQUAL EXCHANGES. FOR DEVELOPING COUNTRIES IN AFRICA WHERE THE DEPENDENCE ON LAND USE AND WATER USE FOR AGRICULTURAL ACTIVITIES ARE CRUCIAL TO THE DEVELOPMENT OF NATIONAL ECONOMIES AND IN COMBATING POVERTY, AN ASSESSMENT OF THESE METRICS HAS BECOME EVEN MORE PARAMOUNT. AGAINST THIS BACKDROP, THE CURRENT WORK DRAWS UPON THE THEORETICAL CONSTRUCTS OF MULTI-REGIONAL INPUT-OUTPUT (MRIO) FRAMEWORK TO TRACE COUNTRY SPECIFIC SECTORIAL-LEVEL FLOWS OF THE AFOREMENTIONED METRICS BETWEEN A REPRESENTATIVE DEVELOPED NATION, UK, AND 27 AFRICAN REGIONS IN ORDER TO FULLY EXAMINE THEIR ECOLOGICAL EXCHANGES. KEY FINDINGS IN THE STUDY SUGGEST THAT FOR WATER CONSUMPTION AND LAND USE, THERE IS A NET EXTERNALISATION OF THESE IMPACTS FOR ALL THE 27 AFRICAN REGIONS BY THE UK. IT WAS ALSO DETERMINED THAT THE EXTENT OF THE IMBALANCE BETWEEN THE UK AND THE AFRICAN REGION IS EXCEEDINGLY FAR GREATER FOR WATER CONSUMPTION. IT IS RECOMMENDED THAT IN FORMULATING A ROBUST MULTI-NATIONAL ENVIRONMENTAL POLICY WHERE SO MANY FACTORS ARE AT PLAY, COUNTRY SPECIFIC AND INDUSTRY TARGETED APPROACH TO ECOLOGICAL UNEQUAL EXCHANGE BETWEEN NATIONS PROVIDES BETTER AND IMPROVED INSIGHT INTO ADDRESSING ENSUING ENVIRONMENTAL ISSUES.",""
"8","Metrics","GAO C, 2018, APPL ENERGY","ISI000428974500063","INTERPROVINCIAL TRANSFER OF EMBODIED PRIMARY ENERGY IN CHINA: A COMPLEX NETWORK APPROACH","THE ENERGY SUPPLY DEMAND SECURITY AND CLIMATE CHANGE HAS CONTINUED TO BE PROBLEMATIC, MAKING IT SIGNIFICANT AND NECESSARY TO INVESTIGATE EMBODIED ENERGY FLOW, PARTICULARLY IN A LARGE AND FAST-GROWING DEVELOPING COUNTRY LIKE CHINA. ONE OF THE EFFECTIVE APPROACHES IS THE ENERGY/EMISSIONS EMBODIED IN BILATERAL TRADE (EEBT) AIMING TO LOCATE THE DESTINATION OF ENERGY BI-DIRECTIONALLY TO EVALUATE HOW ENERGY FLOW BETWEEN PRODUCER AND CONSUMER SECTORS. HOWEVER, IN ADDITION TO THE FLOW OF ENERGY AND RESOURCES, THE TOPOLOGICAL STRUCTURE AND IMPACT OF UNDERLYING COMPONENTS FROM A SYSTEM SCIENCE PERSPECTIVE ARE EQUALLY IMPORTANT FOR POLICY-MAKING. THIS STUDY THEREFORE CONSTRUCTS AN ENERGY EMBODIED IN TRADE NETWORK (EETN) MODEL TO TRACK MULTI-LAYER PRIMARY ENERGY FLOW BY INTEGRATING THE EEBT APPROACH AND COMPLEX NETWORK ANALYSIS. THE EMBODIED COAL, OIL, NATURAL GAS, AND NON-FOSSIL FUELS ASSOCIATED WITH CHINA'S 30 PROVINCES/MUNICIPALITIES ARE QUANTIFIED AT THE PROVINCIAL LEVEL. BY THE JOINT ANALYSIS OF THE NETWORK-ORIENTED METRICS, THE EETN MODEL ELICITS THE POSSIBILITY OF UNDERSTANDING THE HETEROGENEITY DISTRIBUTION OF DIFFERENT TYPES OF ENERGY FLOW AND THE POTENTIAL IMPACT OF PROVINCE-SPECIFIC POLICY INTERVENTIONS. WE EXPLAIN HOW RESOURCE ENDOWMENT, ECONOMIC GROWTH, INCOME INEQUALITY, CROSS-PROVINCIAL INDUSTRIAL TRANSFER, AND INFRASTRUCTURES AFFECT CHINA'S PROVINCIAL ENERGY EMBODIMENTS AS WELL AS THE CLUSTERING FEATURES. OTHER FINDINGS AND POLICY RECOMMENDATIONS ARE ALSO PRESENTED.",""
"9","Metrics","SIMONEN K, 2018, ENERGY BUILD","ISI000428492700012","EMBODIED CARBON AS A PROXY FOR THE ENVIRONMENTAL IMPACT OF EARTHQUAKE DAMAGE REPAIR","IN EVALUATING THE LIFE CYCLE ENVIRONMENTAL IMPACTS OF BUILDINGS, THE CONTRIBUTIONS OF SEISMIC DAMAGE ARE RARELY CONSIDERED. IN ORDER TO ENABLE A MORE COMPREHENSIVE ASSESSMENT OF A BUILDING'S ENVIRONMENTAL IMPACT BY ACCOUNTING FOR SEISMIC EVENTS, THIS PROJECT DEVELOPED AN ENVIRONMENTAL IMPACT DATABASE OF BUILDING COMPONENT SEISMIC DAMAGE - THE LARGEST OF ITS KIND KNOWN TO DATE - BY COMBINING DATA FROM CARNEGIE MELLON UNIVERSITY'S ECONOMIC INPUT-OUTPUT LIFE CYCLE ANALYSIS (LCA) DATABASE WITH COST ESTIMATES OF REPAIR PREVIOUSLY DEVELOPED FOR FEMA'S PERFORMANCE ASSESSMENT CALCULATION TOOL (PACT), A SOFTWARE THAT MODELS PROBABILISTIC SEISMIC DAMAGE IN BUILDINGS. FIFTEEN INDICATORS OF ENVIRONMENTAL IMPACTS WERE CALCULATED FOR THE REPAIR OF APPROXIMATELY 800 BUILDING COMPONENTS FOR UP TO FIVE LEVELS OF SEISMIC DAMAGE, CAPTURING `EMBODIED' IMPACTS RELATED TO CRADLE-TO-GATE MANUFACTURING OF BUILDING MATERIALS, PRODUCTS, AND EQUIPMENT. ANALYSIS OF THE DATA REVEALED THAT NON-STRUCTURAL AND ARCHITECTURAL FINISHES OFTEN DOMINATED THE ENVIRONMENTAL IMPACTS OF SEISMIC DAMAGE PER DOLLAR SPENT IN REPAIR. A STATISTICAL ANALYSIS WAS PERFORMED ON THE DATA USING PRINCIPAL COMPONENT ANALYSIS, CONFIRMING THAT EMBODIED CARBON, A POPULAR METRIC FOR EVALUATING ENVIRONMENTAL IMPACTS IN BUILDING LCAS, IS A SUITABLE PROXY FOR OTHER RELEVANT ENVIRONMENTAL IMPACT METRICS WHEN ASSESSING THE IMPACT OF REPAIRING EARTHQUAKE DAMAGE OF BUILDINGS. (C) 2018 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"10","Metrics","WU F, 2018, RESOUR CONSERV RECYCL","ISI000426411700027","IDENTIFICATION OF THE CRITICAL TRANSMISSION SECTORS AND TYPOLOGY OF INDUSTRIAL WATER USE FOR SUPPLY-CHAIN WATER PRESSURE MITIGATION","THE INDUSTRIAL SYSTEM PRODUCES PRESSURE ON WATER RESOURCES BY DIRECTLY CONSUMING THE WATER NEEDED FOR INDUSTRIAL PRODUCTION AND BY INDIRECTLY CONSUMING WATER THROUGH INTERMEDIATE INPUTS. TO DATE, IDENTIFYING THE CRITICAL TRANSMISSION SECTORS FOR SUPPLY-CHAIN WATER RESOURCES PRESSURE MITIGATION HAS BEEN UNDER-EXAMINED. TO FILL THIS GAP IN KNOWLEDGE, WE USE A BETWEENNESS-BASED METHOD IN COMBINATION WITH THE STANDARD INPUT OUTPUT TABLE EXTENDED WITH WATER-RESOURCE SECTOR ACCOUNTS TO IDENTIFY THE KEY TRANSMISSION SECTORS USING ZHANGYE CITY IN THE HEIHE RIVER BASIN, CHINA AS AN EXAMPLE. THE RESULTS SHOW THAT THE SECTORS WITH LOW RANKINGS OF THE PRODUCTION-BASED INDICATOR DO NOT CONSUME LARGE AMOUNTS OF WATER RESOURCES TO DIRECTLY GENERATE PRODUCTS, WHICH DEMONSTRATES THAT THESE SECTORS HAVE LIMITED SCOPE FOR REDUCING WATER-RESOURCE CONSUMPTION. THE RESULTS ALSO INDICATE THAT THOSE SECTORS HAVING HIGHER BETWEENNESS-BASED WATER USE BUT LOWER CONSUMPTION-BASED AND PRODUCTION-BASED WATER USE MERIT CLOSE ATTENTION BECAUSE THESE SECTORS TRANSMIT RELATIVELY LARGE AMOUNTS OF WATER RESOURCES EMBODIED IN THEIR INTERMEDIATE INPUTS FROM WATER-INTENSIVE UPSTREAM INDUSTRIAL SECTORS. CONSEQUENTLY, IMPROVING PRODUCTION EFFICIENCY IN THESE SECTORS HAS AN INDIRECT EFFECT BY LOWERING THE CONSUMPTION OF UPSTREAM WATER RESOURCES. THIS STUDY ALSO SHOWS THAT THE BETWEENNESS-BASED INDICATOR IS ABLE TO PROVIDE ADDITIONAL INFORMATION BEYOND THAT GIVEN BY THE USUAL METRICS DERIVED FROM THE PRODUCTION AND DEMAND SIDES. MOREOVER, THE TYPOLOGY OF WATER USE THAT WE INNOVATIVELY GENERATE IS ABLE TO INFORM CORRESPONDING AND TARGETED SECTOR-SPECIFIC POLICIES AND STRATEGIES FOR MITIGATING WATER RESOURCES PRESSURE.",""
