"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Network","HUANG L, 2019, SUSTAINABILITY","ISI000493525500367","CARBON COMMUNITIES AND HOTSPOTS FOR CARBON EMISSIONS REDUCTION IN CHINA","WITH CHINA'S COMMITMENT TO PEAK ITS EMISSIONS BY 2030, SECTORAL EMISSIONS ARE UNDER THE SPOTLIGHT DUE TO THE ROLLING OUT OF THE NATIONAL EMISSION TRADING SCHEME (ETS). HOWEVER, THE CURRENT SECTOR POLICIES FOCUS EITHER ON THE PRODUCTION SIDE OR CONSUMPTION WHILE THE MAJORITY OF SECTORS ALONG THE TRANSMISSION WERE OVERLOOKED. THIS RESEARCH COMBINES INPUT-OUTPUT MODELLING AND NETWORK ANALYSIS TO TRACK THE EMBODIED CARBON EMISSIONS AMONG THIRTY SECTORS OF THIRTY PROVINCES IN CHINA. BASED ON THE LARGE-DATA RESOLUTION NETWORK, A TWO-STEP NETWORK REDUCTION ALGORITHM IS USED TO EXTRACT THE BACKBONE OF THE NETWORK. IN ADDITION, NETWORK CENTRALITY METRICS AND COMMUNITY DETECTION ALGORITHMS ARE USED TO ASSESS EACH INDIVIDUAL SECTOR'S ROLES, AND TO REVEAL THE CARBON COMMUNITIES WHERE SECTORS HAVE INTENSIVE EMISSION LINKS. THE RESEARCH RESULTS SUGGEST THAT THE SECTORS WITH HIGH OUT-DEGREE, IN-DEGREE OR BETWEENNESS CAN ACT AS LEVERAGE POINTS FOR CARBON EMISSIONS MITIGATION. IN ADDITION TO THE ELECTRICITY SECTOR, WHICH IS INCLUDED IN THE NATIONAL ETS, THE STUDY ALSO FOUND THAT THE METALLURGY AND CONSTRUCTION SECTORS SHOULD BE PRIORITIZED FOR EMISSIONS REDUCTION FROM NATIONAL AND LOCAL LEVELS. HOWEVER, THE HOTPOTS ARE DIFFERENT ACROSS PROVINCES AND THUS PROVINCIAL SPECIFIC TARGETED POLICIES SHOULD BE FORMED. MOREOVER, THERE ARE NINETEEN CARBON COMMUNITIES IN CHINA WITH DIFFERENT FEATURES, WHICH PROVIDES DIRECTION FOR PROVINCIAL GOVERNMENTS' EXTERNAL COLLABORATION FOR SYNERGISTIC EFFECTS.",""
"2","Network","TIAN X, 2019, ENERGY","ISI000474315800026","ENERGY FOOTPRINT PATHWAYS OF CHINA","CHINA IS THE LARGEST ENERGY CONSUMER IN THE WORLD. IDENTIFYING CHINA'S ENERGY CONSUMPTION PATHWAYS AT SECTORAL LEVELS PROVIDES CRITICAL INFORMATION TO SUPPORT ENERGY EFFICIENCY IMPROVEMENTS, REDUCE TOTAL ENERGY CONSUMPTION AND ADDRESS ISSUES OF ACCESS AND EQUITY. THIS STUDY EVALUATES CHINA'S ENERGY FOOTPRINT BASED ON MULTI-REGIONAL INPUT-OUTPUT ANALYSIS AT SECTORAL LEVEL FROM 1995 TO 2009. THE FOREIGN AND DOMESTIC DEPENDENCY OF CHINA'S ENERGY FOOTPRINT IS INVESTIGATED AT SECTORAL LEVEL AS WELL. THE MAIN RESULTS SHOW THAT THE PERCENTAGE OF CHINA'S ENERGY FOOTPRINT TO THE TOTAL GLOBAL ENERGY FOOTPRINT INCREASED FROM 7.6\% IN 1995 TO 15.2\% IN 2009. CHINA'S SECTOR C18, WHICH RELATES TO THE SALE OF MOTOR VEHICLES, MOTORCYCLES AND FUEL, IS THE TOP ENERGY CONSUMING SECTOR OVER THE STUDY PERIOD. AT A SUB-SECTORAL LEVEL, THE DOMINANT ENERGY PATHWAY CONTRIBUTING TO C18 IS CHINA'S SUB-SECTORAL C17 (ENERGY SUPPLY SECTOR); C8 (ENERGY REFINED SECTOR); C12 (METAL SECTOR); C11 (OTHER NON-METALLIC MINERAL SECTOR); KOREA'S SECTORAL C9 (CHEMICAL SECTOR) AND C8 (ENERGY REFINED SECTOR) AND RUSSIA'S SECTORAL C17 (ENERGY SUPPLY SECTOR). IN TERMS OF DEPENDENCY ON OTHER COUNTRIES, CHINA'S ENERGY FOOTPRINT NETWORK DEPENDS MOST ON RUSSIA, USA AND GERMANY. (C) 2019 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"3","Network","LV K, 2019, J CLEAN PROD","ISI000468709400089","A STUDY ON EMBODIED CARBON TRANSFER AT THE PROVINCIAL LEVEL OF CHINA FROM A SOCIAL NETWORK PERSPECTIVE","THIS PAPER INCORPORATES THE MULTIREGIONAL INPUT-OUTPUT (MRIO) AND SOCIAL NETWORK ANALYSIS (SNA) METHODS TO INVESTIGATE CHINA'S EMBODIED CARBON TRANSFER ACROSS PROVINCES. WE ESTIMATE THE AMOUNT OF INTERPROVINCIAL EMBODIED CARBON TRANSFER FROM 2002 TO 2012, ANALYSE THE SPATIAL CORRELATION NETWORK STRUCTURE OF CARBON TRANSFER AND ITS DETERMINANTS. OUR WORK CAN CLARIFY THE SPATIAL DISTRIBUTION AND DIFFERENT ROLES OF PROVINCES IN THE CARBON TRANSFER NETWORK. THE EMPIRICAL RESULTS SHOW THE SPATIO-TEMPORAL EVOLUTION OF EMBODIED CARBON TRANSFER; IN 2002, EMBODIED CARBON TRANSFER OCCURRED FROM THE ENERGY-RICH NORTHERN PROVINCES TO THE DEVELOPED EASTERN AND CENTRAL PROVINCES, BUT IN 2012, IT TRANSFERRED TO DEVELOPING SOUTHWESTERN AND SOUTHERN PROVINCES. MOREOVER, THE NORTHWESTERN PROVINCES ACT AS ``BRIDGES'' BETWEEN THE CENTRAL AND EASTERN PROVINCES; EASTERN PROVINCES PLAY A ``BIDIRECTIONAL SPILLOVER'' ROLE THAT TRANSFERS CARBON INTERNALLY AND EXTERNALLY. THE EMBODIED CARBON TRANSFER NETWORK PROPOSED HERE CAN HELP POLICY MAKERS FURTHER CLARIFY INDIVIDUAL PROVINCES' CARBON EMISSIONS REDUCTION RESPONSIBILITIES AND CURB NATIONAL CARBON EMISSIONS. (C) 2019 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"4","Network","ZHA J, 2019, INT J TOUR RES","ISI000474282600010","LINKAGE ANALYSIS OF TOURISM-RELATED SECTORS IN CHINA: AN ASSESSMENT BASED ON NETWORK ANALYSIS TECHNIQUE","BASED ON CHINA'S INPUT-OUTPUT TABLES OF 2002, 2007, AND 2012, THIS PAPER EMPLOYS A NETWORK ANALYSIS TECHNIQUE TO EVALUATE THE ROLES, POSITIONS, AND EVOLUTION OF TOURISM-RELATED SECTORS IN INDUSTRIAL NETWORKS. THE RESULTS REVEALED THAT CHINA'S TOURISM INDUSTRIAL NETWORK HAS LOOSE DENSITY. THE TOURISM-RELATED SECTORS HAVE LIMITED BACKWARD LINKAGE EFFECTS AND PLAY LIMITED INTERMEDIARY ROLES IN RESOURCE FLOWS WITH REGARD TO THE REST OF THE ECONOMY, AND THE LINKAGE STRENGTHS VARY BY SECTOR. THE SECTORS THAT OCCUPY THE SAME ROLES AND POSITIONS AS THE TOURISM-RELATED SECTORS ARE CONCENTRATED IN TERTIARY SECTORS. THE SERVICE-ECONOMY FEATURES OF TOURISM-RELATED SECTORS ARE INCREASINGLY SIGNIFICANT.",""
"5","Network","CHEN B, 2019, SCI TOTAL ENVIRON","ISI000464681800010","ENERGY-INDUCED MERCURY EMISSIONS IN GLOBAL SUPPLY CHAIN NETWORKS: STRUCTURAL CHARACTERISTICS AND POLICY IMPLICATIONS","MERCURY EMISSION FLOWS IN THE GLOBAL SUPPLY CHAINS HAVE EVOLVED INTO AN EVER-INCREASING COMPLEX NETWORK. HOWEVER, THE UNDERLYING STRUCTURAL FEATURES REMAIN UNKNOWN. THEREFORE, THE GLOBAL EMBODIED MERCURY FLOW NETWORK WAS CONSTRUCTED TO REVEAL THE CHARACTERISTICS OF ENERGY-INDUCED MERCURY EMISSIONS EMBODIED IN INTERNATIONAL TRADE AT BOTH NATIONAL AND SECTORAL SCALES. THE SMALL-WORLD NATURE OF THE GLOBAL MERCURY FLOWS NETWORK WAS IDENTIFIED AT BOTH SCALES. RESULTS SHOWED THAT THE GLOBAL MERCURY FLOW NETWORK CAN BE DIVIDED INTO 4 NATIONAL COMMUNITIES, WITHIN WHICH THE SPILLOVER EFFECTS OF THE INTERVENTIONS IN ONE REGION SPREAD MORE EASILY. DETECTING THE MERCURY-INTENSIVE SUPPLY-CHAIN CLUSTERS HIGHLIGHTS THE IMPORTANCE OF MONITORING THESE CLUSTERS THAT DOMINATE MERCURY EMISSIONS IN GLOBAL SUPPLY CHAINS, WHICH COULD OFFER INSIGHTS ON WHERE POLICY CAN BE IMPLEMENTED EFFECTIVELY. MOREOVER, VITAL REGIONS (E.G., MAINLAND CHINA, THE USA, AND GERMANY) AND SECTORS (E.G., PETROLEUM, CHEMICAL AND NON - METALLIC MINERAL PRODUCTS, METAL PRODUCTS AND ELECTRICAL AND MACHINERY IN MAINLAND CHINA) FOR GLOBAL MERCURY CONTROL HAVE BEEN UNVEILED BY USING AN INTEGRATED CENTRALITY MEASUREMENT SYSTEM. OUR RESULTS HIGHLIGHT THAT, FOR THE OVERALL MERCURY REDUCTION, REGIONAL AND EVEN GLOBAL COLLABORATION SHOULD BE ENHANCED ALONG WITH EFFORTS IN INDIVIDUAL REGIONS, AND ENTERPRISES IN THESE IMPORTANT SECTORS SHOULD INVEST MORE TO GREEN THEIR CLUSTER-WISE SUPPLY CHAINS. (C) 2019 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"6","Network","KAUFMAN AG, 2010, ECOL MODEL","ISI000276574900015","ECOSYSTEM NETWORK ANALYSIS INDICATORS ARE GENERALLY ROBUST TO PARAMETER UNCERTAINTY IN A PHOSPHORUS MODEL OF LAKE SIDNEY LANIER, USA","UNDERSTANDING HOW DATA UNCERTAINTY INFLUENCES ECOSYSTEM ANALYSIS IS CRITICAL AS WE MOVE TOWARD ECOSYSTEM-BASED MANAGEMENT. HERE, WE INVESTIGATE HOW 18 ECOLOGICAL NETWORK ANALYSIS (ENA) INDICATORS THAT CHARACTERIZE ECOSYSTEM GROWTH, DEVELOPMENT, AND CONDITION ARE AFFECTED BY UNCERTAINTY IN AN ECOSYSTEM MODEL OF LAKE SIDNEY LANIER (USA). WE APPLIED ENA TO 122 PLAUSIBLE PARAMETERIZATIONS OF THE ECOSYSTEM DEVELOPED BY BORRETT AND OSIDELE (2007, ECOLOGICAL MODELLING 200, 371-387), AND THEN USED THE COEFFICIENT OF VARIATION (CV) TO COMPARE SYSTEM INDICATOR VARIABILITY. WE CONSIDERED TOTAL SYSTEM THROUGHPUT (TST) AS A MEASURE OF THE UNDERLYING MODEL UNCERTAINTY AND TESTED THREE HYPOTHESES. FIRST, WE HYPOTHESIZED THAT NON-RATIO INDICATORS WHOSE CALCULATION INCLUDES THE TST WOULD BE AT LEAST AS VARIABLE AS TST IF NOT MORE VARIABLE. SECOND, WE POSTULATED THAT INDICATORS CALCULATED AS RATIOS, WITH TST IN THE NUMERATOR AND DENOMINATOR WOULD TEND TO BE LESS VARIABLE THAN TST BECAUSE ITS INFLUENCE WILL CANCEL. LAST, WE EXPECTED THE AVERAGE MUTUAL INFORMATION (AMI) TO BE LESS VARIABLE THAN TST BECAUSE IT IS A BOUNDED FUNCTION. OUR WORK SHOWS THAT THE 18 INDICATORS GROUPED INTO FOUR CATEGORIES. THE FIRST GROUP HAS SIGNIFICANTLY LARGER CVS THAN THE CV FOR TST. IN THIS GROUP, MODEL UNCERTAINTY IS AMPLIFIED RENDERING THESE THREE INDICATORS LESS USEFUL. THE SECOND GROUP OF FOUR INDICATORS SHOWS NO SIGNIFICANT DIFFERENCE IN VARIABILITY WITH RESPECT TO TST. FINALLY, THERE ARE TWO GROUPS WHOSE CV VALUES ARE SIGNIFICANTLY LOWER THAN THAT FOR TST. THE LEAST VARIABLE GROUP INCLUDES THE RATIO-BASED INDICATORS AND AVERAGE MUTUAL INFORMATION. DUE TO THEIR LOW VARIABILITY, WE CONCLUDE THAT THESE INDICATORS ARE THE MOST ROBUST TO THE PARAMETER UNCERTAINTY AND MOST USEFUL FOR ECOSYSTEM ASSESSMENT AND COMPARATIVE ECOSYSTEM ANALYSIS. IN SUMMARY, THIS WORK SUGGESTS THAT WE CAN BE AS CERTAIN, OR MORE CERTAIN, IN MOST OF THE SELECTED ENA INDICATORS AS WE ARE IN THE PARAMETERS OF THE MODEL ANALYZED. (C) 2010 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"7","Network","MONTRESOR S, 2009, ECON SYST RES","ISI000273938700003","APPLYING SOCIAL NETWORK ANALYSIS TO INPUT-OUTPUT BASED INNOVATION MATRICES: AN ILLUSTRATIVE APPLICATION TO SIX OECD TECHNOLOGICAL SYSTEMS FOR THE MIDDLE 1990S","THE PAPER DISCUSSES, ILLUSTRATES AND POSSIBLY CONTRIBUTES TO OVERCOMING TWO METHODOLOGICAL PROBLEMS THAT EMERGE IN APPLYING SOCIAL NETWORK ANALYSIS (SNA) TO THE STUDY OF IO-BASED INNOVATION FLOWS MATRICES. THE FIRST HAS TO DO WITH THE SCALE-EFFECTS THESE MATRICES SUFFER FROM. THE SECOND REFERS TO THE NEED OF DICHOTOMISING THE MATRICES. THROUGH AN ILLUSTRATIVE APPLICATION TO SIX OECD COUNTRIES IN THE MID-1990S, THE PAPER SHOWS THAT, AS FOR THE FORMER PROBLEM, DIFFERENT RELATIVISATION PROCEDURES CAN BE, AND HAVE BEEN, USED, WHICH EITHER TEND TO ALTER THE ACTUAL MEANING OF STANDARD SNA INDICATORS, OR DO NOT PROPERLY TAKE INTO ACCOUNT THE ACTUAL COMPOSITION OF COUNTRIES' FINAL DEMAND. AS FOR THE LATTER PROBLEM, THE PAPER SHOWS THAT THE CHOICE OF DISCRETE CUT-OFFS IS EXTREMELY SENSITIVE, AS COMPARATIVE RESULTS ACTUALLY CHANGE ALONG THE CONTINUUM OF THE MATRICES VALUES. IN ORDER TO OVERCOME THE SCALE PROBLEM, A NEW RELATIVISATION PROCEDURE IS PUT FORWARD THAT MEASURES INNOVATION FLOWS EMBODIED IN A UNIT VALUE BASKET OF FINAL DEMAND AND THUS PROPERLY RETAINS ALL THE INFORMATION PROVIDED BY THE ORIGINAL MATRIX OF INTERSECTORAL INNOVATION (EMBODIED) FLOWS. IN ADDRESSING THE PROBLEM OF DICHOTOMISATION, THE PAPER SUGGESTS, AS A SECOND BEST, TO WORK WITH DENSITY DISTRIBUTIONS THAT CAN MAKE THE CHOICE OF DISCRETE CUT-OFF VALUES LESS ARBITRARY.",""
"8","Network","ULANOWICZ RE, 2008, ECOL MODEL","ISI000252654800007","LEAST-INFERENCE METHODS FOR CONSTRUCTING NETWORKS OF TROPHIC FLOWS","THE CONSTRUCTION OF MATERIAL AND ENERGY BUDGETS WITHIN ECOSYSTEMS HAS LONG BEEN ACCOMPLISHED VIA MANUAL CALCULATION. RECENTLY, OPTIMIZATION TECHNIQUES HAVE BEEN ADAPTED TO AUTOMATE THE PROCEDURE, BUT THESE METHODS REQUIRE ASSUMPTIONS THAT MAY NOT SQUARE WITH BIOLOGICAL REALITY. TWO, ALGORITHMS ARE DEVELOPED TO CONSTRUCT ECOSYSTEM BUDGETS UNDER MINIMAL INFERENCE. ALTHOUGH THE METHODS DO NOT RECAPITULATE THE MODEL USED TO GENERATE THE INPUT DATA, ANALYSIS REVEALS THAT THE RESULTS DO NOT DIFFER STATISTICALLY FROM NETWORKS THAT WERE CONSTRUCTED MANUALLY. (C) 2007 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"9","Network","SUH S, 2005, ECOL MODEL","ISI000233798200002","THEORY OF MATERIALS AND ENERGY FLOW ANALYSIS IN ECOLOGY AND ECONOMICS","MATERIALS AND ENERGY FLOW ANALYSIS (MEFA) HAS BEEN WIDELY UTILIZED IN ECOLOGY AND ECONOMICS, OCCUPYING UNIQUE POSITIONS IN BOTH DISCIPLINES. THE VARIOUS APPROACHES TO MATERIALS AND ENERGY FLOW ANALYSIS IN ECOLOGY ARE REVIEWED, THE FOCUS BEING ON THE LINEAR NETWORK SYSTEM INTRODUCED FROM INPUT-OUTPUT ECONOMICS. AFTER ITS INTRODUCTION IN THE EARLY 1970S, THE CALCULUS AND SYSTEM DEFINITION FOR MATERIALS AND ENERGY FLOW ANALYSIS HAVE BEEN DIVERSIFIED, CAUSING PROBLEMS IN COMPARING THE RESULTS OF DIFFERENT STUDIES. THIS PAPER USES A MATERIALS AND ENERGY FLOW ANALYSIS FRAMEWORK THAT IS A GENERALIZATION OF THE MAJOR APPROACHES IN ECOLOGY AND ECONOMICS TO ILLUMINATE THE DIFFERENCES AND SIMILARITIES BETWEEN THE APPROACHES ON THE BASIS OF A SET OF CONSISTENT PRINCIPLES. THE ANALYSIS OFTEN SHOWS THAT SEEMINGLY DIFFERENT CALCULUS AND INTERPRETATIONS EMPLOYED BY DIFFERENT APPROACHES EVENTUALLY LEAD TO THE SAME OUTCOME. SOME ISSUES OF INTERPRETATIONS THAT CONFLICT OR REQUIRE CAUTIOUS INTERPRETATION ARE FURTHER ELABORATED. A NUMERICAL EXAMPLE IS PRESENTED TO TEST THE GENERALIZED FRAMEWORK, APPLYING MAJOR ANALYTICAL TOOLS DEVELOPED BY OTHER APPROACHES. FINALLY, SOME PARALLELS, CONVERGENTS, AND DIVERGENTS OF THE PERSPECTIVES OF ECOLOGY AND ECONOMICS AND THEIR IMPLICATIONS FOR ENDOGENIZED RESOURCES ECONOMY ARE DISCUSSED AS THEY ARE REFLECTED IN THE MATERIALS AND ENERGY FLOW ANALYSIS FRAMEWORKS. (C) 2005 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"10","Network","FATH BD, 2004, ECOL MODEL","ISI000188994300001","NETWORK ANALYSIS APPLIED TO LARGE-SCALE CYBER-ECOSYSTEMS","NETWORK ANALYSIS IS AN IMPORTANT METHODOLOGY THAT HAS BEEN APPLIED IN SYSTEMS ECOLOGY. MANY THEORETICAL INSIGHTS HAVE ARISEN FROM THIS APPROACH, PRIMARILY THE IMPORTANCE OF INDIRECT RELATIONS IN ECOSYSTEMS AND THE HOLISTIC DETERMINATION OF ECOLOGICAL RELATIONS. THIS APPROACH, ADOPTED FROM ECONOMIC INPUT-OUTPUT ANALYSIS, TREATS SYSTEMS AS INTERCONNECTED NODES AND ARCS OF MATERIAL OR ENERGY TRANSFER. DUE TO THE DIFFICULTY IN QUANTIFYING LARGE-SCALE, COMPLEX MODELS, MOST ECOLOGICAL NETWORK MODELS ARE AGGREGATED OR LUMPED MODELS OF A FEW GENERAL CHARACTERISTICS. THEREFORE, THE RESULTANT THEORY WAS TESTED USING SMALL-SCALE MODELS WITH ONLY A SMALL NUMBER OF COMPARTMENTS. HERE, I PRESENT A WAY TO DEVELOP LARGE-SCALE CYBER-MODELS IN ORDER TO TEST FOUR OF THE MAIN HYPOTHESES OF NETWORK ANALYSIS USING MODELS WITH A LARGE NUMBER OF COMPARTMENTS. THE RESULTS SHOW THAT THE HYPOTHESES ARE AFFECTED BY MODEL SIZE. (C) 2003 ELSEVIER B.V. ALL FIGHTS RESERVED.",""
