"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Resilience","HE P, 2019, ENERGY ECON","ISI000506712700025","ENERGY-ECONOMIC RESILIENCE WITH MULTI-REGION INPUT-OUTPUT LINEAR PROGRAMMING MODELS","IN THIS WORK WE PROPOSE AN INPUT-OUTPUT LINEAR PROGRAMMING MODEL TO STUDY THE ENERGY RESILIENCE OF A MULTI-REGION ECONOMY THAT ACCOUNTS FOR THE INTER-SECTORAL AND INTER-REGIONAL DEPENDENCIES IN THE ECONOMIC STRUCTURE. THE MODEL COMPUTES THE IMPACTS OF RANDOM ENERGY PRODUCTION DISRUPTIONS ON THE ENTIRE MULTI-REGION INPUT-OUTPUT SYSTEM IN THE FORM OF FINAL DEMAND DEFICITS. WE THEN PROPOSE A FORMULATION TO EVALUATE THE ENERGY RESILIENCE OF THE SYSTEM BASED ON COMPUTING THE LARGEST SET OF DISRUPTIONS, OR WHAT IS TERMED AS RESILIENCE GUARANTEE LEVELS, THAT CAN BE SUSTAINED BY THE SYSTEM WITHIN GIVEN DEMAND DEFICIT BUDGETS. A COMPUTATIONAL STUDY IS THEN PERFORMED USING A 3-REGION-42-SECTOR MODEL BASED ON CHINA'S 2012 MULTI-REGIONAL INPUT-OUTPUT TABLE. THE RESULTS SHOW THAT REGIONAL TRADE BARRIERS, COAL-TO-GAS SWITCH POLICIES AND TECHNOLOGICAL EFFICIENCY OF SELECTED ENERGY-INTENSIVE INDUSTRIES CAN INFLUENCE CHINA'S ENERGY RESILIENCE SIGNIFICANTLY. THIS CAN PROVIDE THE POLICY-MAKERS IMPORTANT GUIDANCE ON IMPROVING ENERGY RESILIENCE IN A SYSTEMATIC MANNER. (C) 2019 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"2","Resilience","SIEVERS-GLOTZBACH S, 2019, ECOL ECON","ISI000480374500027","OVERCOMING THE PROCESS-STRUCTURE DIVIDE IN CONCEPTIONS OF SOCIAL-ECOLOGICAL TRANSFORMATION ASSESSING THE TRANSFORMATIVE CHARACTER AND IMPACT OF CHANGE PROCESSES","A FUNDAMENTAL TRANSFORMATION TOWARDS SUSTAINABILITY IN FACE OF COMPLEX SOCIAL-ECOLOGICAL CHALLENGES NEEDS TO INITIATE DEEP CHANGES OF THOSE INCUMBENT SYSTEM STRUCTURES THAT SUPPORT UNSUSTAINABLE TRAJECTORIES, WHILE AT THE SAME TIME ENCOURAGING A DIVERSITY OF ALTERNATIVE PRACTICES. A REVIEW OF TRANSFORMATION APPROACHES TOWARDS SUSTAINABILITY SHOWS THAT THESE DO NOT (SUFFICIENTLY) LINK PROCESSES OF CHANGE AT THE MICRO LEVEL TO DEEP LEVERAGES OF CHANGE IN WIDER SYSTEM STRUCTURES. ADDRESSING THIS RESEARCH GAP, WE DEVELOP A CONCEPTUAL FRAMEWORK FOR A SOCIAL-ECOLOGICAL TRANSFORMATION THAT CONNECTS THE MACRO AND THE MICRO LEVEL AND HELPS TO BRIDGE PROCESS-ORIENTED AND STRUCTURAL APPROACHES TO TRANSFORMATION. AT THE MACRO LEVEL, THE OBJECTIVES OF INTER- AND INTRAGENERATIONAL JUSTICE NEED TO BE PURSUED BY CHALLENGING THE CENTRAL PARADIGMS THAT CONSTITUTE UNSUSTAINABLE TRAJECTORIES. TO MAKE THE FRAMEWORK CONCRETE AND APPLICABLE IN PRACTICE, WE PROPOSE A PRELIMINARY SET OF EVALUATION PRINCIPLES FOR THE MICRO AND MESO LEVEL THAT REFLECT THESE NORMATIVE OBJECTIVES AND HELP TO MEASURE THE TRANSFORMATIVE CHARACTER AND TRANSFORMATIVE IMPACT OF CHANGE PROCESSES. THE EXAMPLE OF THE EUROPEAN ORGANIC BREEDING NETWORK ILLUSTRATES THE APPLICATION OF THE FRAMEWORK. AN ECOLOGICAL ECONOMICS RESEARCH THAT IS REFLECTIVE OF ITS TRANSFORMATIVE QUALITY IN LIGHT OF THE INCUMBENT PARADIGMS CAN MAKE IMPORTANT CONTRIBUTIONS TO TRANSFORMATION RESEARCH.",""
"3","Resilience","ASADI E, 2019, ENG STRUCT","ISI000471083200017","MULTI-CRITERIA DECISION-MAKING FOR SEISMIC RESILIENCE AND SUSTAINABILITY ASSESSMENT OF DIAGRID BUILDINGS","RESILIENCE AND SUSTAINABILITY ARE BOTH KEY CRITERIA IN RISK-INFORMED DECISION ANALYSIS OF STRUCTURAL SYSTEMS. HOWEVER, A COMPREHENSIVE FRAMEWORK WHICH INCORPORATES BOTH IN A MULTI-CRITERIA DECISION-MAKING (MCDM) PROCESS IS YET TO BE DEVELOPED PARTICULARLY FOR MORE RECENT STRUCTURAL SYSTEMS SUCH AS DIAGRIDS. THIS PAPER INTRODUCES A COUPLED RESILIENCE- AND SUSTAINABILITY-BASED DECISION-MAKING FRAMEWORK FOR SEISMIC DESIGN AND REHABILITATION OF BUILDING STRUCTURES. FEMA METHOD FOR INTENSITY-BASED AND TIME-BASED LOSS, DOWNTIME, AND CASUALTY ESTIMATION ARE USED TO EVALUATE SEISMIC ASSET, TIME, AND LIFE LOSSES. ECONOMIC INPUT-OUTPUT LIFE-CYCLE ASSESSMENT METHOD IS ADAPTED TO EVALUATE THE ENVIRONMENTAL LOSS DUE TO EARTHQUAKES, AS WELL. AIMING TO STUDY THE TRADE-OFF BETWEEN VARIOUS ECONOMIC, SOCIAL, AND ENVIRONMENTAL IMPACTS OF EARTHQUAKES, AN MCDM FRAMEWORK IS PROPOSED BASED ON ANALYTIC HIERARCHY PROCESS, MULTI-ATTRIBUTE UTILITY THEORY, AND TECHNIQUE FOR ORDER PREFERENCE BY SIMILARITY TO IDEAL SOLUTION (TOPSIS). THE FRAMEWORK IS USED TO STUDY THE RESILIENCY AND SUSTAINABILITY OF ARCHETYPE STEEL DIAGRID BUILDINGS IN A HIGH SEISMIC REGION. SIX SCENARIOS WITH DIFFERENT OBJECTIVES INCLUDING MINIMUM ASSET, TIME, LIFE, OR ENVIRONMENTAL LOSS AND MAXIMUM RESILIENCE ARE STUDIED. A SURVEY IS CONDUCTED TO FIND THE WEIGHT FACTORS FOR EACH CRITERION FOR EACH SCENARIO. RESULTS SHOW THAT IN AN MCDM FRAMEWORK, THE BENEFITS OF SUSTAINABLE DESIGN TECHNIQUES CAN OUTWEIGH POSSIBLE SHORTCOMINGS DUE TO STRUCTURAL CONFIGURATION AND PERFORMANCE.",""
"4","Resilience","ROSE A, 2013, ECON SYST RES","ISI000320083100004","ESTIMATING THE ECONOMIC CONSEQUENCES OF A PORT SHUTDOWN: THE SPECIAL ROLE OF RESILIENCE","THIS PAPER DEVELOPS A METHODOLOGY FOR THE ESTIMATION OF THE TOTAL ECONOMIC CONSEQUENCES OF A SEAPORT DISRUPTION, FACTORING IN THE MAJOR TYPES OF RESILIENCE. THE FOUNDATION OF THE METHODOLOGY IS A COMBINATION OF DEMAND-DRIVEN AND SUPPLY-DRIVEN INPUT-OUTPUT ANALYSES. RESILIENCE IS INCLUDED THROUGH A SERIES OF AD HOC ADJUSTMENTS BASED ON VARIOUS FORMAL MODELS AND EXPERT JUDGMENT. MOREOVER, WE HAVE DESIGNED THE METHODOLOGY IN A MANNER THAT OVERCOMES THE MAJOR SHORTCOMINGS OF THE SUPPLY-DRIVEN APPROACH. WE APPLY THE METHODOLOGY TO A 90-DAY DISRUPTION AT THE TWIN SEAPORTS OF BEAUMONT AND PORT ARTHUR, TEXAS, WHICH IS A MAJOR PORT AREA THAT INCLUDES A PETROCHEMICAL MANUFACTURING COMPLEX. WE FIND THAT REGIONAL GROSS OUTPUT COULD DECLINE BY AS MUCH AS \$13BILLION AT THE PORT REGION LEVEL, BUT THAT RESILIENCE CAN REDUCE THESE IMPACTS BY NEARLY 70\%.",""
"5","Resilience","AKHTAR R, 2013, NAT HAZARDS","ISI000312087100023","RISK-BASED INPUT-OUTPUT ANALYSIS OF HURRICANE IMPACTS ON INTERDEPENDENT REGIONAL WORKFORCE SYSTEMS","NATURAL DISASTERS, LIKE HURRICANES, CAN DAMAGE PROPERTIES AND CRITICAL INFRASTRUCTURE SYSTEMS, DEGRADE ECONOMIC PRODUCTIVITY, AND IN EXTREME SITUATIONS CAN CAUSE INJURIES AND MORTALITIES. THIS PAPER FOCUSES PARTICULARLY ON WORKFORCE DISRUPTIONS IN THE AFTERMATH OF HURRICANES. WE EXTEND THE DYNAMIC INOPERABILITY INPUT-OUTPUT MODEL (DIIM) BY FORMULATING A WORKFORCE RECOVERY MODEL TO IDENTIFY CRITICAL INDUSTRY SECTORS. A DECISION ANALYSIS TOOL IS UTILIZED BY INTEGRATING THE ECONOMIC LOSS AND INOPERABILITY METRICS TO STUDY THE INTERDEPENDENT EFFECTS OF VARIOUS HURRICANE INTENSITIES ON VIRGINIA'S WORKFORCE SECTORS. THE EXTENDED DIIM AND AVAILABLE WORKFORCE SURVEY DATA ARE INCORPORATED IN THE DECISION SUPPORT TOOL TO SIMULATE VARIOUS HURRICANE SCENARIOS. FOR A LOW-INTENSITY HURRICANE SCENARIO, THE SIMULATED TOTAL ECONOMIC LOSS TO VIRGINIA'S INDUSTRY SECTORS DUE TO WORKFORCE ABSENTEEISM IS AROUND \$410 MILLION. EXAMPLES OF CRITICAL SECTORS THAT SUFFER THE HIGHEST LOSSES FOR THIS SCENARIO INCLUDE: (1) MISCELLANEOUS PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; (2) FEDERAL GENERAL GOVERNMENT; (3) STATE AND LOCAL GOVERNMENT ENTERPRISES; (4) CONSTRUCTION; AND (5) ADMINISTRATIVE AND SUPPORT SERVICES. THIS PAPER ALSO EXPLORES THE INOPERABILITY METRIC, WHICH DESCRIBES THE PROPORTION IN WHICH A SECTOR CAPACITY IS DISRUPTED. THE INOPERABILITY METRIC REVEALS A DIFFERENT RANKING OF CRITICAL SECTORS, SUCH AS: (1) SOCIAL ASSISTANCE; (2) HOSPITALS AND NURSING AND RESIDENTIAL CARE FACILITIES; (3) EDUCATIONAL SERVICES; (4) FEDERAL GOVERNMENT ENTERPRISES; AND (5) FEDERAL GENERAL GOVERNMENT. RESULTS OF THE STUDY WILL HELP IDENTIFY THE CRITICAL WORKFORCE SECTORS AND CAN ULTIMATELY PROVIDE INSIGHTS INTO FORMULATING PREPAREDNESS DECISIONS TO EXPEDITE DISASTER RECOVERY. THE MODEL WAS APPLIED TO THE STATE OF VIRGINIA BUT CAN BE GENERALIZED TO OTHER REGIONS AND OTHER DISASTER SCENARIOS.",""
"6","Resilience","FRASER EDG, 2011, ECOL ECON","ISI000291134700005","CAN ECONOMIC, LAND USE AND CLIMATIC STRESSES LEAD TO FAMINE, DISEASE, WARFARE AND DEATH? USING EUROPE'S CALAMITOUS 14TH CENTURY AS A PARABLE FOR THE MODERN AGE","ALTHOUGH MANY OF TODAY'S ECOLOGICAL, CLIMATIC AND SOCIO-ECONOMIC PROBLEMS SEEM UNPRECEDENTED, SIMILAR EVENTS HAVE OCCURRED IN THE PAST. AS SUCH, HISTORIC PERIODS OF CLIMATIC AND ECONOMIC VOLATILITY CAN BE USED AS A WAY OF DEVELOPING FRAMEWORKS FOR ANALYZING TODAY'S PREDICAMENT. WESTERN EUROPE'S ``MIDDLE AGES'' (CIRCA 11-14TH CENTURY) MAY BE ONE SUCH CASE. BY THE 12TH CENTURY, MEDIEVAL EUROPE HAD SHIFTED FROM THE SUBSISTENCE AGRARIAN ECONOMY THAT EMERGED FOLLOWING THE COLLAPSE OF THE ROMAN EMPIRE TO ONE WHERE SPATIALLY DISPERSED TRADE IN AGRICULTURAL COMMODITIES HELPED SUPPORT A COMPLEX SOCIETY THAT DEVOTED CONSIDERABLE RESOURCES TO CULTURAL WORKS. THIS SHIFT WAS FACILITATED BY NEW INSTITUTIONAL ARRANGEMENTS CENTRED ON MONASTIC ORDERS THAT PROVIDED ACCESS TO BOTH NEW AGRICULTURAL AND FOOD PROCESSING TECHNOLOGIES AS WELL AS TRADE ROUTES. THESE INSTITUTIONAL ARRANGEMENTS CONTRIBUTED TO POPULATION GROWTH AND LAND CLEARING. ALL OF THESE FACTORS INCREASED THE WEALTH OF SOCIETY BUT ALSO CONCENTRATED THIS WEALTH IN A SMALL NUMBER OF COMMUNITIES THAT WERE DEPENDENT ON AN EVER-INCREASING AND EXPLOITED HINTERLAND FOR RESOURCES. ULTIMATELY, THIS CREATED A TIGHTLY COUPLED CONTINENT-WIDE SUBSISTENCE SYSTEM THAT WAS VULNERABLE TO THE WEATHER, ECONOMIC AND DISEASE SHOCKS OF THE 14TH CENTURY WHEN EUROPE'S POPULATION DECLINED BY PERHAPS 50\%. IN EXPLORING THIS HISTORY, THE GOAL OF THIS PAPER IS TO DRAW ON A DIVERSE THEORETICAL BODY OF LITERATURE (THAT INCLUDES RESILIENCY THEORY, LANDSCAPE ECOLOGY, POLITICAL SCIENCE AND ECOLOGICAL ECONOMICS) TO DEVELOP A SERIES OF HYPOTHESES ABOUT HOW LARGE-SCALE COMPLEX CIVILIZATIONS CAN BECOME VULNERABLE TO CLIMATE CHANGE. (C) 2010 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"7","Resilience","FLETCHER CS, 2007, ECOL MODEL","ISI000244598300019","RESILIENCE IN LANDSCAPE EXPLOITATION SYSTEMS","A GENERIC MODEL IS DEVELOPED THAT DESCRIBES THE BROAD PROPERTIES OF LAND-EXPLOITATION SYSTEMS FROM HUNTING-GATHERING SOCIETIES TO MODERN, INTENSIVE AGRICULTURE. THE FRAMEWORK INCLUDES SOCIAL, ECONOMIC AND ECOLOGICAL DRIVERS OF CHANGE, GOING BEYOND THE CONCEPT OF ``SUSTAINABILITY'' TO ESTABLISH A PARADIGM OF ``RESILIENT EXPLOITATION'' THAT CALCULATES THE CAPACITY OF LANDSCAPE EXPLOITATION SYSTEMS TO SURVIVE IN UNCERTAIN AND VARIABLE HUMAN AND NATURAL ENVIRONMENTS. THE MODEL IS HIGHLY AGGREGATED, CONSISTING OF TWO STATE VARIABLES: (1) HUMAN-MADE CAPITAL AND LABOUR (H) AND (2) NATURAL CAPITAL (N). DEPENDING ON THE PARAMETERS, THE MODEL DISPLAYS A SINGLE NON-TRIVIAL EQUILIBRIUM, TWO EQUILIBRIA, OR STABLE LIMIT CYCLES. OUR ANALYSIS FOCUSES ON THE STRATEGIES THAT EXPLOITERS EMPLOY, THROUGH VARYING THEIR INVESTMENT IN H, AND HOW THIS AFFECTS RESILIENCE OF THE SYSTEM. WE MEASURE RESILIENCE AS THE SIZE OF THE BASIN OF ATTRACTION NEAR A DESIRABLE EQUILIBRIUM AND THE RETURN TIME FOLLOWING SMALL PERTURBATIONS. FOUR GENERAL STRATEGIES ARE ANALYSED AND DISCUSSED USING GRAZING SYSTEMS AS A PARTICULAR EXAMPLE: (1) CONSTANT STOCKING RATE, (2) MAINTAINING GRASS STOCK, (3) CONSTANT UTILIZATION RATE, AND (4) A NON-LINEAR, COMPOUND STRATEGY. LIKE PREVIOUS MODELS OF RENEWABLE RESOURCES, MAXIMUM SUSTAINABLE YIELD AND PROFIT ARE DETERMINED BY PROPERTIES OF THE RENEWABLE RESOURCE, SO ALL MANAGEMENT STRATEGIES YIELD IDENTICAL LONG-TERM SUSTAINABLE PRODUCTION AND IDENTICAL EQUILIBRIA. HOWEVER, DIFFERENT MANAGEMENT STRATEGIES DRASTICALLY CHANGE THE SYSTEM'S RESILIENCE. WE ASSESS THE OPPORTUNITY COST OF THE DISPARATE OBJECTIVES OF RESILIENCE AND PROFITABILITY USING MULTI-OBJECTIVE OPTIMIZATION AND DEMONSTRATE THAT RESILIENCE DECREASES RAPIDLY AS MAXIMUM PROFIT IS APPROACHED. THUS, THE SAME STABLE AND SUSTAINABLE EQUILIBRIUM POINT IN AN EXPLOITATION SYSTEM WILL BE MORE OR LESS RESILIENT DEPENDING ON THE EXPLOITER'S STRATEGY. TRADITIONAL ECONOMIC ANALYSIS DOES NOT CONSIDER THE IMPACT OF THE MANAGEMENT STRATEGY EMPLOYED TO DRIVE THE SYSTEM TOWARDS THESE LONG-TERM EQUILIBRIA, AND THEREFORE MISSES LARGE DIFFERENCES IN DYNAMICAL BEHAVIOUR AWAY FROM EQUILIBRIUM. THE POSSIBILITY OF MULTIPLE STEADY STATES IN THESE NON-LINEAR SYSTEMS RESULTS IN THE POTENTIAL FOR A DISCONTINUOUS ``THRESHOLD'' IN RESILIENCE, TO ONE SIDE OF WHICH RESILIENCE IS MAINTAINED, WHILE ON THE OTHER RESILIENCE AND PRODUCTION ARE GREATLY DEGRADED. WE FURTHER DISCUSS HOW SUBSIDIES MIGHT INCREASE OR DECREASE RESILIENCE OF EXPLOITATION SYSTEMS BY AFFECTING AN EXPLOITER'S STRATEGY. (C) 2006 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"8","Resilience","CRABTREE L, 2006, GEOFORUM","ISI000239166900007","SUSTAINABILITY BEGINS AT HOME? AN ECOLOGICAL EXPLORATION OF SUB/URBAN AUSTRALIAN COMMUNITY-FOCUSED HOUSING INITIATIVES","THIS PAPER RESPONDS TO CHALLENGES MADE BY CASTREE [CASTREE, N., 2004. ENVIRONMENTAL ISSUES: SIGNALS IN THE NOISE? PROGRESS IN HUMAN GEOGRAPHY 28 (1), 79-90] AND SNEDDON [SNEDDON, C., 2000. `SUSTAINABILITY' IN ECOLOGICAL ECONOMICS, ECOLOGY AND LIVELIHOODS: A REVIEW. PROGRESS IN HUMAN GEOGRAPHY 24 (4), 521-549] FOR HUMAN GEOGRAPHY TO CLARIFY ITS CONTRIBUTION TO ENVIRONMENTAL DEBATES AND ENGAGE WITH RECENT FORMULATIONS OF SUSTAINABILITY AS INFORMED BY THE `NEW ECOLOGY'. THIS APPROACH FOCUSES ON RESILIENCE, FUNCTIONAL DIVERSITY, FLEXIBILITY AND COMPLEXITY, HERE USED TO EXAMINE HOUSING SUSTAINABILITY WITHIN AN INDUSTRIALISED SUB/URBAN CONTEXT IN TERMS OF DESIGN PHILOSOPHY.. OWNERSHIP, MANAGEMENT BASES, COMMUNITY ENGAGEMENT AND FUNDING MECHANISMS. THIS FRAMEWORK HIGHLIGHTS AREAS OF CONCERN FOR ENHANCING THE FUNCTIONAL DIVERSITY OF HOUSING SYSTEMS, ECHOING RECENT ASSERTIONS THAT CHALLENGES FOR SUSTAINABILITY ARISE MORE FROM TRUST AND POWER SHARING ISSUES, THAN FROM PHYSICAL DESIGN AND MAINTENANCE ISSUES. IT IS ARGUED THAT IT IS PRECISELY HUMAN GEOGRAPHY'S PLACE-BY-PLACE CONSIDERATION OF POWER, EMBEDDEDNESS, SCALE AND POLITICS THAT CAN LEND NEW ECOLOGY THE SOCIAL RELEVANCE IT REQUIRES. (C) 2005 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"9","Resilience","CHEN CC, 2006, ENVIRON INT","ISI000237186800006","DEVELOPMENT OF A FRAMEWORK FOR SUSTAINABLE USES OF RESOURCES: MORE PAPER AND LESS PLASTICS?","TAIWAN'S EPA HAS IMPLEMENTED A NEW GUIDELINE CALLED THE ``PLASTIC PRODUCTS RESTRICTION POLICY'' PROHIBITING SOME INDUSTRIES TO USE PLASTICS AS PACKAGING MATERIALS FOR THE SAKE OF SUSTAINABLE USE OF RESOURCES. THE SIGNIFICANT EFFECT RESULTING FROM THIS POLICY IS THE SUBSTITUTION OF PLASTIC PRODUCTS WITH PAPER PRODUCTS. IS THIS POLICY BENEFICIAL TO ACHIEVE FUTURE SUSTAINABILITY? I ALLEMPT TO ANALYZE THE RESOURCE CHOICE BETWEEN RENEWABLE RESOURCES AND EXHAUSTIBLE RESOURCES FOR PRODUCTION OF FINAL PRODUCTS AND SERVICES IN CASE OF EXHAUSTION OF NATURAL RESOURCES. IN THIS PAPER, I DEVELOP A FRAMEWORK TO EXAMINE THE DYNAMIC RESPONSIVENESS OF A SOCIO-ECONOMICAL SYSTEM IN FACING A CONTINUAL DEPLETION OF NATURAL RESOURCES PROVIDED BY AN ENVIRONMENTAL SYSTEM. IN THIS FRAMEWORK, THE STATUS OF AN ENVIRONMENTAL SYSTEM IN TERMS OF CARRYING CAPACITY IS AFFECTED BY THE CUMULATIVE IMPACTS CAUSED FROM HUMAN ACTIVITIES, INCLUDING ENVIRONMENTAL POLLUTION AND RESOURCE EXPLOITATION. CONVERSELY, IT ALSO AFFECTS THE GROWTH OF RENEWABLE RESOURCES. THIS FRAMEWORK CAN SERVE AS A GUIDELINE TO CONSTRUCT INDICATORS TO MEASURE THE STATUS OF THE ENVIRONMENTAL SYSTEM AND THE SOCIO-ECONOMICAL SYSTEM IN ORDER TO SUPPORT A POLICY PLANNER THAT FORMULATES AN APPROPRIATE ENVIRONMENTAL POLICY. BASED ON THIS FRAMEWORK, I ALSO DEVELOP A MATHEMATICAL MODEL TO DETERMINE THE OPTIMAL RATIO OF RESOURCES CHOICE BETWEEN RENEWABLE RESOURCES AND EXHAUSTIBLE RESOURCES. (C) 2005 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"10","Resilience","KREMEN C, 2005, ECOL LETT","ISI000228397000002","MANAGING ECOSYSTEM SERVICES: WHAT DO WE NEED TO KNOW ABOUT THEIR ECOLOGY?","HUMAN DOMINATION OF THE BIOSPHERE HAS GREATLY ALTERED ECOSYSTEMS, OFTEN OVERWHELMING THEIR CAPACITY TO PROVIDE ECOSYSTEM SERVICES CRITICAL TO OUR SURVIVAL. YET ECOLOGICAL UNDERSTANDING OF ECOSYSTEM SERVICES IS QUITE LIMITED. PREVIOUS WORK MAPS THE SUPPLY AND DEMAND FOR SERVICES, ASSESSES THREATS TO THEM, AND ESTIMATES ECONOMIC VALUES, BUT DOES NOT MEASURE THE UNDERLYING ROLE OF BIODIVERSITY IN PROVIDING SERVICES. IN CONTRAST, EXPERIMENTAL STUDIES OF BIODIVERSITY-FUNCTION EXAMINE COMMUNITIES WHOSE STRUCTURES OFTEN DIFFER MARKEDLY FROM THOSE PROVIDING SERVICES IN REAL LANDSCAPES. A BRIDGE IS NEEDED BETWEEN THESE TWO APPROACHES. TO DEVELOP THIS RESEARCH AGENDA, I DISCUSS CRITICAL QUESTIONS AND KEY APPROACHES IN FOUR AREAS: (1) IDENTIFYING THE IMPORTANT `ECOSYSTEM SERVICE PROVIDERS'; (2) DETERMINING THE VARIOUS ASPECTS OF COMMUNITY STRUCTURE THAT INFLUENCE FUNCTION IN REAL LANDSCAPES, ESPECIALLY COMPENSATORY COMMUNITY RESPONSES THAT STABILIZE FUNCTION, OR NON-RANDOM EXTINCTION SEQUENCES THAT RAPIDLY ERODE IT; (3) ASSESSING KEY ENVIRONMENTAL FACTORS INFLUENCING PROVISION OF SERVICES, AND (4) MEASURING THE SPATIO-TEMPORAL SCALE OVER WHICH PROVIDERS AND SERVICES OPERATE. I SHOW HOW THIS RESEARCH AGENDA CAN ASSIST IN DEVELOPING ENVIRONMENTAL POLICY AND NATURAL RESOURCE MANAGEMENT PLANS.",""
