"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Review","WU XD, 2019, J HYDROL","ISI000474327800063","GLOBAL SOCIO-HYDROLOGY: AN OVERVIEW OF VIRTUAL WATER USE BY THE WORLD ECONOMY FROM SOURCE OF EXPLOITATION TO SINK OF FINAL CONSUMPTION","TO REFLECT A KEY ASPECT OF GLOBAL SOCIO-HYDROLOGY, THIS PAPER EXPLORES GLOBAL VIRTUAL WATER USE FROM SOURCE OF EXPLOITATION TO SINK OF FINAL CONSUMPTION VIA INTERREGIONAL TRADES WITHIN THE WORLD ECONOMY AS REFLECTED BY WORLD INPUT-OUTPUT DATABASE FOR 2014. AN EMBODIMENT ACCOUNTING MODEL IS DEVELOPED, WHICH TAKES FULL ACCOUNT OF VIRTUAL WATER FEEDBACKS RELATED TO PRIMARY INPUTS. GLOBAL TOTAL TRADE VOLUME OF VIRTUAL WATER IS ESTIMATED TO BE IN MAGNITUDE AROUND 30\% OF THE GLOBAL DIRECT FRESHWATER WITHDRAWAL. MOREOVER, IT IS REVEALED THAT GLOBAL VIRTUAL WATER TRANSFER IN INTERMEDIATE TRADE IS IN MAGNITUDE AROUND 1.4 TIMES THAT IN FINAL TRADE. IN INTERMEDIATE TRADE OF VIRTUAL WATER, CHINA, JAPAN AND THE UNITED KINGDOM TURN OUT TO BE THE THREE LEADING NET IMPORTERS, WHILE INDIA, RUSSIA AND THE UNITED STATES ARE REVEALED AS THE LEADING NET EXPORTERS. IN FINAL TRADE OF VIRTUAL WATER, THE UNITED STATES, JAPAN AND RUSSIA ARE THE MAJOR NET IMPORTERS, IN CONTRAST TO CHINA, INDIA AND MEXICO AS THE LEADING NET EXPORTERS. TRADE CONNECTIONS AND IMBALANCES OF MAJOR ECONOMIES IN TERMS OF VIRTUAL WATER ARE QUANTIFIED AND ANALYZED. TWO NEW INDICATORS IN TERMS OF WATER SELF-SUFFICIENCY RATE BY SOURCE AND THAT BY SINK ARE DEVISED. IT IS FOUND THAT AROUND 40\% OF THE USE OF CHINA'S FRESHWATER WITHDRAWAL FINALLY SINKS INTO FOREIGN ECONOMIES WHILE ONLY 20\% OF CHINA'S VIRTUAL WATER USE ORIGINATES FROM OTHER REGIONS. WITH REGARD TO GERMANY, CANADA AND FRANCE, THEY BEHAVE LIKE ACTIVE PUMPS DRIVING VAST VIRTUAL WATER INFLOWS AND OUTFLOWS, DEMONSTRATING THEIR HIGH INVOLVEMENT IN THE GLOBAL SUPPLY CHAIN IN TERMS OF VIRTUAL WATER. WITH THE INCREASINGLY FREQUENT VIRTUAL WATER TRANSFER WITHIN THE WORLD ECONOMY, NATIONS AND REGIONS OUGHT TO ASSESS THEIR BEHAVIORS IN INTERMEDIATE AND FINAL TRADES OF VIRTUAL WATER FOR SUSTAINABLE USE OF FRESHWATER RESOURCES.",""
"2","Review","HONG H, 2011, CONT SHELF RES","ISI000290195700002","AN OVERVIEW OF PHYSICAL AND BIOGEOCHEMICAL PROCESSES AND ECOSYSTEM DYNAMICS IN THE TAIWAN STRAIT","THE TAIWAN STRAIT IS AN IMPORTANT CHANNEL IN THE WEST PACIFIC OCEAN TRANSPORTING WATER AND CHEMICAL CONSTITUENTS BETWEEN THE EAST CHINA SEA AND THE SOUTH CHINA SEA. DUE TO ITS COMPLEX BOTTOM TOPOGRAPHY, ALTERNATING MONSOON FORCING AND CONJUNCTION OF SEVERAL CURRENT SYSTEMS [SUCH AS THE ZHEJIANG-FUJIAN (ZHE-MIN) COASTAL CURRENT, THE KUROSHIO INTRUSION AND THE EXTENSION OF THE SOUTH CHINA SEA WARM CURRENT], THE PHYSICAL AND BIOGEOCHEMICAL PROCESSES AND ECOSYSTEM DYNAMICS IN THE TAIWAN STRAIT VARY SIGNIFICANTLY BOTH IN SPACE AND IN TIME. OUR RECENT INTERDISCIPLINARY STUDIES, COMBINING IN SITU AND REMOTE SENSING OBSERVATIONS WITH NUMERICAL MODELING, ALLOW US TO ADDRESS SEVERAL IMPORTANT ISSUES CONCERNING THE TAIWAN STRAIT. THE TEMPORAL AND SPATIAL VARIATION OF CIRCULATION IN THE TAIWAN STRAIT IS MODULATED BY STRONG MONSOON FORCING, COMPLEX TOPOGRAPHY AND CIRCULATION IN THE NORTHERN SOUTH CHINA SEA AS WELL AS COASTAL WATER INPUT AND THE KUROSHIO INTRUSION. THE BIOGEOCHEMICAL PROCESSES OF CARBON AND NUTRIENTS IN THE TAIWAN STRAIT DEPEND LARGELY ON THE PHYSICAL FORCING (EXTERNAL INPUT) AND THE COMMUNITY STRUCTURE (INTERNAL CYCLING). THE PRIMARY PRODUCERS IN THE TAIWAN STRAIT ARE DOMINATED BY NANO- AND PICO-PHYTOPLANKTON, AND THE CONTRIBUTION OF THE MICROBIAL FOOD WEB TO THE TRADITIONAL FOOD WEB IS ESTIMATED TO BE ABOUT 30\%, IMPLYING THE FUNDAMENTAL SIGNIFICANCE OF THE MICROBIAL FOOD WEB IN THIS SUBTROPICAL REGION. UPWELLING IS A PREDOMINANT FEATURE IN THE TAIWAN STRAIT AND SHOWS DYNAMIC SHORT-TERM, SEASONAL AND INTERANNUAL VARIATIONS. COMBINED HYDROGRAPHIC AND SATELLITE-DERIVED INFORMATION PROVIDES EVIDENCE ON THE TELECONNECTION BETWEEN THE TAIWAN STRAIT UPWELLING VARIATION AND THE EL NINO-SOUTHERN OSCILLATION (ENSO) CLIMATE VARIABILITY. UPWELLING HAS A TREMENDOUS IMPACT ON BIOGEOCHEMICAL PROCESSES, BIOLOGICAL PRODUCTIVITY AND ECOSYSTEM STRUCTURE. NOT ONLY THE BIOLOGICAL PRODUCTIVITY, BUT ALSO DRAMATIC CHANGES IN THE PHYTOPLANKTON COMMUNITY STRUCTURE REVEAL THE DYNAMIC ECOSYSTEM RESPONSES TO THE VARIATIONS IN UPWELLING, WHICH SHOULD HAVE SIGNIFICANT IMPACT ON THE FISHERY RESOURCES. IN THIS OVERVIEW. WE SUMMARIZE THE HYDROGRAPHICAL FEATURES WITH AN EMPHASIS ON UPWELLING, WHICH IS THE KEY DRIVER OF BIOGEOCHEMICAL PROCESSES AND ECOSYSTEM DYNAMICS IN THE TAIWAN STRAIT. (C) 2011 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"3","Review","MINX JC, 2009, ECON SYST RES","ISI000275698000002","INPUT-OUTPUT ANALYSIS AND CARBON FOOTPRINTING: AN OVERVIEW OF APPLICATIONS","THIS ARTICLE PROVIDES AN OVERVIEW OF HOW GENERALISED MULTI-REGIONAL INPUT-OUTPUT MODELS CAN BE USED FOR CARBON FOOTPRINT APPLICATIONS. WE FOCUS ON THE RELEVANCE AND SUITABILITY OF SUCH EVIDENCE TO INFORM DECISION MAKING. SUCH AN OVERVIEW IS CURRENTLY MISSING. DRAWING ON UK RESULTS, WE COVER CARBON FOOTPRINT APPLICATIONS IN SEVEN AREAS: NATIONAL EMISSIONS INVENTORIES AND TRADE, EMISSION DRIVERS, ECONOMIC SECTORS, SUPPLY CHAINS, ORGANISATIONS, HOUSEHOLD CONSUMPTION AND LIFESTYLES AS WELL AS SUB-NATIONAL EMISSION INVENTORIES. THE ARTICLE HIGHLIGHTS THE MULTIPLE USES OF GENERALISED MULTI-REGIONAL INPUT-OUTPUT MODELS FOR CARBON FOOTPRINTING AND CONCLUDES BY HIGHLIGHTING IMPORTANT AVENUES FOR FUTURE RESEARCH.",""
"4","Review","TUKKER A, 2006, J IND ECOL","ISI000239378800012","ENVIRONMENT IMPACTS OF PRODUCTS - A DETAILED REVIEW OF STUDIES","ENVIRONMENTAL EFFECTS OF ECONOMIC ACTIVITIES ARE ULTIMATELY DRIVEN BY CONSUMPTION, VIA IMPACTS OF THE PRODUCTION, USE, AND WASTE MANAGEMENT PHASES OF PRODUCTS AND SERVICES ULTIMATELY CONSUMED. INTEGRATED PRODUCT POLICY (IPP) ADDRESSING THE LIFE-CYCLE IMPACTS OF PRODUCTS FORMS AN INNOVATIVE NEW GENERATION OF ENVIRONMENTAL POLICY YET THIS POLICY REQUIRES INSIGHT INTO THE FINAL CONSUMPTION EXPENDITURES AND RELATED PRODUCTS THAT HAVE THE GREATEST LIFE-CYCLE ENVIRONMENTAL IMPACTS. THIS REVIEW ARTICLE BRINGS TOGETHER THE CONCLUSIONS OF 11 STUDIES THAT ANALYZE THE LIFE-CYCLE IMPACTS OF TOTAL SOCIETAL CONSUMPTION AND THE RELATIVE IMPORTANCE OF DIFFERENT FINAL CONSUMPTION CATEGORIES, THIS REVIEW ADDRESSES IN GENERAL STUDIES THAT WERE INCLUDED IN THE PROJECT ENVIRONMENTAL IMPACTS OF PRODUCTS (EIPRO) OF THE EUROPEAN UNION (EU), WHICH FORM THE BASIS OF THIS SPECIAL ISSUE. UNLIKE MOST STUDIES DONE IN THE PAST 25 YEARS ON SIMILAR TOPICS, THE STUDIES REVIEWED HERE COVERED A BROAD SET OF ENVIRONMENTAL IMPACTS BEYOND JUST ENERGY USE OR CARBON DIOXIDE (CO2) EMISSIONS. THE STUDIES DIFFERED GREATLY IN BASIC APPROACH (EXTRAPOLATING LCA DATA TO IMPACTS OF CONSUMPTION CATEGORIES VERSUS APPROACHES BASED ON ENVIRONMENTALLY EXTENDED INPUT-OUTPUT (EEIO) TABLES), GEOGRAPHICAL REGION, DISAGGREGATION OF FINAL DEMAND, DATA INVENTORY USED, AND METHOD OF IMPACT ASSESSMENT. NEVERTHELESS, ACROSS ALL STUDIES A LIMITED NUMBER OF PRIORITIES EMERGED. THE THREE MAIN PRIORITIES, HOUSING, TRANSPORT, AND FOOD, ARE RESPONSIBLE FOR 70\% OF THE ENVIRONMENTAL IMPACTS IN MOST CATEGORIES, ALTHOUGH COVERING ONLY 55\% OF THE FINAL EXPENDITURE IN THE 25 COUNTRIES THAT CURRENTLY MAKE UP THE EU. AT A MORE DETAILED LEVEL, PRIORITIES ARE CAR AND MOST PROBABLY AIR TRAVEL WITHIN TRANSPORT, MEAT AND DAIRY WITHIN FOOD, AND BUILDING STRUCTURES, HEATING, AND (ELECTRICAL) ENERGY-USING PRODUCTS WITHIN HOUSING. EXPENDITURES ON CLOTHING, COMMUNICATION, HEALTH CARE, AND EDUCATION ARE CONSIDERABLY LESS IMPORTANT. GIVEN THE VERY DIFFERENT APPROACHES FOLLOWED IN EACH OF THE SOURCES REVIEWED, THIS RESULT HENCE MUST BE REGARDED AS EXTREMELY ROBUST. RECOMMENDATIONS ARE GIVEN TO HARMONIZE AND IMPROVE THE METHODOLOGICAL APPROACHES OF SUCH ANALYSES, FOR INSTANCE, WITH REGARD TO MODELING OF IMPORTS, INCLUSION OF CAPITAL GOODS, AND MAKING AN EXPLICIT DISTINCTION BETWEEN HOUSEHOLD AND GOVERNMENT EXPENDITURE.",""
"5","Review","DING YH, 2005, METEOROL ATMOS PHYS","ISI000230963600009","THE EAST ASIAN SUMMER MONSOON: AN OVERVIEW","THE PRESENT PAPER PROVIDES AN OVERVIEW OF MAJOR PROBLEMS OF THE EAST ASIAN SUMMER MONSOON. THE SUMMER MONSOON SYSTEM OVER EAST ASIA (INCLUDING THE SOUTH CHINA SEA (SCS)) CANNOT BE JUST THOUGHT OF AS THE EASTWARD AND NORTHWARD EXTENSION OF THE INDIAN MONSOON. NUMEROUS STUDIES HAVE WELL DOCUMENTED THAT THE HUGE ASIAN SUMMER MONSOON SYSTEM CAN BE DIVIDED INTO TWO SUBSYSTEMS: THE INDIAN AND THE EAST ASIAN MONSOON SYSTEM WHICH ARE TO A GREATER EXTENT INDEPENDENT OF EACH OTHER AND, AT THE SAME TIME, INTERACT WITH EACH OTHER. IN THIS CONTEXT, THE MAJOR FINDINGS MADE IN RECENT TWO DECADES ARE SUMMARIZED BELOW: (1) THE EARLIEST ONSET OF THE ASIAN SUMMER MONSOON OCCURS IN MOST OF CASES IN THE CENTRAL AND SOUTHERN INDOCHINA PENINSULA. THE ONSET IS PRECEDED BY DEVELOPMENT OF A BOB (BAY OF BENGAL) CYCLONE, THE RAPID ACCELERATION OF LOW-LEVEL WESTERLIES AND SIGNIFICANT INCREASE OF CONVECTIVE ACTIVITY IN BOTH AREAL EXTENT AND INTENSITY IN THE TROPICAL EAST INDIAN OCEAN AND THE BAY OF BENGAL. (2) THE SEASONAL MATCH OF THE EAST ASIAN SUMMER MONSOON DISPLAYS A DISTINCT STEPWISE NORTHWARD AND NORTHEASTWARD ADVANCE, WITH TWO ABRUPT NORTHWARD JUMPS AND THREE STATIONARY PERIODS. THE MONSOON RAIN COMMENCES OVER THE REGION FROM THE INDOCHINA PENINSULA-THE SCS-PHILIPPINES DURING THE PERIOD FROM EARLY MAY TO MID-MAY, THEN IT EXTENDS ABRUPTLY TO THE YANGTZE RIVER BASIN, AND WESTERN AND SOUTHERN JAPAN, AND THE SOUTHWESTERN PHILIPPINE SEA IN EARLY TO MID-JUNE AND FINALLY PENETRATES TO NORTH CHINA, KOREA AND PART OF JAPAN, AND THE TOPICAL WESTERN WEST PACIFIC. (3) AFTER THE ONSET OF THE ASIAN SUMMER MONSOON, THE MOISTURE TRANSPORT COMING FROM INDOCHINA PENINSULA AND THE SOUTH CHINA SEA PLAYS A CRUCIAL ``SWITCH'' ROLE IN MOISTURE SUPPLY FOR PRECIPITATION IN EAST ASIA, THUS LEADING TO A DRAMATIC CHANGE IN CLIMATE REGIME IN EAST ASIA AND EVEN MORE REMOTE AREAS THROUGH TELECONNECTION. (4) THE EAST ASIAN SUMMER MONSOON AND RELATED SEASONAL RAIN BELTS ASSUMES SIGNIFICANT VARIABILITY AT INTRASEASONAL, INTERANNUAL AND INTERDECADAL TIME SCALES. THEIR INTERACTION, I.E., PHASE LOCKING AND IN-PHASE OR OUT-PHASE SUPERIMPOSING, CAN TO A GREATER EXTENT CONTROL THE BEHAVIORS OF THE EAST ASIAN SUMMER MONSOON AND PRODUCE UNIQUE RYTHEM AND SINGULARITIES. (5) TWO EXTERNAL FORCING I.E., PACIFIC AND INDIAN OCEAN SSTS AND THE SNOW COVER IN THE EURASIA AND THE TIBETAN PLATEAU, ARE BELIEVED TO BE PRIMARY CONTRIBUTING FACTORS TO THE ACTIVITY OF THE EAST ASIAN SUMMER MONSOON. HOWEVER, THE INTERNAL VARIABILITY OF THE ATMOSPHERIC CIRCULATION IS ALSO VERY IMPORTANT. IN PARTICULAR, THE BLOCKING HIGHS IN MID-AND HIGH LATITUDES OF EURASIAN CONTINENTS AND THE SUBTROPICAL HIGH OVER THE WESTERN NORTH PACIFIC PLAY A MORE IMPORTANT ROLE WHICH IS QUITE DIFFERENT FRONT THE CONDITION FOR THE SOUTH ASIAN MONSOON. THE LATER IS OF TROPICAL MONSOON NATURE WHILE THE FORMER IS OF HYBRID NATURE OF TROPICAL AND SUBTROPICAL MONSOON WITH INTENSE IMPACT FROM MID-AND HIGH LATITUDES.",""
"6","Review","BHASKARAN R, 2005, ANTI-CORROS METHODS MATER","ISI000227476200004","A REVIEW OF DIFFERING APPROACHES USED TO ESTIMATE THE COST OF CORROSION (AND THEIR RELEVANCE IN THE DEVELOPMENT OF MODERN CORROSION PREVENTION AND CONTROL STRATEGIES)","PURPOSE TO ANALYZE THE DIFFERENT APPROACHES USED TO ESTIMATE THE COST OF CORROSION AND UNDERSTAND THE LIMITATIONS SO AS TO HAVE PROPER APPROPRIATION IN FUTURE APPRAISALS. DESIGN/METHODOLOGY/APPROACH FOUR WELL-KNOWN APPROACHES TO ANALYSIS OF COST OF CORROSION VIZ., THE UHLIG METHOD, THE HOAR METHOD, NBS-BCL INPUT/OUTPUT METHOD AND NET PRESENT VALUE METHOD HAVE BEEN CONSIDERED IN GREAT DETAIL AND THE IMPACT OF THESE APPROACHES ON CORROSION ECONOMY IN DIFFERENT COUNTRIES HAS BEEN HIGHLIGHTED. FINDINGS UHLIG METHOD OF ESTIMATING CORROSION COST ALWAYS GIVES A CONSERVATIVE ESTIMATE OF THE DIRECT COST OF CORROSION. THE DIRECT COST OF CORROSION, AS ESTIMATED BY THE HOAR METHOD, IS FOUND TO BE SOMEWHAT HIGHER THAN IS THE ESTIMATE MADE USING THE UHLIG METHOD, AS SHOWN BY SHIBATA OF JAPAN. THE NBS-BCL METHOD OF INPUT/OUTPUT ANALYSIS, THOUGH APPARENTLY MORE SCIENTIFIC, IS SUBJECT ULTIMATELY TO UNCERTAINTIES IN QUANTIFYING THE CAPITAL COST AND INTERMEDIATE OUTPUT. THE NET PRESENT VALUE METHOD APPEARS TO BE MORE REALISTIC THAN DO OTHER APPROACHES AS IT ENABLES A LIFE CYCLE COSTING OF EACH STRUCTURE/FACILITY TO BE MADE AND ARRIVES AT THE MOST COST-EFFECTIVE CORROSION CONTROL METHOD. EVEN THOUGH ALL THE ABOVE FOUR APPROACHES ENABLE AN ESTIMATION OF DIRECT COST OF CORROSION, THERE IS NO STANDARD APPROACH TO ASSESS THE INDIRECT COST OF CORROSION. ORIGINALITY/VALUE IN A DEVELOPING ECONOMY, EACH AND EVERY INDUSTRY HAS TO GO FOR SYSTEMATIC CORROSION AUDITING IN ORDER TO IDENTIFY AND ADOPT THE MOST APPROPRIATE CORROSION CONTROL MEASURES AND EFFECT CONSIDERABLE SAVINGS. THIS PAPER WOULD BE OF IMMENSE USE IN THAT REGARD.",""
"7","Review","PANDYA KV, 1995, IEE PROC -SCI MEAS TECHNOL","ISIA1995RZ59000006","REVIEW OF MODELING TECHNIQUES AND TOOLS FOR DECISION-MAKING IN MANUFACTURING MANAGEMENT","THE AUTHOR REVIEWS METHODOLOGIES AND MODELLING TOOLS WHICH HAVE BEEN DEVELOPED FOR USE IN MANUFACTURING SYSTEMS. THE STRENGTHS AND WEAKNESSES OF THE DIFFERENT TOOLS ARE DISCUSSED, AND EXAMPLES OF APPLICATIONS ARE GIVEN. AN UNDERSTANDING OF GENERAL SYSTEMS THEORY AS IDENTIFIED BY CHECKLAND (1981) IS ASSUMED. THE METHODOLOGIES AND MODELLING TECHNIQUES DISCUSSED MAKE THE COMMON ASSUMPTION THAT SYSTEMS CONCEPTS, SUCH AS ORGANISED INTERCONNECTEDNESS AND EMERGENT PROPERTIES, APPLY IN THE CONTEXT OF THE PROBLEM DOMAIN. THE MODELLING TOOLS MAY BE USED TO MODEL BUSINESS PROCESSES INCLUDING: ALL THE PLANNING AND CONTROL PROCESSES, PROCESS TECHNOLOGY AND MANAGEMENT AND ADMINISTRATIVE. FOLLOWING THE REVIEW OF THE METHODOLOGIES AND MODELLING TECHNIQUES A PRACTICAL GUIDE IN THE FORM OF A TABLE IS PROPOSED FOR BUSINESS PROCESSES.",""
"8","Review","VANLOON H, 1993, J GEOPHYS RES-SPACE PHYS","ISIA1993MG09700005","REVIEW OF THE DECADAL OSCILLATION IN THE STRATOSPHERE OF THE NORTHERN-HEMISPHERE","THE DECADAL OSCILLATION OF THE TEMPERATURE AND GEOPOTENTIAL HEIGHT IN THE LOWER STRATOSPHERE OF THE NORTHERN HEMISPHERE CAN BE FOLLOWED BACK TO THE EARLY 1950S. DURING THIS TIME IT WAS IN PHASE WITH THE 11-YEAR SUNSPOT CYCLE. THE CORRELATION WITH THE SOLAR CYCLE IS POSITIVE AND LARGEST IN THE STRATOSPHERIC GEOPOTENTIAL HEIGHTS OF THE SUBTROPICS BELOW 10 MBAR (APPROXIMATELY 31 KM, WHICH IS AS HIGH AS THE GRID POINT DATA REACH), ESPECIALLY ON THE WESTERN, OCEAN-DOMINATED SIDE OF THE HEMISPHERE. AS EXPECTED FROM THE HYDROSTATIC EQUATION, IT IS ALSO EVIDENT IN THE TEMPERATURES OF THE UPPER TROPOSPHERE IN THE SAME REGION. THERE IS NO LARGE CORRELATION AT HIGH LATITUDES. THE CORRELATION WITH THE SUNSPOT CYCLE IS WEAKEST IN JANUARY-FEBRUARY, BUT IF THE DATA IN THESE MONTHS ARE GROUPED ACCORDING TO THE WIND DIRECTION IN THE QUASI-BIENNIAL OSCILLATION (QBO) OF THE LOWER EQUATORIAL STRATOSPHERE, THE POSITIVE SUBTROPICAL CORRELATIONS IN THE EAST YEARS ARE AS HIGH AS IN ALL OTHER MONTHS. THERE ARE, IN ADDITION LARGE NEGATIVE CORRELATIONS IN THE ARCTIC IN AGREEMENT WITH THE STRONG TELECONNECTION (NEGATIVE CORRELATION) BETWEEN LOWER AND HIGHER LATITUDES IN WINTER. THERE IS NO CONSISTENT SIGN IN THE WEAK CORRELATIONS AT MIDDLE AND LOWER LATITUDES IN THE WEST YEARS, BUT IN THE ARCTIC THE CORRELATION WITH THE SOLAR CYCLE IS HIGHLY POSITIVE, BECAUSE THOSE MAJOR MIDWINTER WARMINGS THAT OCCUR IN WEST YEARS OF THE QBO TAKE PLACE IN SOLAR MAXIMA, WHEREAS THE YEARS WITHOUT MAJOR WARMINGS ARE FOUND IN SOLAR MINIMA. THERE IS NOT YET AN EXPLANATION OF THE 10-12 YEAR OSCILLATION IN THE STRATOSPHERE.",""
"9","Review","WU XF, 2019, ENERGY POLICY","ISI000463688800046","GLOBAL OVERVIEW OF CRUDE OIL USE: FROM SOURCE TO SINK THROUGH INTER-REGIONAL TRADE","THIS PAPER CONDUCTS A SYSTEMS INPUT-OUTPUT ANALYSIS TO FORM AN OVERVIEW OF CRUDE OIL USE IN THE GLOBALIZED WORLD ECONOMY IN 2015. THE USE OF CRUDE OIL IS TRACKED FROM THE SOURCES OF EXPLOITATION TO THE SINKS OF FINAL USE THROUGH THE CHANNELS OF INTER-REGIONAL TRADE. THIS PAPER FINDS THAT THE TOP FIVE OIL USERS, THE UNITED STATES, MAINLAND CHINA, JAPAN, SOUTH KOREA AND CANADA, ARE TOGETHER RESPONSIBLE FOR HALF OF GLOBAL OIL USE. THE GLOBAL VOLUME OF OIL EMBODIED IN TRADE IS TWENTY PERCENT LARGER THAN THAT IN OIL EXPLOITATION, AND THE ROLE OF THE TRADE OF NON-OIL GOODS IN THE GLOBAL OIL BALANCE IS COMPARABLE TO THAT OF THE DIRECT OIL TRADE. THE UNITED STATES IS THE BIGGEST NET IMPORTER OF OIL USE, IN CONTRAST TO MAINLAND CHINA, WHICH IS THE BIGGEST NET IMPORTER OF DIRECT OIL. IN ORDER TO CHARACTERIZE A REGION'S ENERGY SECURITY, NEW INDICES FOR ITS DEPENDENCE ON EXTERNAL SOURCES OF OIL ARE DEVISED. THE INTER-REGIONAL TRANSFER OF THE ENVIRONMENTAL BURDEN ASSOCIATED WITH OIL USE, LEADING TO THE DILEMMA OF ``REGIONAL DECREASE AT THE EXPENSE OF GLOBAL INCREASE'' IS SHOWN TO BE INHERENT TO EXISTING ENERGY STRATEGIES.",""
"10","Review","WU XD, 2019, ENERGY POLICY-a","ISI000463688200028","ENERGY USE IN WORLD ECONOMY FROM HOUSEHOLD-CONSUMPTION-BASED PERSPECTIVE","AN OVERVIEW FOR ENERGY USE WITHIN THE WORLD ECONOMY AS REFLECTED BY THE EORA DATABASE FOR 2012 IS CONDUCTED BY MEANS OF HOUSEHOLD-CONSUMPTION-BASED MULTI-REGIONAL INPUT-OUTPUT ANALYSIS THAT IS PARALLEL TO EXISTING ENERGY ACCOUNTING FRAMEWORKS. FROM A HOUSEHOLD-CONSUMPTION-BASED PERSPECTIVE, THE ENERGY USE FOR MAINLAND CHINA ECONOMY IS ONLY AROUND HALF OF THAT FOR THE UNITED STATES. THE WORLD'S TRADE VOLUME OF ENERGY USE ASSOCIATED WITH CONSUMER PRODUCTS IS QUANTIFIED, WHICH IS OVER ONE-FIFTH OF THE GLOBAL TOTAL ENERGY CONSUMPTION. MAINLAND CHINA IS REVEALED TO BE WITH THE LARGEST TRADE DEFICIT OF ENERGY USE, IN MAGNITUDE UP TO THE SUMMATION OF THE TRADE IMBALANCE OF ALL OTHER MAJOR ECONOMIES. HEAVY INDUSTRY PRODUCTS SHIPPED TO EUROPE \& EURASIA, ASIA PACIFIC AND NORTH AMERICA ACCOUNT FOR NEARLY 80\% OF MAINLAND CHINA'S EXPORTS OF ENERGY USE. TO SAFEGUARD SUSTAINABLE ENERGY USE, THE DEVELOPED ECONOMIES ARE SUGGESTED TO FURTHER STRENGTHEN THEIR COMPARATIVE ADVANTAGES IN THOSE HIGH VALUE-ADDED GOODS OR SERVICES WHILE DEVELOPING ECONOMIES SUCH AS MAINLAND CHINA ARE SUPPOSED TO ALTER THE TRADE PATTEMS BY A TRANSITION OF ECONOMIC STRUCTURE.",""
