"","TOPIC","AUTHOR","UID","TITLE","ABSTRACT","NOTES"
"1","Review_or_Overview","KAN SY, 2019, ENERGY POLICY","ISI000453642600020","NATURAL GAS OVERVIEW FOR WORLD ECONOMY: FROM PRIMARY SUPPLY TO FINAL DEMAND VIA GLOBAL SUPPLY CHAINS","AS THE WORLD IS SMOOTHING THE TRANSITION TOWARDS A LOW-CARBON ENERGY STRUCTURE, NATURAL GAS HAS OCCUPIED A CRITICAL POSITION IN GLOBAL ENERGY SUPPLY. ALSO, GLOBALIZATION HAS CATALYZED EVER-INCREASING INDIRECT ENERGY FLOWS IN INTERNATIONAL TRADE. IN ORDER TO PRESENT A COMPREHENSIVE OVERVIEW OF NATURAL GAS USE IN GLOBALIZED ECONOMY, THIS PAPER APPLIES THE SYSTEMS MULTI-REGIONAL INPUT-OUTPUT (MRIO) ANALYSIS TO TRACK NATURAL GAS USE FROM PRIMARY SUPPLIERS TO FINAL CONSUMERS VIA THE LINKS BY PRODUCERS IN THE WORLD ECONOMY, SUPPORTED BY TYPICAL STATISTICS FOR THE YEAR OF 2011. NATURAL GAS EMBODIED IN INTERNATIONAL TRADE IS REVEALED AMOUNTING TO 2722.1 BCM, IN MAGNITUDE UP TO 90\% OF TOTAL GAS EXTRACTION FOR ENERGY USE, INDICATING THE INTENSIVE RELOCATION OF GAS USE BY TRADE. 83\% OF TRADED EMBODIED NATURAL GAS IS ASSOCIATED WITH INTERMEDIATE TRADE, MAINLY FROM LEADING PRIMARY SUPPLIERS, INCLUDING RUSSIA, USA AND WESTERN ASIA, TO DOMINANT FINAL CONSUMERS, LIKE USA, EU27 AND EAST ASIA. SIGNIFICANT DIFFERENCES ARE FOUND BETWEEN DIRECT AND EMBODIED NATURAL GAS FLOWS. CONSUMPTION-BASED RESOURCE EFFICIENCY CAN BREAK THE ILLUSION OF EFFICIENCY IMPROVEMENTS, AND TRADE IMBALANCE IN TERMS OF GAS USE CAN BE OPPOSITE TO THE TRADE IMBALANCE IN CONVENTIONAL MONETARY TERMS. THIS PAPER HAS CONSTRUCTED A COMPREHENSIVE ANALYTICAL FRAMEWORK TO TRACE NATURAL GAS FLOWS IN GLOBALIZED ECONOMY FOR THE FIRST TIME, AIMING TO PROVIDE NEW INSIGHTS FOR POLICY MAKING.",""
"2","Review_or_Overview","WU XD, 2018, LAND USE POL","ISI000435619900021","AN OVERVIEW OF ARABLE LAND USE FOR THE WORLD ECONOMY: FROM SOURCE TO SINK VIA THE GLOBAL SUPPLY CHAIN","AS AN EXTENSION OF A PREVIOUS WORK (CHEN AND HAN, 2015A), THIS STUDY EXPLORED THE ARABLE LAND USE OF THE WORLD ECONOMY FROM SOURCE OF EXPLOITATION TO SINK OF FINAL CONSUMPTION VIA THE GLOBAL SUPPLY CHAIN, BY MEANS OF EMBODIMENT ACCOUNTING THAT INCLUDES THE INDIRECT FEEDBACKS ASSOCIATED WITH BOTH INTERMEDIATE AND PRIMARY INPUTS. IN MAGNITUDE, THE GLOBAL TRANSFER OF ARABLE LAND USE IS ESTIMATED TO BE AROUND 40\% OF THE TOTAL DIRECT EXPLOITATION. THE CONNECTIONS AS WELL AS IMBALANCES OF MAJOR ECONOMIES IN INTERMEDIATE AND FINAL TRADES OF ARABLE LAND USE ARE DISCUSSED. CANADA, AUSTRALIA, ARGENTINA, PAKISTAN AND AFRICAN REGIONS TURN OUT TO HAVE A MASSIVE DEFICIT OF ARABLE LAND USE IN BOTH INTERMEDIATE AND FINAL TRADES. IN CONTRAST, THE UNITED STATES, JAPAN, MAINLAND CHINA, THE UNITED KINGDOM, GERMANY AND FRANCE OBTAIN A SURPLUS OF ARABLE LAND USE IN BOTH INTERMEDIATE AND FINAL TRADES BY LAND DISPLACEMENT IN THOSE NET EXPORTERS. INDICES IN TERMS OF ARABLE LAND USE SELF-SUFFICIENCY RATE BY SOURCE AND THAT BY SINK ARE DEVISED. FOR INDIA AS THE BIGGEST SOURCE REGION, AROUND 20\% OF THE ARABLE LAND RESOURCES EXPLOITED LOCALLY ARE FOR FINAL CONSUMPTION ABROAD. FOR THE UNITED STATES AS THE LARGEST SINK REGION, AROUND 40\% OF ITS ARABLE LAND USE ORIGINATES FROM FOREIGN REGIONS LED BY CANADA. FOR JAPAN AS THE BIGGEST NET IMPORTER IN BOTH INTERMEDIATE AND FINAL TRADES, OVER 90\% OF ITS ARABLE LAND USE COMES FROM FOREIGN ECONOMIES LED BY AFRICAN AND ASIAN REGIONS. FOR SUSTAINED DEVELOPMENT, REGIONS ARE SUGGESTED TO BE MORE ADAPTED TO THE GLOBAL SUPPLY CHAIN BASED ON THEIR BEHAVIORS IN BOTH INTERMEDIATE AND FINAL TRADES OF ARABLE LAND USE.",""
"3","Review_or_Overview","ROBINSON OJ, 2018, J CLEAN PROD","ISI000423002500125","TOWARDS A UNIVERSAL CARBON FOOTPRINT STANDARD: A CASE STUDY OF CARBON MANAGEMENT AT UNIVERSITIES","ORGANISATIONS OF ALL TYPES ARE SIGNIFICANT CONTRIBUTORS TO INTERNATIONAL GREENHOUSE GAS EMISSIONS. THE BUSINESS CASE FOR SUPPORTING LOW-CARBON PRACTICES IS GATHERING PACE, ALONGSIDE THE REGULATORY DEMANDS IMPOSED THROUGH CARBON EMISSION COMPLIANCE REPORTING. DESPITE THIS, GUIDANCE FOR GENERATING CARBON FOOTPRINTS THROUGH HYBRID ENVIRONMENTALLY EXTENDED INPUT-OUTPUT ANALYSIS IS UNDER-DEVELOPED AND UNDER-RESEARCHED. HIGHER EDUCATION INSTITUTIONS ARE KEY COMPONENTS OF EDUCATION SYSTEMS ACROSS THE GLOBE, TRANSCENDING INTERNATIONAL BORDERS, SOCIO-POLITICAL REGIMES AND ECONOMIC SYSTEMS. AS AN INTERNATIONALLY SIGNIFICANT SECTOR BEGINNING TO ADDRESS CLIMATE ISSUES THROUGH CARBON REDUCTION POLICIES ON AND OFF THE ESTATE, VERY FEW RESEARCH ARTICLES HAVE BEEN PUBLISHED THAT DOCUMENT EMISSIONS ARISING FROM ALL DIRECTLY AND INDIRECTLY ATTRIBUTABLE ACTIVITIES. THIS STUDY OUTLINES A NUMBER OF KEY ELEMENTS TO STANDARDISE THE ORGANISATIONAL CARBON FOOTPRINTING PROCESS BY RECONCILING AND EVALUATING THE METHODOLOGICAL STEPS IN SIX SELECTED INTERNATIONALLY REPUTABLE GUIDELINES (PUBLISHED BY THE GLOBAL REPORTING INITIATIVE, THE CARBON DISCLOSURE PROJECT, THE UNITED KINGDOM'S GOVERNMENT DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS, THE GREENHOUSE GAS PROTOCOL, THE INTERNATIONAL STANDARDISATION ORGANISATION AND THE HIGHER EDUCATION FUNDING COUNCIL FOR ENGLAND). A SYSTEMATIC REVIEW IS UNDERTAKEN WHICH RELATES THE FOUR PRINCIPLES OF CARBON FOOTPRINTING (BOUNDARY-SETTING, IDENTIFICATION OF ACTIVITIES, COLLECTING OF DATA AND REPORTING/VERIFICATION) TO THE ACADEMIC LITERATURE. THEN, VIA CONSULTATION WITH UNIVERSITY ENVIRONMENT MANAGERS, A NUMBER OF RECOMMENDATIONS ARE MADE TO ADDRESS AND IMPROVE I) THE POTENTIAL TO AVOID DOUBLE-COUNTING, II) THE FINANCIAL AND RESOURCE COST OF CARBON FOOTPRINTING AND III) THE RELIABILITY AND COMPARABILITY OF DATA COMPILED BY INSTITUTIONS. WE INTRODUCE A METHODOLOGY FOR A UNIVERSAL, STANDARDISED FOOTPRINTING STANDARD FOR HIGHER EDUCATION (THAT COULD ALSO APPLY TO ALL ORGANISATIONS REGARDLESS OF SECTOR OR REGION) WITH CUT-OFF CRITERIA THAT EXCLUDES PAID-FOR PRODUCTS AND SERVICES TYPICALLY INCLUDED IN THE `SCOPE 3' PROPORTION OF THE FOOTPRINT. IN PROPOSING THIS METHODOLOGY, CARBON FOOTPRINTING IS MADE MORE APPLICABLE TO HIGHER EDUCATION INSTITUTIONS (SINCE EXISTING STANDARDS ARE DESIGNED FOR GENERALITY AND FOR PROFIT-DRIVEN ORGANISATIONS) AND THE PRACTICAL ISSUES, ASSOCIATED WITH EXTERNALLY OWNED DATA AND NON EXPERT STAFF, ARE BROADLY OVERCOME. (C) 2017 THE AUTHORS. PUBLISHED BY ELSEVIER LTD.",""
"4","Review_or_Overview","LOMBARDI M, 2017, ENVIRON IMPACT ASSESS REV","ISI000410870300005","ASSESSING THE URBAN CARBON FOOTPRINT: AN OVERVIEW","ALL CITIES PRESENT ENVIRONMENTAL SUSTAINABILITY ISSUES, ABOVE ALL REGARDING GREENHOUSE GAS (GHG) EMISSIONS, AND SPECIFICALLY CARBON DIOXIDE (CO2), THAT DIRECTLY AFFECT CLIMATE CHANGE. CONSEQUENTLY, IT IS VERY IMPORTANT TO QUANTIFY AND REPORT THEIR CARBON FOOTPRINT (CF) FOR IMPLEMENTING NATIONAL AND INTERNATIONAL POLICIES/STRATEGIES AIMED AT MITIGATING AND ADAPTING THESE CONCERNS. THE URBAN CARBON FOOTPRINT (UCF), INDEED, HAS BEEN RECOGNIZED AS THE MORE VALUABLE CHOICE TO INFORM, SPECIFICALLY, DECISION MAKERS ABOUT CITY ENVIRONMENTAL SUSTAINABILITY. SEVERAL ACCOUNTING SYSTEMS AND INVENTORY METHODS HAVE BEEN TAKEN INTO ACCOUNT TO PERFORM UCF, HIGHLIGHTING THE COMPLEXITY OF THE TOPIC AND GENERATING VERY OFTEN CONFUSION AMONG USERS. IN THIS CONTEXT, THE AUTHORS AIM TO SUMMARIZE WHAT HAS BEEN DONE AND WHAT IS GOING ON WITH UCFS, TRYING TO CLASSIFY THEM ACCORDING TO SOME PRINCIPAL DIMENSIONS. THUS, THEY DIVIDE UFCS IN TWO MAIN CATEGORIES NAMELY: ``SPATIAL'' OR ``DIRECT'' WITH A LIMITED AMOUNT OF DATA REQUESTED, AND ``ECONOMIC'' OR ``LIFE CYCLE BASED'' MORE OR LESS DATA INCLUSIVE ACCORDING TO THE ACCOUNTING SYSTEMS CONSIDERED. FURTHERMORE, THEY OBSERVE THAT THERE IS NOT A ``GLOBAL AGREED-UPON PROTOCOL'' YET, NEITHER IS THERE A SPECIFIC MODEL SHARED AMONG RESEARCHERS, EVEN IF SOME STEPS HAVE BEEN MADE TOWARDS THIS DIRECTION (RELATIVE CARBON FOOTPRINT - RCF, PUBLICLY AVAILABLE SPECIFICATION PAS 2070 AND GLOBAL PROTOCOL FOR COMMUNITY SCALE-GPC). CONSEQUENTLY, IT IS NECESSARY TO COMPLETE AND STANDARDIZE, IN THE SHORT TERM, THE ACCOUNTING AND REPORTING FRAMEWORKS, IN ORDER TO COMPARE DIFFERENT UCFS FOR ADOPTING SHARED CLIMATE STRATEGIES AND ACTIONS AT GLOBAL LEVEL.",""
"5","Review_or_Overview","GWENHURE Y, 2017, TOURISM","ISI000398954500002","TOURISM AND ECONOMIC GROWTH: A REVIEW OF INTERNATIONAL LITERATURE","THE DEVELOPMENT OF TOURISM HAS BECOME ONE OF THE CENTRAL ISSUES TAKEN UP BY MANY COUNTRIES - IN LIGHT OF THE POTENTIAL BENEFITS IT HAS FOR THE ECONOMY. MOREOVER, THE CAUSAL LINK BETWEEN TOURISM AND ECONOMIC GROWTH HAS LONG BEEN A SUBJECT OF INTEREST IN MANY STUDIES, WITH NO UNANIMOUS AGREEMENT ON THE DIRECTION OF CAUSALITY BETWEEN THE TWO VARIABLES. THE MAIN ARGUMENTS THAT HAVE BEEN PUT FORWARD ON THE DIRECTION OF CAUSALITY ARE: FIRSTLY, THAT TOURISM CAUSES ECONOMIC GROWTH (TOURISM-LED GROWTH HYPOTHESIS); AND SECONDLY, THAT IT IS ECONOMIC GROWTH THAT LEADS TO THE GROWTH OF THE TOURISM SECTOR (GROWTH-LED TOURISM HYPOTHESIS). IN THIS PAPER, WE REVIEW SOME OF THE PREVIOUS EMPIRICAL STUDIES THAT HAVE BEEN CONDUCTED, IN ORDER TO EXAMINE THE CAUSALITY BETWEEN TOURISM-SECTOR DEVELOPMENT AND ECONOMIC GROWTH IN BOTH DEVELOPED AND DEVELOPING COUNTRIES. THESE STUDIES HAVE USED TIME SERIES DATA ANALYSIS, PANEL/CROSS SECTIONAL DATA ANALYSIS AS WELL AS INPUT/OUTPUT ANALYSIS. OUR EMPIRICAL LITERATURE REVIEW SHOWS THAT THE CAUSAL RELATIONSHIP BETWEEN TOURISM AND ECONOMIC GROWTH DIFFERS FROM COUNTRY TO COUNTRY; AND IT IS DEPENDENT ON THE METHODOLOGY USED. ON BALANCE HOWEVER, WE FIND THAT THE MAJORITY OF THE PREVIOUS STUDIES REVIEWED IN THIS PAPER SUPPORT THE TOURISM-LED GROWTH HYPOTHESIS.",""
"6","Review_or_Overview","DI DONATO M, 2015, J IND ECOL","ISI000363267800019","METABOLISM AND ENVIRONMENTAL IMPACTS OF HOUSEHOLD CONSUMPTION: A REVIEW ON THE ASSESSMENT, METHODOLOGY, AND DRIVERS","THE FOCUS WHEN ANALYZING THE ENVIRONMENTAL REQUIREMENTS AND IMPACTS OF THE ECONOMIC SYSTEM IS USUALLY PLACED ON PRODUCTION ACTIVITIES. BUT ALL PRODUCTION IS ASSOCIATED WITH FINAL CONSUMPTION, AND RECENTLY MANY STUDIES HAVE ALSO BEEN DEDICATED TO FINAL CONSUMPTION. THIS ARTICLE COMPREHENSIVELY REVIEWS THE BIOPHYSICAL ASSESSMENT OF HOUSEHOLDS FROM THE POINT OF VIEW OF MATERIALS AND ENERGY REQUIRED AND EMISSIONS AND WASTES RESULTING FROM HOUSEHOLD CONSUMPTION PATTERNS. ALTHOUGH THE AGGREGATION BIAS AND METHODOLOGICAL VARIABILITY MAKE COMPARISONS DIFFICULT, SOME PATTERNS CAN BE RECOGNIZED. RESULTS SHOW THAT FOR MANY ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT (OECD) AND A FEW DEVELOPING COUNTRIES, HOUSEHOLD METABOLISM HAS BEEN MAINLY ASSESSED FROM THE ENERGETIC PERSPECTIVE, STRESSING HOUSEHOLD RESPONSIBILITY FOR EMISSIONS OF GREENHOUSE EFFECT GASES AND CLIMATE CHANGE. FEW STUDIES DEAL WITH OTHER EMISSIONS AND WASTES. THERE IS A LACK OF INFORMATION ABOUT MATERIAL REQUIREMENTS, TOO. ENVIRONMENTAL INPUT-OUTPUT (I-O) ANALYSIS AND LIFE CYCLE ASSESSMENT ARE THE METHODS USUALLY EMPLOYED, TOGETHER WITH THE USE OF ECONOMIC, ENVIRONMENTAL, AND EXPENDITURE INFORMATION. INFORMATION ABOUT DIRECT INPUTS AND OUTPUTS IS COMPLEMENTED WITH DATA ON THE ENVIRONMENTAL REQUIREMENTS ASSOCIATED WITH THE CONSUMPTION OF GOODS AND SERVICES. MULTIREGIONAL I-O TECHNIQUES HAVE BEEN USED TO CAPTURE UPSTREAM REQUIREMENTS IN AN ATTEMPT TO AVOID ERRORS OWING TO TRUNCATION AND DOMESTIC TECHNOLOGY ASSUMPTIONS. HOUSING, FOOD, AND MOBILITY ARE THE MOST IMPORTANT CONSUMPTION CATEGORIES, BUT THE SHARES OF THESE CATEGORIES IN THE REQUIREMENTS ARE DIFFERENT ACCORDING TO ENVIRONMENTAL, SOCIOECONOMIC, AND DEMOGRAPHIC FACTORS. FINALLY, CHALLENGES FOR FURTHER RESEARCH ARE DISCUSSED BASED ON THE NEED FOR NEW METHODOLOGICAL DEVELOPMENTS, AS WELL AS THE POTENTIAL OF THE METABOLIC NARRATIVE TO ELABORATE INFORMATION RELEVANT TO SUSTAINABLE CONSUMPTION POLICIES.",""
"7","Review_or_Overview","SCHAFFARTZIK A, 2015, J IND ECOL","ISI000363267800003","TRADING LAND: A REVIEW OF APPROACHES TO ACCOUNTING FOR UPSTREAM LAND REQUIREMENTS OF TRADED PRODUCTS","LAND USE IS RECOGNIZED AS A PERVASIVE DRIVER OF ENVIRONMENTAL IMPACTS, INCLUDING CLIMATE CHANGE AND BIODIVERSITY LOSS. GLOBAL TRADE LEADS TO TELECOUPLING BETWEEN THE LAND USE OF PRODUCTION AND THE CONSUMPTION OF BIOMASS-BASED GOODS AND SERVICES. TELECOUPLING IS CAPTURED BY ACCOUNTS OF THE UPSTREAM LAND REQUIREMENTS ASSOCIATED WITH TRADED PRODUCTS, ALSO COMMONLY REFERRED TO AS LAND FOOTPRINTS. THESE ACCOUNTS FACE CHALLENGES IN TWO MAIN AREAS: (1) THE ALLOCATION OF LAND TO PRODUCTS TRADED AND CONSUMED AND (2) THE METRICS TO ACCOUNT FOR DIFFERENCES IN LAND QUALITY AND LAND-USE INTENSITY. FOR TWO MAIN FAMILIES OF ACCOUNTING APPROACHES (BIOPHYSICAL, FACTOR-BASED AND ENVIRONMENTALLY EXTENDED INPUT-OUTPUT ANALYSIS), THIS REVIEW DISCUSSES CONCEPTUAL DIFFERENCES AND COMPARES RESULTS FOR LAND FOOTPRINTS. BIOPHYSICAL APPROACHES ARE ABLE TO CAPTURE A LARGE NUMBER OF PRODUCTS AND DIFFERENT LAND USES, BUT SUFFER FROM A TRUNCATION PROBLEM. ECONOMIC APPROACHES SOLVE THE TRUNCATION PROBLEM, BUT ARE HAMPERED BY THE LIMITED DISAGGREGATION OF SECTORS AND PRODUCTS. IN LIGHT OF THE CONCEPTUAL DIFFERENCES, THE OVERALL SIMILARITY OF RESULTS GENERATED BY BOTH TYPES OF APPROACHES IS REMARKABLE. DIAMETRICALLY OPPOSED RESULTS FOR SOME OF THE WORLD'S LARGEST PRODUCERS AND CONSUMERS OF BIOMASS-BASED PRODUCTS, HOWEVER, MAKE INTERPRETATION DIFFICULT. THIS REVIEW AIMS TO PROVIDE CLARITY ON SOME OF THE UNDERLYING CONCEPTUAL ISSUES OF ACCOUNTING FOR LAND FOOTPRINTS.",""
"8","Review_or_Overview","ZHANG X, 2015, J CLEAN PROD","ISI000356990800085","HOUSEHOLD CARBON EMISSION RESEARCH: AN ANALYTICAL REVIEW OF MEASUREMENT, INFLUENCING FACTORS AND MITIGATION PROSPECTS","GREENHOUSE GAS (GHG) EMISSIONS ARE SIMULTANEOUSLY EXHAUSTING THE WORLD'S SUPPLY OF FOSSIL FUELS AND THREATENING THE GLOBAL CLIMATE. IN MANY DEVELOPING COUNTRIES, SIGNIFICANT IMPROVEMENT IN LIVING STANDARDS IN RECENT YEARS DUE TO THE ACCELERATING DEVELOPMENT OF THEIR ECONOMIES HAS RESULTED IN A DISPROPORTIONATE INCREASE IN HOUSEHOLD ENERGY CONSUMPTION. THEREFORE, A MAJOR REDUCTION IN HOUSEHOLD CARBON EMISSIONS (HCES) IS ESSENTIAL IF GLOBAL CARBON REDUCTION TARGETS ARE TO BE MET. TO DO THIS, MAJOR ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT (OECD) STATES HAVE ALREADY IMPLEMENTED POLICIES TO ALLEVIATE THE NEGATIVE ENVIRONMENTAL EFFECTS OF HOUSEHOLD BEHAVIORS AND LESS CARBON-INTENSIVE TECHNOLOGIES ARE ALSO PROPOSED TO PROMOTE ENERGY EFFICIENCY AND REDUCE CARBON EMISSIONS. HOWEVER, BEFORE ANY FURTHER REMEDIAL ACTIONS CAN BE CONTEMPLATED, THOUGH, IT IS IMPORTANT TO FULLY UNDERSTAND THE ACTUAL CAUSES OF SUCH LARGE HCES AND HELP RESEARCHERS BOTH GAIN DEEP INSIGHTS INTO THE DEVELOPMENT OF THE RESEARCH DOMAIN AND IDENTIFY VALUABLE RESEARCH TOPICS FOR FUTURE STUDY. THIS PAPER REVIEWS EXISTING LITERATURE FOCUSING ON THE DOMAIN OF HCES. THIS CRITICAL REVIEW PROVIDES A SYSTEMATIC UNDERSTANDING OF CURRENT WORK IN THE FIELD, DESCRIBING THE FACTORS INFLUENCING HCES UNDER THE THEMES OF HOUSEHOLD INCOME, HOUSEHOLD SIZE, AGE, EDUCATION LEVEL, LOCATION, GENDER AND REBOUND EFFECTS. THE MAIN QUANTIFICATION METHODOLOGIES OF INPUT-OUTPUT MODELS, LIFE CYCLE ASSESSMENT AND EMISSION COEFFICIENT METHODS ARE ALSO PRESENTED, AND THE PROPOSED MEASURES TO MITIGATE HCES AT THE POLICY, TECHNOLOGY AND CONSUMER LEVELS. FINALLY, THE LIMITATIONS OF WORK DONE TO DATE AND FURTHER RESEARCH DIRECTIONS ARE IDENTIFIED FOR THE BENEFIT OF FUTURE STUDIES. (C) 2015 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"9","Review_or_Overview","BRUCKNER M, 2015, ECOL ECON","ISI000355026400002","MEASURING TELECOUPLINGS IN THE GLOBAL LAND SYSTEM: A REVIEW AND COMPARATIVE EVALUATION OF LAND FOOTPRINT ACCOUNTING METHODS","IN AN INCREASINGLY GLOBALIZED WORLD WITH MORE AND MORE DISTRIBUTED INTERNATIONAL SUPPLY CHAINS, SUSTAINABILITY STUDIES AND POLICIES NEED TO CONSIDER SOCIOECONOMIC AND ENVIRONMENTAL INTERACTIONS BETWEEN DISTANT PLACES. STUDIES OF THE GLOBAL BIOMASS METABOLISM INVESTIGATE PHYSICAL FLOWS BETWEEN AND WITHIN NATURE AND HUMAN SYSTEMS, THUS PROVIDING A USEFUL BASIS FOR UNDERSTANDING THE INTERRELATEDNESS OF CHANGES IN ONE PLACE WITH IMPACTS ELSEWHERE. VARIOUS METHODOLOGICAL APPROACHES EXIST FOR STUDYING THE HUMAN-NATURE METABOLISM AND ESTIMATING THE LAND EMBODIED IN INTERNATIONAL TRADE FLOWS, A CORE ELEMENT OF ASSESSING TELECOUPLINGS IN THE GLOBAL LAND SYSTEM. THE RESULTS OF RECENT STUDIES VARY WIDELY, LACKING ROBUSTNESS AND THUS HAMPERING THEIR APPLICATION IN POLICY MAKING. THIS ARTICLE PROVIDES A STRUCTURED OVERVIEW AND COMPARATIVE EVALUATION OF EXISTING ACCOUNTING METHODS AND MODELS FOR CALCULATING LAND FOOTPRINTS. WE IDENTIFY DIFFERENCES IN AVAILABLE ACCOUNTING METHODS AND INDICATE THEIR SHORTCOMINGS, WHICH ARE MAINLY ATTRIBUTABLE TO THE PRODUCT AND SUPPLY CHAIN COVERAGE AND DETAIL, AND BIASES INTRODUCED BY THE USE OF MONETARY FLOWS AS A PROXY FOR ACTUAL PHYSICAL FLOWS. WE SUGGEST OPTIONS FOR FURTHER DEVELOPMENT OF GLOBAL LAND FOOTPRINT ACCOUNTING METHODS, PARTICULARLY HIGHLIGHTING THE ADVANTAGES OF HYBRID ACCOUNTING APPROACHES AS A FRAMEWORK FOR ROBUST AND TRANSPARENT ASSESSMENTS OF THE GLOBAL DISPLACEMENT OF LAND USE. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"10","Review_or_Overview","MINX JC, 2009, ECON SYST RES","ISI000275698000002","INPUT-OUTPUT ANALYSIS AND CARBON FOOTPRINTING: AN OVERVIEW OF APPLICATIONS","THIS ARTICLE PROVIDES AN OVERVIEW OF HOW GENERALISED MULTI-REGIONAL INPUT-OUTPUT MODELS CAN BE USED FOR CARBON FOOTPRINT APPLICATIONS. WE FOCUS ON THE RELEVANCE AND SUITABILITY OF SUCH EVIDENCE TO INFORM DECISION MAKING. SUCH AN OVERVIEW IS CURRENTLY MISSING. DRAWING ON UK RESULTS, WE COVER CARBON FOOTPRINT APPLICATIONS IN SEVEN AREAS: NATIONAL EMISSIONS INVENTORIES AND TRADE, EMISSION DRIVERS, ECONOMIC SECTORS, SUPPLY CHAINS, ORGANISATIONS, HOUSEHOLD CONSUMPTION AND LIFESTYLES AS WELL AS SUB-NATIONAL EMISSION INVENTORIES. THE ARTICLE HIGHLIGHTS THE MULTIPLE USES OF GENERALISED MULTI-REGIONAL INPUT-OUTPUT MODELS FOR CARBON FOOTPRINTING AND CONCLUDES BY HIGHLIGHTING IMPORTANT AVENUES FOR FUTURE RESEARCH.",""
